Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2019-02-01 00:10:00, WM05, 12.2533, 9.8151, 14.4562, 0.841, 12.1933, 9.5099, 14.1578, 0.8719, 10.9838, 8.5912, 13.24, 0.9763, 9.1826, 5.7942, 12.3102, 1.1698, 7.8071, 3.9494, 11.702, 1.2553, 91.22, 81.52, 104.32, 3.443, 89.62, 68.62, 107.82, 6.215, 17.79, 17.71, 17.88, 0.0405, -0.106, -0.296, -0.01, 0.082, 986.1, 985.9, 986.2, 0.0719, 93.7, 92.9, 94.7, 0.4466, 
2019-02-01 00:20:00, WM05, 11.5107, 9.8151, 13.528, 0.7135, 11.4558, 9.8197, 13.5381, 0.7021, 10.4631, 8.2812, 12.6202, 0.8455, 8.8164, 5.484, 11.6897, 1.2461, 7.3977, 4.5696, 11.0818, 1.2987, 90.72, 76.72, 100.22, 3.4, 88.42, 69.12, 108.02, 6.545, 17.76, 17.61, 17.88, 0.0569, -0.287, -0.296, -0.224, 0.018, 986.1, 985.9, 986.3, 0.0748, 93.5, 93.2, 94.1, 0.2367, 
2019-02-01 00:30:00, WM05, 11.9995, 9.1963, 14.7656, 1.0811, 11.9578, 9.2, 14.4676, 1.0752, 10.7792, 7.6614, 13.55, 1.1089, 8.8723, 5.7942, 12.3102, 1.2635, 7.497, 3.9494, 10.7717, 1.295, 94.52, 83.32, 114.62, 4.176, 91.62, 71.92, 124.32, 6.912, 17.73, 17.64, 17.88, 0.0588, -0.304, -0.367, -0.224, 0.026, 986.1, 985.9, 986.3, 0.0677, 95.9, 94.0, 97.4, 1.236, 
2019-02-01 00:40:00, WM05, 13.3671, 10.7434, 15.075, 0.8533, 13.3273, 10.7493, 15.0874, 0.8645, 12.5024, 9.211, 15.4095, 1.0692, 10.4361, 6.7251, 13.5514, 1.382, 8.6382, 4.8797, 12.6323, 1.5654, 93.32, 85.12, 105.42, 3.29, 91.52, 73.22, 109.52, 6.61, 17.84, 17.75, 17.98, 0.0366, -0.367, -0.403, -0.332, 0.007, 986.1, 985.8, 986.3, 0.0761, 97.8, 97.4, 98.1, 0.1771, 
2019-02-01 00:50:00, WM05, 12.5503, 9.1963, 14.7656, 1.0062, 12.5217, 8.8902, 14.7775, 1.0287, 11.6222, 8.9011, 14.7897, 1.1033, 9.6232, 6.4148, 12.9308, 1.2356, 8.0366, 5.1898, 12.0121, 1.2485, 91.32, 81.22, 98.92, 3.095, 90.02, 68.42, 113.72, 6.744, 17.83, 17.75, 17.92, 0.029, -0.371, -0.474, -0.367, 0.014, 986.1, 985.8, 986.2, 0.0732, 98.3, 98.1, 98.5, 0.0916, 
2019-02-01 01:00:00, WM05, 11.9562, 8.8869, 14.4562, 0.9072, 11.933, 9.2, 14.4676, 0.919, 11.1387, 8.2812, 14.1698, 1.1157, 9.2074, 6.4148, 12.9308, 1.2169, 7.559, 4.5696, 11.3919, 1.2745, 92.52, 81.52, 101.12, 3.022, 90.62, 66.52, 112.52, 6.361, 17.73, 17.61, 17.85, 0.0482, -0.367, -0.367, -0.332, 0.004, 986.0, 985.8, 986.2, 0.0679, 98.4, 98.1, 98.9, 0.2317, 
2019-02-01 01:10:00, WM05, 12.4389, 9.1963, 14.7656, 0.9616, 12.3916, 9.5099, 14.7775, 0.9668, 11.5602, 8.5912, 14.1698, 1.2161, 9.4991, 5.7942, 13.5514, 1.5843, 8.142, 4.5696, 11.702, 1.4488, 93.22, 83.22, 102.72, 3.282, 92.12, 69.62, 113.22, 6.886, 17.65, 17.54, 17.75, 0.037, -0.394, -0.51, -0.367, 0.036, 986.0, 985.8, 986.1, 0.0664, 99.2, 98.8, 99.4, 0.176, 
2019-02-01 01:20:00, WM05, 12.8535, 10.434, 15.3844, 1.0179, 12.813, 9.8197, 15.0874, 1.0046, 11.8454, 9.211, 14.4797, 1.112, 9.8342, 6.7251, 12.9308, 1.1983, 8.2846, 5.4999, 12.3222, 1.3452, 93.72, 83.12, 108.22, 3.92, 92.12, 74.62, 115.52, 7.184, 17.53, 17.47, 17.64, 0.0343, -0.4, -0.51, -0.367, 0.052, 986.0, 985.7, 986.1, 0.0713, 98.7, 98.3, 99.3, 0.3192, 
2019-02-01 01:30:00, WM05, 12.3646, 9.5057, 17.2409, 1.3707, 12.3048, 9.5099, 17.2564, 1.4055, 11.3743, 7.9713, 15.7194, 1.4926, 9.7907, 5.7942, 12.9308, 1.4155, 8.204, 4.2595, 13.2525, 1.5791, 96.32, 87.12, 112.02, 4.235, 94.82, 76.42, 111.62, 6.328, 17.48, 17.37, 17.61, 0.0379, -0.371, -0.546, -0.26, 0.043, 985.9, 985.7, 986.1, 0.059, 98.3, 96.5, 98.8, 0.5501, 
2019-02-01 01:40:00, WM05, 12.1728, 8.8869, 16.3127, 1.7147, 12.0879, 8.5803, 16.0169, 1.7414, 11.0954, 7.6614, 15.7194, 1.6686, 9.1639, 5.1737, 14.7925, 1.647, 7.9311, 4.2595, 12.3222, 1.527, 97.52, 79.92, 114.12, 5.222, 95.62, 60.12, 121.82, 8.93, 17.51, 17.37, 17.68, 0.0719, -0.302, -0.367, -0.224, 0.02, 985.9, 985.6, 986.0, 0.0737, 98.2, 96.4, 100.0, 1.023, 
