Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,No data after 2019-03-15 16:30, battery flat
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2019-03-01 00:10:00, WM05, 8.6147, 6.7211, 10.1245, 0.7098, 8.5989, 6.7211, 10.1296, 0.691, 8.2936, 6.4217, 10.1408, 0.7097, 7.5132, 5.484, 9.5177, 0.7528, 6.4736, 3.9494, 8.911, 0.9185, 265.42, 251.22, 276.82, 4.104, 262.62, 240.82, 281.72, 6.373, 17.46, 17.34, 17.58, 0.031, -0.296, -0.296, -0.26, 0.004, 984.1, 983.9, 984.3, 0.0681, 100.0, 99.9, 100.0, 0.0256, 
2019-03-01 00:20:00, WM05, 8.2991, 6.1023, 11.0528, 0.9375, 8.2085, 5.7916, 11.0592, 0.9606, 7.9589, 5.8018, 10.4507, 0.9087, 7.0664, 4.2428, 10.1382, 1.0587, 6.0705, 3.6393, 9.2212, 1.13, 243.22, 217.22, 273.02, 10.26, 241.52, 213.42, 284.72, 12.38, 17.3, 16.86, 17.61, 0.2265, -0.306, -0.51, -0.224, 0.044, 984.2, 983.9, 984.4, 0.088, 100.0, 99.9, 100.0, 0.0219, 
2019-03-01 00:30:00, WM05, 7.7854, 4.8647, 10.434, 1.0161, 7.6631, 4.862, 10.1296, 0.9903, 6.9052, 4.5621, 9.5209, 0.8157, 5.8873, 3.9325, 8.2765, 0.687, 5.0887, 3.3292, 7.3605, 0.7951, 237.62, 220.42, 257.02, 7.038, 239.72, 208.92, 264.02, 8.98, 16.87, 16.76, 17.0, 0.0304, -0.295, -0.332, -0.26, 0.007, 984.3, 984.2, 984.4, 0.0502, 100.0, 99.9, 100.0, 0.0251, 
2019-03-01 00:40:00, WM05, 9.1963, 7.0305, 10.7434, 0.7302, 9.0451, 6.7211, 10.4395, 0.7306, 8.4982, 5.8018, 10.4507, 0.8281, 7.234, 4.8634, 9.2074, 0.8775, 6.362, 4.2595, 9.2212, 0.9483, 224.82, 213.62, 238.72, 5.167, 225.22, 195.02, 244.12, 8.32, 16.83, 16.66, 17.07, 0.0529, -0.295, -0.296, -0.26, 0.005, 984.2, 984.1, 984.4, 0.0635, 100.0, 99.9, 100.0, 0.0238, 
2019-03-01 00:50:00, WM05, 8.5095, 6.7211, 10.1245, 0.7203, 8.3696, 6.4113, 10.1296, 0.7375, 7.9093, 6.1118, 9.5209, 0.7674, 6.7065, 4.5531, 9.5177, 0.9439, 5.5619, 3.0191, 7.9807, 0.9495, 215.32, 197.52, 228.52, 4.716, 216.22, 196.12, 240.22, 6.844, 16.69, 16.52, 16.86, 0.0619, -0.296, -0.296, -0.26, 0.002, 984.2, 984.0, 984.3, 0.0655, 100.0, 99.9, 100.0, 0.0227, 
2019-03-01 01:00:00, WM05, 8.4043, 6.1023, 10.1245, 0.7921, 8.258, 6.1014, 10.1296, 0.7982, 7.8783, 5.4919, 10.1408, 0.8709, 6.7872, 4.5531, 9.828, 0.9197, 5.6736, 3.3292, 8.2908, 0.9756, 213.92, 196.42, 225.92, 4.548, 214.02, 187.92, 233.32, 7.194, 16.45, 16.32, 16.69, 0.0679, -0.297, -0.367, -0.296, 0.008, 984.1, 983.9, 984.2, 0.0634, 100.0, 99.9, 100.0, 0.0244, 
2019-03-01 01:10:00, WM05, 7.0243, 5.1741, 8.8869, 0.8502, 6.8885, 5.1718, 8.5803, 0.8571, 6.5333, 4.2522, 8.5912, 1.0122, 5.5026, 3.0017, 7.656, 0.9637, 4.76, 2.709, 7.0504, 0.9192, 217.02, 204.72, 231.42, 5.012, 218.32, 195.22, 235.22, 6.828, 16.18, 15.94, 16.38, 0.1292, -0.364, -0.51, -0.296, 0.063, 984.0, 983.9, 984.2, 0.0466, 100.0, 99.9, 100.0, 0.024, 
2019-03-01 01:20:00, WM05, 5.9538, 4.5553, 7.6493, 0.4839, 5.8102, 4.5521, 7.3409, 0.4728, 5.0872, 3.6324, 6.1118, 0.4897, 4.0598, 2.6914, 5.484, 0.5567, 3.3372, 2.0887, 4.5696, 0.5507, 224.42, 214.32, 233.42, 3.538, 226.22, 207.42, 248.62, 6.713, 15.96, 15.84, 16.04, 0.0339, -0.315, -0.439, -0.296, 0.039, 984.0, 983.9, 984.1, 0.044, 100.0, 99.9, 100.0, 0.0272, 
2019-03-01 01:30:00, WM05, 5.434, 4.5553, 6.7211, 0.4462, 5.3206, 4.2423, 6.4113, 0.4468, 4.6055, 3.3224, 5.8018, 0.4426, 3.495, 2.0708, 4.5531, 0.5082, 2.9738, 2.0887, 3.9494, 0.4137, 222.92, 209.02, 231.62, 3.365, 228.62, 212.82, 255.32, 5.899, 15.99, 15.91, 16.11, 0.0612, -0.294, -0.332, -0.224, 0.01, 984.0, 983.9, 984.2, 0.0409, 100.0, 99.9, 100.0, 0.0242, 
2019-03-01 01:40:00, WM05, 4.6338, 3.627, 5.4835, 0.3861, 4.5379, 3.3127, 5.4817, 0.3898, 3.8357, 2.7026, 4.8721, 0.3701, 3.1121, 2.3811, 4.2428, 0.3512, 2.7027, 1.7786, 3.6393, 0.3461, 230.82, 218.82, 249.02, 5.52, 244.02, 224.12, 263.82, 8.69, 16.15, 16.04, 16.25, 0.0373, -0.263, -0.296, -0.153, 0.036, 984.0, 983.9, 984.2, 0.0375, 100.0, 99.9, 100.0, 0.0357, 
