Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,Sensor faulty - deleted some records
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-08-01 00:10:00, WM05, 2.9451, 2.6988, 3.3176, 0.1825, 2.947, 2.693, 3.3127, 0.1878, 2.6914, 2.3927, 3.0125, 0.1605, 2.3234, 1.7605, 2.6914, 0.1731, 1.9976, 1.7786, 2.3988, 0.16, 308.72, 308.52, 309.22, 0.225, 307.12, 302.72, 312.32, 1.073, 12.37, 12.25, 12.46, 0.0381, 0.293, 0.205, 0.348, 0.057, 991.5, 991.4, 991.6, 0.0394, 86.8, 86.5, 87.4, 0.254, 
2020-08-01 00:20:00, WM05, 2.9581, 2.6988, 3.3176, 0.1566, 3.0103, 2.693, 3.3127, 0.1586, 2.971, 2.7026, 3.3224, 0.1779, 2.3848, 2.0708, 2.6914, 0.1471, 2.0267, 1.4685, 2.3988, 0.2313, 310.32, 309.02, 310.72, 0.6, 311.42, 309.52, 311.82, 0.605, 12.38, 12.25, 12.46, 0.0304, 0.345, 0.205, 0.42, 0.05, 991.5, 991.3, 991.6, 0.0526, 86.6, 86.4, 86.7, 0.1027, 
2020-08-01 00:30:00, WM05, 2.5862, 2.08, 3.0082, 0.1726, 2.6297, 2.3831, 3.0028, 0.176, 2.7305, 2.3927, 3.0125, 0.1884, 2.3513, 1.4503, 2.6914, 0.1998, 1.7613, 1.1584, 2.0887, 0.2543, 310.72, 310.62, 310.72, 0.103, 314.32, 311.82, 323.42, 1.247, 12.35, 12.25, 12.49, 0.0318, 0.454, 0.42, 0.491, 0.035, 991.4, 991.3, 991.5, 0.0495, 86.9, 86.6, 87.2, 0.1704, 
2020-08-01 00:40:00, WM05, 2.3542, 2.08, 2.6988, 0.1101, 2.4048, 2.0732, 2.693, 0.1066, 2.4937, 2.0827, 2.7026, 0.1475, 2.1621, 1.4503, 2.6914, 0.2265, 1.5944, 1.1584, 2.0887, 0.2196, 310.42, 310.22, 310.62, 0.161, 308.92, 301.12, 320.82, 3.459, 12.27, 12.22, 12.39, 0.0297, 0.396, 0.348, 0.491, 0.051, 991.3, 991.2, 991.5, 0.0456, 87.3, 87.2, 87.4, 0.0757, 
2020-08-01 00:50:00, WM05, 2.4822, 2.08, 2.6988, 0.1609, 2.5021, 2.0732, 2.693, 0.1531, 2.6177, 2.3927, 3.0125, 0.1407, 2.2216, 1.7605, 2.6914, 0.3345, 1.8239, 1.4685, 2.0887, 0.1823, 310.22, 308.12, 310.62, 0.49, 307.52, 306.12, 308.92, 0.908, 12.26, 12.19, 12.39, 0.0255, 0.265, 0.133, 0.348, 0.072, 991.3, 991.1, 991.4, 0.042, 87.3, 87.2, 87.4, 0.0416, 
2020-08-01 01:00:00, WM05, 2.14, 1.7706, 2.6988, 0.2135, 2.3211, 2.0732, 2.693, 0.158, 2.3958, 2.0827, 2.7026, 0.1463, 2.3315, 2.0708, 2.6914, 0.1347, 1.6782, 1.4685, 2.0887, 0.1575, 305.42, 305.12, 308.32, 0.613, 308.92, 308.92, 309.02, 0.1, 12.27, 12.25, 12.42, 0.0266, 0.151, 0.133, 0.205, 0.024, 991.2, 991.1, 991.3, 0.0442, 87.1, 87.1, 87.2, 0.0367, 
2020-08-01 01:10:00, WM05, 2.1679, 1.7706, 2.3894, 0.1646, 2.3013, 2.0732, 2.693, 0.1388, 2.3666, 2.0827, 2.7026, 0.1147, 2.2551, 1.7605, 2.6914, 0.1626, 1.6658, 1.1584, 2.0887, 0.1575, 302.32, 298.92, 305.12, 1.882, 304.72, 301.12, 308.92, 2.208, 12.25, 12.19, 12.32, 0.0118, 0.149, 0.133, 0.205, 0.024, 991.2, 991.0, 991.3, 0.0541, 87.2, 87.1, 87.4, 0.046, 
2020-08-01 01:20:00, WM05, 2.2978, 2.08, 2.6988, 0.1541, 2.3379, 2.0732, 2.693, 0.1692, 2.4125, 2.0827, 2.7026, 0.1822, 2.1621, 1.7605, 2.6914, 0.247, 1.6236, 1.1584, 2.0887, 0.2047, 291.32, 286.52, 298.92, 3.389, 295.72, 292.52, 301.12, 3.313, 12.22, 12.15, 12.32, 0.0323, 0.138, 0.133, 0.205, 0.013, 991.2, 991.1, 991.3, 0.0516, 87.4, 87.2, 87.5, 0.063, 
2020-08-01 01:30:00, WM05, 2.2873, 1.7706, 3.0082, 0.2382, 2.318, 2.0732, 3.0028, 0.2274, 2.348, 2.0827, 3.0125, 0.22, 2.1379, 1.7605, 3.0017, 0.211, 1.5988, 1.1584, 2.0887, 0.2202, 274.52, 269.42, 286.82, 5.327, 281.82, 275.02, 292.62, 6.014, 12.18, 12.12, 12.32, 0.032, 0.134, 0.133, 0.169, 0.005, 991.2, 991.1, 991.3, 0.0491, 87.6, 87.4, 87.8, 0.079, 
2020-08-01 01:40:00, WM05, 2.7898, 2.6988, 3.0082, 0.1411, 2.8033, 2.693, 3.0028, 0.1487, 2.6902, 2.3927, 3.0125, 0.1469, 2.6337, 2.3811, 3.0017, 0.1787, 2.09, 1.7786, 2.3988, 0.1395, 268.82, 267.72, 269.92, 0.726, 275.62, 275.22, 276.22, 0.315, 12.15, 12.12, 12.32, 0.0373, 0.175, 0.133, 0.205, 0.033, 991.2, 991.1, 991.3, 0.0547, 87.7, 87.6, 87.8, 0.0528, 
