Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,Sensor faulty - gets stuck at low wind speeds
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2020-10-01 00:10:00, WM05, 12.6493, 8.8869, 16.3127, 1.3936, 12.4783, 8.8902, 16.0169, 1.3646, 11.4115, 6.7316, 14.7897, 1.505, 9.4122, 4.8634, 12.9308, 1.8232, 7.652, 3.0191, 11.702, 1.731, 144.32, 131.02, 162.82, 5.336, 142.42, 118.72, 175.92, 8.14, 9.02, 8.89, 9.12, 0.0427, -0.341, -0.403, -0.224, 0.038, 985.6, 985.4, 985.8, 0.0665, 99.7, 99.2, 100.0, 0.2459, 
2020-10-01 00:20:00, WM05, 10.9476, 7.6493, 14.7656, 1.2896, 10.7679, 7.6507, 14.7775, 1.2803, 10.24, 7.0415, 13.8599, 1.3705, 8.7295, 3.9325, 12.3102, 1.4863, 7.4349, 4.2595, 11.3919, 1.5208, 147.42, 127.02, 165.02, 6.082, 146.92, 122.92, 174.22, 8.32, 9.06, 8.92, 9.19, 0.0502, -0.335, -0.403, -0.224, 0.042, 985.7, 985.4, 985.8, 0.0688, 100.0, 99.9, 100.0, 0.0259, 
2020-10-01 00:30:00, WM05, 12.3337, 8.8869, 16.6221, 1.3905, 12.1809, 8.5803, 16.6367, 1.3931, 11.0582, 6.7316, 14.4797, 1.4591, 9.0212, 4.8634, 12.6205, 1.534, 7.5404, 3.6393, 11.3919, 1.5301, 152.32, 133.52, 167.42, 5.534, 150.32, 123.62, 177.22, 8.81, 9.02, 8.92, 9.12, 0.0347, -0.366, -0.403, -0.296, 0.013, 985.6, 985.4, 985.8, 0.072, 100.0, 99.9, 100.0, 0.0303, 
2020-10-01 00:40:00, WM05, 13.4166, 9.1963, 16.6221, 1.4796, 13.2096, 9.5099, 16.3268, 1.4588, 12.3413, 7.9713, 15.4095, 1.3792, 10.3492, 7.0354, 14.4822, 1.5247, 8.6878, 5.4999, 13.2525, 1.5456, 154.42, 132.92, 170.52, 5.783, 155.52, 131.02, 182.02, 8.18, 8.95, 8.82, 9.19, 0.0794, -0.307, -0.439, -0.153, 0.083, 985.6, 985.4, 985.7, 0.0565, 100.0, 99.9, 100.0, 0.0267, 
2020-10-01 00:50:00, WM05, 11.0651, 7.0305, 16.0032, 1.3973, 10.8671, 6.4113, 15.7071, 1.3925, 9.7441, 6.7316, 14.4797, 1.3184, 8.0407, 4.5531, 11.3794, 1.2852, 6.7217, 3.6393, 10.4616, 1.2615, 146.22, 132.82, 161.62, 4.505, 146.92, 102.82, 175.42, 7.978, 9.22, 9.06, 9.33, 0.0811, -0.242, -0.439, -0.153, 0.066, 985.5, 985.4, 985.7, 0.0461, 100.0, 99.9, 100.0, 0.0347, 
2020-10-01 01:00:00, WM05, 11.4859, 7.9587, 15.075, 1.4616, 11.3195, 7.9606, 14.7775, 1.4694, 10.4755, 6.7316, 13.8599, 1.5186, 8.8723, 5.484, 13.2411, 1.5067, 7.4163, 3.3292, 11.702, 1.4463, 145.22, 131.12, 165.22, 6.741, 143.72, 115.72, 167.82, 8.22, 9.13, 9.06, 9.19, 0.0221, -0.309, -0.439, -0.153, 0.073, 985.5, 985.2, 985.6, 0.0587, 100.0, 100.0, 100.0, 0.0337, 
2020-10-01 01:10:00, WM05, 13.3238, 8.5775, 17.5503, 1.6776, 13.1352, 8.2704, 17.2564, 1.6918, 12.2359, 7.9713, 17.579, 1.9017, 10.1445, 6.1045, 16.9645, 2.141, 8.4707, 3.9494, 15.1131, 2.0213, 143.42, 124.52, 169.32, 6.22, 142.22, 110.02, 167.62, 8.84, 9.03, 8.78, 9.23, 0.1116, -0.351, -0.439, -0.224, 0.042, 985.4, 985.1, 985.6, 0.09, 100.0, 100.0, 100.0, 0.0292, 
2020-10-01 01:20:00, WM05, 13.3424, 10.1245, 16.6221, 1.3137, 13.16, 9.2, 16.3268, 1.2834, 12.1615, 8.9011, 16.0294, 1.4442, 10.1196, 6.4148, 13.5514, 1.6309, 8.4955, 5.1898, 12.6323, 1.5387, 145.52, 135.12, 162.12, 4.643, 144.82, 122.42, 174.62, 8.82, 8.9, 8.75, 9.06, 0.0576, -0.269, -0.367, -0.224, 0.033, 985.4, 985.2, 985.6, 0.0711, 100.0, 100.0, 100.0, 0.0313, 
2020-10-01 01:30:00, WM05, 11.6159, 7.9587, 14.4562, 1.1801, 11.431, 7.9606, 14.4676, 1.1719, 10.5003, 7.0415, 13.55, 1.1331, 8.5992, 5.1737, 12.3102, 1.3156, 7.1497, 4.2595, 11.0818, 1.3186, 143.92, 124.52, 160.82, 5.197, 143.12, 116.12, 172.62, 7.708, 9.04, 8.99, 9.19, 0.0474, -0.295, -0.367, -0.224, 0.032, 985.5, 985.3, 985.6, 0.0497, 100.0, 99.9, 100.0, 0.0322, 
2020-10-01 01:40:00, WM05, 11.5169, 7.9587, 15.3844, 1.3688, 11.3381, 7.9606, 14.7775, 1.3826, 10.2834, 6.1118, 14.1698, 1.5701, 8.5496, 5.1737, 13.2411, 1.4894, 7.1, 3.9494, 11.3919, 1.4513, 141.42, 122.02, 154.92, 5.648, 141.22, 117.42, 164.52, 7.987, 9.13, 9.06, 9.19, 0.0195, -0.343, -0.367, -0.224, 0.036, 985.5, 985.4, 985.7, 0.0522, 100.0, 99.9, 100.0, 0.0265, 
