Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,Sensor faulty - gets stuck at low wind speeds
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips in rh from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2021-01-01 00:10:00, WM05, 8.0546, 6.096, 9.815, 0.7159, 7.8961, 6.1065, 10.1315, 0.6985, 6.7564, 4.8721, 9.5209, 0.7289, 5.4281, 3.9325, 7.3457, 0.7329, 4.3724, 3.0191, 6.7403, 0.7219, 225.62, 209.42, 239.32, 4.884, 226.52, 207.72, 246.82, 6.542, 15.18, 15.1, 15.34, 0.0282, 0.282, 0.24, 0.348, 0.019, 987.0, 986.8, 987.1, 0.0551, 68.99, 67.82, 71.22, 1.051, 
2021-01-01 00:20:00, WM05, 8.3212, 6.7158, 11.0547, 0.8913, 8.1871, 5.7969, 11.0603, 0.8737, 7.494, 5.182, 10.1408, 0.8263, 6.21, 3.9325, 9.5177, 0.8266, 5.1774, 3.6393, 7.6706, 0.761, 223.92, 212.02, 234.02, 4.989, 225.92, 197.52, 241.72, 6.431, 15.02, 14.9, 15.23, 0.0953, 0.156, -0.01, 0.276, 0.105, 987.1, 986.9, 987.3, 0.0578, 76.98, 70.81, 79.69, 3.035, 
2021-01-01 00:30:00, WM05, 6.5422, 4.8563, 8.5753, 0.7066, 6.4223, 4.868, 8.2738, 0.709, 5.839, 4.2522, 7.3515, 0.6453, 4.7716, 3.312, 6.7251, 0.6572, 3.6802, 2.3988, 5.81, 0.6152, 213.92, 201.42, 230.32, 5.42, 218.52, 202.42, 247.82, 8.24, 14.87, 14.76, 15.03, 0.0489, 0.26, 0.133, 0.276, 0.03, 987.1, 987.0, 987.2, 0.0448, 79.29, 78.57, 80.3, 0.401, 
2021-01-01 00:40:00, WM05, 6.4431, 5.4761, 7.6456, 0.3886, 6.317, 5.4873, 7.3449, 0.379, 5.4609, 4.5621, 6.7316, 0.3719, 4.2056, 3.0017, 5.1737, 0.3519, 3.2144, 2.3988, 4.2595, 0.382, 211.62, 204.12, 219.42, 2.727, 210.12, 190.32, 223.42, 4.342, 14.85, 14.73, 14.96, 0.043, 0.397, 0.276, 0.563, 0.086, 987.2, 987.0, 987.3, 0.0616, 77.98, 75.78, 79.18, 0.979, 
2021-01-01 00:50:00, WM05, 6.7096, 5.4761, 7.6456, 0.3198, 6.5771, 5.4873, 7.6546, 0.3139, 5.6593, 4.5621, 6.7316, 0.3986, 4.3378, 3.312, 5.484, 0.4245, 3.1909, 2.0887, 4.2595, 0.4335, 211.32, 204.02, 223.42, 2.916, 212.22, 192.02, 227.92, 5.129, 14.83, 14.73, 14.93, 0.0436, 0.55, 0.455, 0.563, 0.023, 987.2, 987.1, 987.3, 0.0522, 76.77, 76.19, 77.18, 0.2438, 
2021-01-01 01:00:00, WM05, 6.3253, 5.4761, 7.3356, 0.3626, 6.1994, 5.4873, 7.0353, 0.3579, 5.4609, 4.5621, 6.4217, 0.3515, 4.2211, 3.0017, 5.1737, 0.3866, 3.1853, 2.0887, 4.5696, 0.4224, 208.92, 203.62, 215.82, 2.303, 213.92, 196.22, 229.92, 4.744, 14.91, 14.83, 15.03, 0.0247, 0.493, 0.348, 0.563, 0.073, 987.3, 987.1, 987.3, 0.0569, 75.03, 73.64, 76.26, 0.7456, 
2021-01-01 01:10:00, WM05, 6.2385, 4.5464, 8.2654, 0.6676, 6.1127, 4.2488, 7.9642, 0.649, 5.2626, 3.9423, 7.0415, 0.5473, 3.953, 2.6914, 6.1045, 0.5579, 2.9775, 1.7786, 5.4999, 0.6525, 206.32, 185.52, 217.12, 5.464, 211.42, 188.52, 234.02, 6.518, 14.95, 14.83, 15.03, 0.0419, 0.475, 0.205, 0.563, 0.12, 987.3, 987.2, 987.4, 0.0546, 74.52, 73.13, 76.46, 1.186, 
2021-01-01 01:20:00, WM05, 4.8718, 3.6166, 6.096, 0.4308, 4.7547, 3.6296, 5.7969, 0.4223, 4.0185, 3.0125, 5.182, 0.3986, 3.1953, 2.0708, 4.2428, 0.507, 2.4497, 1.4685, 3.9494, 0.5036, 197.12, 182.12, 219.42, 6.884, 204.32, 180.62, 225.02, 8.28, 14.72, 14.63, 14.86, 0.0457, 0.085, -0.01, 0.205, 0.063, 987.3, 987.2, 987.4, 0.0507, 77.06, 76.26, 77.59, 0.3862, 
2021-01-01 01:30:00, WM05, 4.5804, 2.9968, 6.7158, 0.6322, 4.4686, 3.0103, 6.1065, 0.5969, 3.7204, 2.3927, 5.182, 0.5349, 2.8546, 1.4503, 4.2428, 0.5641, 2.1458, 1.1584, 3.3292, 0.4639, 192.12, 168.12, 208.52, 6.502, 199.82, 170.92, 225.62, 8.6, 14.67, 14.56, 14.76, 0.0485, -0.007, -0.01, 0.062, 0.013, 987.3, 987.2, 987.4, 0.0506, 76.87, 76.19, 77.72, 0.4838, 
2021-01-01 01:40:00, WM05, 5.786, 3.6166, 9.1951, 1.1634, 5.6916, 3.6296, 8.893, 1.1276, 5.1653, 3.0125, 7.9713, 1.0649, 3.76, 1.7605, 6.7251, 1.0295, 3.0904, 1.4685, 5.81, 0.8956, 199.92, 171.52, 238.62, 10.76, 201.12, 166.82, 239.02, 12.44, 14.37, 14.08, 14.63, 0.1525, -0.125, -0.296, -0.01, 0.11, 987.3, 987.2, 987.4, 0.0489, 78.16, 75.34, 79.93, 1.144, 
2021-01-01 01:50:00, WM05, 6.1517, 4.8563, 7.3356, 0.5138, 6.0198, 4.868, 7.3449, 0.509, 5.5105, 3.9423, 6.7316, 0.5448, 4.344, 2.3811, 5.7942, 0.6423, 3.3676, 1.7786, 5.4999, 0.6779, 189.62, 176.52, 201.52, 4.455, 191.62, 162.22, 210.12, 6.904, 14.5, 14.29, 14.59, 0.0773, 0.073, -0.01, 0.205, 0.085, 987.2, 987.1, 987.3, 0.0558, 74.41, 73.67, 75.34, 0.3626, 
2021-01-01 02:00:00, WM05, 6.5298, 4.8563, 7.9555, 0.6793, 6.3975, 4.5584, 7.9642, 0.6861, 5.9196, 3.9423, 7.6614, 0.724, 4.5301, 3.0017, 6.4148, 0.6721, 3.3806, 2.0887, 5.4999, 0.73, 188.72, 170.92, 206.52, 4.89, 188.42, 167.02, 213.12, 7.137, 14.56, 14.46, 14.66, 0.021, 0.201, 0.133, 0.276, 0.037, 987.2, 987.1, 987.3, 0.0517, 73.1, 71.9, 73.88, 0.5901, 
