Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2021-10-01 00:10:00, WM05, 9.5547, 7.0257, 12.2943, 1.0996, 9.4875, 6.7257, 12.2988, 1.1468, 8.7151, 4.8721, 12.0003, 1.2763, 7.3395, 3.6223, 10.4485, 1.4292, 6.3434, 3.0191, 9.2212, 1.3483, 103.32, 89.92, 119.62, 4.592, 102.02, 76.72, 122.02, 6.179, 12.42, 12.35, 12.52, 0.0321, -0.296, -0.296, -0.296, 0.0, 983.9, 983.7, 984.1, 0.0704, 100.0, 99.9, 100.0, 0.0225, 
2021-10-01 00:20:00, WM05, 8.6559, 5.786, 11.3646, 1.2533, 8.6268, 5.7969, 11.3699, 1.2502, 8.1945, 5.4919, 11.3805, 1.3203, 7.1657, 3.9325, 10.7588, 1.256, 6.1201, 3.3292, 9.5313, 1.2404, 101.02, 89.32, 116.52, 4.548, 99.12, 65.72, 119.62, 6.878, 12.45, 12.31, 12.58, 0.0452, -0.296, -0.296, -0.296, 0.0, 983.9, 983.7, 984.0, 0.0544, 100.0, 99.9, 100.0, 0.0172, 
2021-10-01 00:30:00, WM05, 8.1228, 6.4059, 10.7447, 0.7636, 8.0818, 6.4161, 10.7507, 0.779, 7.6428, 4.8721, 10.1408, 0.931, 6.5265, 3.9325, 9.828, 1.1028, 5.4441, 3.0191, 8.2908, 1.0122, 106.52, 94.22, 119.42, 4.351, 105.02, 74.22, 133.12, 7.918, 12.52, 12.45, 12.58, 0.0155, -0.296, -0.296, -0.296, 0.0, 983.8, 983.7, 984.0, 0.0563, 100.0, 100.0, 100.0, 0.0127, 
2021-10-01 00:40:00, WM05, 9.2013, 7.3356, 11.0547, 0.6862, 9.1407, 7.3449, 11.0603, 0.6855, 8.5168, 6.1118, 10.4507, 0.9335, 7.2898, 3.9325, 10.1382, 1.2188, 6.2131, 3.3292, 9.2212, 1.1821, 104.82, 91.02, 117.12, 3.917, 104.82, 74.92, 136.82, 8.24, 12.5, 12.38, 12.58, 0.0244, -0.296, -0.296, -0.296, 0.0, 983.8, 983.6, 983.9, 0.0455, 100.0, 99.9, 100.0, 0.0149, 
2021-10-01 00:50:00, WM05, 8.5939, 6.096, 10.4348, 0.7674, 8.5277, 6.4161, 10.1315, 0.7598, 8.0209, 6.1118, 9.8309, 0.7742, 6.6693, 3.9325, 9.2074, 1.019, 5.748, 3.3292, 8.2908, 0.9347, 104.22, 90.32, 116.12, 4.111, 103.12, 80.72, 122.22, 7.299, 12.49, 12.38, 12.58, 0.0326, -0.296, -0.296, -0.296, 0.0, 983.7, 983.6, 983.8, 0.0455, 100.0, 99.9, 100.0, 0.0125, 
2021-10-01 01:00:00, WM05, 8.315, 6.096, 10.4348, 0.9031, 8.2738, 6.1065, 10.1315, 0.8966, 7.7916, 5.182, 10.1408, 1.0302, 6.7561, 4.2428, 9.2074, 1.0742, 5.6425, 2.709, 8.6009, 1.153, 102.82, 85.52, 120.52, 4.35, 102.42, 82.22, 130.92, 7.084, 12.47, 12.38, 12.58, 0.0329, -0.296, -0.296, -0.296, 0.0, 983.6, 983.5, 983.8, 0.0486, 100.0, 99.9, 100.0, 0.0221, 
2021-10-01 01:10:00, WM05, 7.4224, 5.786, 8.5753, 0.6174, 7.4131, 5.7969, 8.5834, 0.6106, 6.7626, 4.2522, 8.5912, 0.8467, 5.6888, 3.312, 7.9662, 1.0289, 4.9324, 3.0191, 7.3605, 0.8832, 103.72, 90.02, 116.42, 4.778, 101.82, 77.32, 122.42, 7.972, 12.5, 12.38, 12.68, 0.0371, -0.296, -0.296, -0.296, 0.0, 983.6, 983.5, 983.8, 0.0623, 100.0, 99.9, 100.0, 0.0147, 
2021-10-01 01:20:00, WM05, 8.4203, 6.4059, 10.4348, 1.0035, 8.4038, 6.4161, 10.7507, 0.9914, 7.9527, 5.8018, 10.4507, 1.0314, 6.9795, 3.9325, 9.5177, 1.1363, 5.9278, 3.9494, 8.2908, 0.9136, 107.02, 96.02, 124.12, 4.093, 106.92, 83.52, 140.82, 7.408, 12.5, 12.31, 12.58, 0.0457, -0.296, -0.332, -0.296, 0.002, 983.5, 983.4, 983.6, 0.0475, 100.0, 99.9, 100.0, 0.0171, 
2021-10-01 01:30:00, WM05, 8.3336, 6.7158, 9.815, 0.6632, 8.2986, 6.4161, 9.8219, 0.6923, 7.8411, 5.8018, 9.5209, 0.7779, 6.8865, 5.1737, 8.8971, 0.7825, 5.7604, 3.3292, 8.6009, 0.9533, 100.92, 87.32, 113.52, 5.938, 98.92, 79.32, 116.22, 7.592, 12.45, 12.31, 12.58, 0.0454, -0.296, -0.296, -0.296, 0.0, 983.4, 983.3, 983.6, 0.0659, 100.0, 100.0, 100.0, 0.0203, 
2021-10-01 01:40:00, WM05, 7.8687, 5.4761, 9.815, 0.8802, 7.8465, 5.4873, 9.8219, 0.8737, 7.2709, 4.5621, 9.8309, 0.9657, 6.0611, 3.6223, 8.8971, 1.0668, 5.0267, 2.709, 8.6009, 1.1251, 98.72, 82.92, 111.22, 4.26, 99.42, 75.42, 128.62, 7.57, 12.46, 12.38, 12.58, 0.0411, -0.297, -0.367, -0.296, 0.009, 983.3, 983.1, 983.4, 0.0584, 100.0, 100.0, 100.0, 0.0184, 
2021-10-01 01:50:00, WM05, 6.9017, 5.4761, 8.2654, 0.5541, 6.8743, 5.4873, 8.2738, 0.5567, 6.2729, 4.5621, 7.6614, 0.6044, 5.4157, 3.6223, 7.0354, 0.6814, 4.5882, 2.709, 6.4302, 0.6965, 102.12, 86.52, 116.12, 4.828, 100.92, 75.32, 119.22, 7.537, 12.52, 12.44, 12.61, 0.0226, -0.296, -0.296, -0.296, 0.0, 983.2, 983.1, 983.3, 0.0442, 100.0, 100.0, 100.0, 0.0151, 
2021-10-01 02:00:00, WM05, 7.2613, 5.1662, 8.8852, 0.6694, 7.2583, 5.1776, 8.893, 0.6675, 6.8308, 4.8721, 8.2812, 0.7587, 5.8191, 3.0017, 7.9662, 0.9675, 4.8313, 2.709, 7.3605, 0.9663, 100.52, 87.02, 110.92, 4.19, 99.92, 74.32, 115.92, 7.032, 12.53, 12.45, 12.65, 0.0342, -0.296, -0.296, -0.296, 0.0, 983.2, 983.1, 983.3, 0.0493, 100.0, 100.0, 100.0, 0.0286, 
2021-10-01 02:10:00, WM05, 6.4988, 5.1662, 8.2654, 0.5678, 6.5152, 5.1776, 8.5834, 0.5691, 5.9692, 4.2522, 7.9713, 0.636, 4.9422, 2.6914, 6.7251, 0.8204, 4.1044, 2.3988, 6.1201, 0.7536, 100.12, 89.12, 112.92, 3.922, 98.92, 83.02, 120.02, 6.8, 12.64, 12.58, 12.78, 0.0358, -0.296, -0.296, -0.296, 0.0, 983.1, 982.9, 983.2, 0.0648, 100.0, 99.9, 100.0, 0.0133, 
2021-10-01 02:20:00, WM05, 6.0278, 4.2364, 7.3356, 0.5603, 6.0446, 4.5584, 7.3449, 0.5505, 5.3493, 3.6324, 7.0415, 0.5622, 4.465, 2.6914, 6.1045, 0.6969, 3.7156, 2.0887, 5.4999, 0.7101, 104.22, 90.22, 118.42, 4.08, 103.22, 80.72, 126.92, 6.556, 12.68, 12.61, 12.78, 0.0332, -0.296, -0.296, -0.296, 0.0, 982.9, 982.8, 983.1, 0.0531, 100.0, 100.0, 100.0, 0.0264, 
2021-10-01 02:30:00, WM05, 6.0278, 4.2364, 7.3356, 0.5907, 6.0136, 4.5584, 7.3449, 0.5901, 5.3741, 3.9423, 6.7316, 0.5895, 4.5357, 2.6914, 6.4148, 0.6758, 3.8824, 2.0887, 5.81, 0.7126, 106.92, 94.82, 124.12, 5.15, 104.22, 84.12, 126.62, 7.434, 12.73, 12.68, 12.85, 0.0299, -0.296, -0.296, -0.296, 0.0, 982.9, 982.8, 983.0, 0.0449, 100.0, 99.9, 100.0, 0.014, 
2021-10-01 02:40:00, WM05, 6.5112, 4.2364, 8.8852, 1.1281, 6.509, 4.2488, 8.893, 1.1381, 6.0002, 3.6324, 9.211, 1.2564, 5.1197, 2.3811, 8.2765, 1.436, 4.4765, 2.0887, 7.9807, 1.3688, 107.62, 86.02, 123.52, 7.474, 107.62, 84.02, 134.82, 8.54, 12.78, 12.71, 12.95, 0.0241, -0.296, -0.296, -0.296, 0.0, 982.9, 982.8, 983.0, 0.049, 100.0, 99.9, 100.0, 0.0142, 
2021-10-01 02:50:00, WM05, 7.8625, 5.4761, 11.0547, 1.161, 7.8527, 5.1776, 10.4411, 1.1524, 7.3701, 3.9423, 10.7606, 1.2056, 6.2535, 3.312, 10.1382, 1.449, 5.4193, 3.0191, 8.911, 1.3632, 108.62, 91.92, 125.32, 6.252, 104.62, 73.82, 131.62, 9.8, 12.79, 12.68, 12.89, 0.0213, -0.296, -0.296, -0.296, 0.0, 982.9, 982.7, 983.0, 0.0617, 100.0, 100.0, 100.0, 0.0177, 
