Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds
Tair,air temperature,°C,60 m,Sudden dips â€“ use with caution
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2022-01-01 00:10:00, WM05, 9.0712, 6.4059, 10.4348, 0.7128, 9.0416, 6.7257, 10.7507, 0.7115, 8.306, 5.8018, 9.8309, 0.6192, 7.3084, 5.1737, 8.5868, 0.6857, 5.8658, 3.9494, 7.6706, 0.6953, 280.12, 267.02, 290.42, 3.443, 278.22, 267.12, 287.82, 3.658, 13.9, 13.74, 14.15, 0.1145, 0.492, 0.276, 0.635, 0.102, 981.0, 980.9, 981.1, 0.0492, 82.9, 78.85, 86.0, 1.872, 
2022-01-01 00:20:00, WM05, 8.8666, 7.3356, 10.7447, 0.7729, 8.8559, 7.3449, 10.7507, 0.7765, 8.3122, 7.0415, 10.4507, 0.7488, 7.4574, 6.1045, 9.2074, 0.579, 6.0581, 4.2595, 7.6706, 0.6134, 282.62, 270.92, 292.82, 3.868, 281.72, 269.22, 291.52, 3.859, 14.12, 14.01, 14.22, 0.0354, 0.475, 0.276, 0.635, 0.109, 981.0, 980.9, 981.2, 0.0498, 79.27, 77.21, 81.7, 1.136, 
2022-01-01 00:30:00, WM05, 9.4865, 7.6456, 11.3646, 0.6961, 9.4875, 7.6546, 11.3699, 0.6935, 8.9631, 7.0415, 10.7606, 0.7438, 7.687, 5.7942, 10.1382, 0.8229, 6.269, 3.6393, 9.2212, 0.957, 279.52, 268.32, 291.02, 4.401, 276.82, 259.22, 291.72, 5.862, 14.04, 13.91, 14.22, 0.05, 0.311, 0.169, 0.42, 0.047, 981.0, 980.8, 981.1, 0.0638, 78.06, 77.04, 79.18, 0.5429, 
2022-01-01 00:40:00, WM05, 9.1332, 7.6456, 10.4348, 0.5857, 9.1036, 7.3449, 10.4411, 0.5864, 8.3556, 6.7316, 9.8309, 0.6986, 7.3891, 5.484, 9.5177, 0.7459, 6.1263, 3.9494, 8.911, 0.8702, 276.22, 267.82, 285.42, 3.183, 271.62, 259.02, 286.22, 4.373, 13.85, 13.74, 14.08, 0.0749, 0.285, 0.133, 0.563, 0.08, 981.1, 980.9, 981.2, 0.0429, 79.08, 77.89, 79.8, 0.4129, 
2022-01-01 00:50:00, WM05, 8.1476, 5.786, 10.1249, 0.9521, 8.1128, 5.7969, 9.8219, 0.9555, 7.463, 5.182, 9.5209, 0.9583, 6.3962, 4.2428, 8.5868, 0.8874, 5.2518, 3.3292, 8.2908, 0.9129, 278.82, 265.02, 299.42, 5.591, 275.12, 252.42, 303.82, 6.92, 13.81, 13.67, 13.91, 0.0501, 0.293, -0.01, 0.491, 0.1, 981.0, 980.8, 981.1, 0.0594, 79.27, 78.57, 80.5, 0.4615, 
2022-01-01 01:00:00, WM05, 6.0154, 4.5464, 7.3356, 0.4934, 6.0012, 4.5584, 7.6546, 0.4985, 5.0227, 3.9423, 6.7316, 0.5356, 4.0536, 2.6914, 5.7942, 0.5827, 3.2981, 1.7786, 5.4999, 0.7052, 279.12, 266.52, 289.22, 4.585, 275.72, 261.82, 296.82, 6.297, 13.4, 13.27, 13.71, 0.1281, 0.076, -0.046, 0.348, 0.116, 980.9, 980.7, 981.0, 0.0522, 82.1, 80.5, 82.8, 0.6598, 
2022-01-01 01:10:00, WM05, 8.4327, 4.8563, 11.3646, 1.6128, 8.3543, 4.5584, 11.6796, 1.5852, 7.0229, 3.3224, 10.1408, 1.6606, 5.4281, 2.6914, 8.8971, 1.6426, 4.252, 1.7786, 8.2908, 1.4953, 275.52, 260.62, 289.82, 5.033, 269.82, 247.32, 293.92, 7.127, 13.4, 13.23, 13.74, 0.14, 0.523, 0.348, 0.778, 0.09, 980.8, 980.6, 980.9, 0.0574, 81.1, 78.98, 82.8, 1.282, 
2022-01-01 01:20:00, WM05, 9.5609, 6.7158, 12.6043, 1.0407, 9.4751, 6.7257, 12.6084, 1.0038, 7.9403, 5.4919, 10.7606, 1.0816, 6.3776, 3.9325, 9.828, 1.0301, 5.3076, 3.0191, 7.6706, 0.9458, 277.22, 255.12, 291.12, 5.268, 276.02, 247.22, 293.82, 7.023, 13.6, 13.44, 13.81, 0.0852, 0.402, 0.205, 0.635, 0.118, 980.6, 980.5, 980.8, 0.0575, 79.67, 78.71, 80.9, 0.602, 
2022-01-01 01:30:00, WM05, 10.2737, 7.0257, 13.2241, 1.4591, 10.2244, 7.0353, 12.918, 1.4106, 8.6717, 5.8018, 12.3103, 1.3686, 6.9113, 4.2428, 10.1382, 1.1859, 5.5557, 3.0191, 9.2212, 1.184, 275.32, 264.22, 287.32, 4.041, 271.72, 250.62, 298.72, 6.957, 13.59, 13.47, 13.91, 0.1271, 0.377, 0.205, 0.778, 0.156, 980.7, 980.5, 980.8, 0.052, 79.92, 77.89, 81.0, 0.919, 
2022-01-01 01:40:00, WM05, 12.5547, 10.4348, 13.8439, 0.5758, 12.5093, 10.4411, 13.5372, 0.5889, 10.9032, 8.9011, 12.6202, 0.7184, 8.6861, 6.4148, 12.0, 0.9234, 7.038, 3.9494, 9.2212, 0.993, 275.02, 267.92, 284.52, 2.134, 270.92, 241.82, 286.42, 6.116, 14.0, 13.88, 14.15, 0.0574, 0.655, 0.42, 0.778, 0.105, 980.8, 980.6, 980.9, 0.0586, 78.42, 77.55, 79.8, 0.5414, 
