Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds
Tair,air temperature,°C,60 m,Sensor faulty - data deleted
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2022-02-01 00:10:00, WM05, 12.5175, 10.1249, 14.4638, 0.7853, 12.5155, 10.4411, 14.4661, 0.8013, 11.6098, 8.5912, 13.8599, 0.9967, 10.0576, 5.7942, 12.6205, 1.2653, 8.5823, 5.4999, 11.3919, 1.2417, 84.32, 72.62, 94.72, 3.274, 82.72, 62.22, 99.32, 5.379, 20.34, 20.26, 20.47, 0.025, -0.278, -0.296, -0.224, 0.021, 977.4, 977.2, 977.5, 0.0667, 100.0, 99.8, 100.0, 0.0276, 
2022-02-01 00:20:00, WM05, 12.2138, 10.1249, 14.1539, 0.7618, 12.2369, 10.1315, 14.1565, 0.7672, 11.2069, 8.5912, 13.24, 0.8771, 9.4246, 6.4148, 13.2411, 1.0742, 7.8071, 5.1898, 10.7717, 1.0537, 81.62, 72.52, 92.62, 3.404, 80.02, 56.82, 105.22, 6.34, 20.35, 20.26, 20.5, 0.0293, -0.28, -0.296, -0.224, 0.021, 977.3, 977.1, 977.5, 0.0693, 100.0, 99.8, 100.0, 0.0286, 
2022-02-01 00:30:00, WM05, 11.7861, 9.815, 13.2241, 0.6564, 11.822, 9.8219, 13.5372, 0.6787, 11.0706, 7.9713, 13.24, 0.9459, 9.4618, 6.7251, 12.3102, 1.027, 7.8009, 4.2595, 11.0818, 1.1331, 81.82, 67.22, 94.22, 3.41, 80.62, 58.72, 103.12, 6.387, 20.32, 20.23, 20.47, 0.0373, -0.277, -0.296, -0.224, 0.023, 977.3, 977.0, 977.4, 0.0648, 100.0, 99.9, 100.0, 0.0284, 
2022-02-01 00:40:00, WM05, 11.6373, 9.5051, 13.534, 0.7035, 11.6238, 8.893, 13.5372, 0.7505, 10.8164, 7.9713, 12.6202, 0.8975, 9.4618, 5.484, 12.3102, 1.1772, 7.8939, 4.2595, 10.7717, 1.3539, 82.52, 73.82, 92.52, 2.964, 80.92, 55.22, 107.42, 6.741, 20.25, 20.16, 20.33, 0.0267, -0.273, -0.296, -0.224, 0.023, 977.2, 977.0, 977.4, 0.0644, 100.0, 99.8, 100.0, 0.0297, 
2022-02-01 00:50:00, WM05, 11.4762, 9.1951, 13.534, 0.7791, 11.4938, 8.893, 13.8469, 0.7833, 10.6987, 8.2812, 12.9301, 0.8889, 9.3811, 6.1045, 12.0, 1.0984, 7.8939, 5.1898, 11.702, 1.2187, 81.52, 72.22, 90.72, 3.29, 80.22, 61.22, 103.52, 6.25, 20.2, 20.13, 20.33, 0.0291, -0.273, -0.296, -0.224, 0.024, 977.1, 976.9, 977.3, 0.0819, 100.0, 99.8, 100.0, 0.0252, 
2022-02-01 01:00:00, WM05, 11.7117, 9.815, 13.8439, 0.7463, 11.7229, 9.5122, 13.8469, 0.7431, 11.0396, 7.3515, 13.24, 0.9366, 9.4991, 5.7942, 12.0, 1.238, 7.9993, 4.5696, 11.0818, 1.3068, 86.12, 72.12, 98.12, 4.18, 85.52, 65.82, 106.22, 6.489, 20.15, 20.06, 20.3, 0.0371, -0.276, -0.296, -0.224, 0.023, 977.0, 976.8, 977.2, 0.073, 100.0, 99.8, 100.0, 0.0277, 
2022-02-01 01:10:00, WM05, 12.0588, 10.4348, 14.4638, 0.8634, 12.0759, 10.1315, 14.4661, 0.8434, 11.5107, 9.211, 14.1698, 0.8139, 9.921, 6.7251, 12.6205, 1.1176, 8.4893, 4.8797, 11.0818, 1.1821, 89.82, 80.02, 101.42, 3.558, 90.22, 71.92, 108.42, 5.977, 20.12, 20.06, 20.23, 0.0211, -0.277, -0.296, -0.224, 0.023, 976.9, 976.7, 977.1, 0.0641, 100.0, 99.9, 100.0, 0.0299, 
2022-02-01 01:20:00, WM05, 12.1394, 9.5051, 15.0836, 1.1293, 12.1502, 9.2026, 15.0853, 1.1443, 11.5726, 8.5912, 14.7897, 1.262, 9.8776, 5.7942, 13.8617, 1.5347, 8.297, 4.8797, 13.2525, 1.5834, 87.52, 74.82, 97.42, 4.059, 87.72, 67.32, 115.72, 7.466, 20.11, 20.06, 20.19, 0.029, -0.277, -0.296, -0.224, 0.022, 976.8, 976.6, 977.0, 0.0902, 100.0, 99.9, 100.0, 0.0274, 
2022-02-01 01:30:00, WM05, 12.2324, 9.1951, 15.3935, 1.1368, 12.2431, 9.5122, 15.3949, 1.1443, 11.4983, 8.5912, 15.4095, 1.169, 9.9893, 6.7251, 13.8617, 1.248, 8.6196, 5.1898, 12.6323, 1.3508, 86.72, 76.42, 101.42, 4.23, 85.72, 55.02, 105.52, 6.485, 20.09, 19.99, 20.19, 0.0364, -0.276, -0.296, -0.153, 0.027, 976.7, 976.5, 976.9, 0.0683, 100.0, 99.9, 100.0, 0.0288, 
2022-02-01 01:40:00, WM05, 12.4183, 9.5051, 15.3935, 1.1368, 12.4412, 9.5122, 15.3949, 1.1493, 11.8144, 8.5912, 14.4797, 1.1269, 10.5106, 7.3457, 13.8617, 1.2374, 8.9855, 5.4999, 12.0121, 1.2764, 85.22, 71.32, 94.42, 3.696, 84.12, 57.92, 99.92, 6.114, 20.07, 19.99, 20.16, 0.0277, -0.279, -0.296, -0.224, 0.021, 976.5, 976.2, 976.7, 0.0921, 100.0, 99.9, 100.0, 0.0254, 
