Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,Sensor faulty - gets stuck at low wind speeds - use with caution
Tair,air temperature,°C,60 m,Sensor could be faulty - use with caution
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from 100 to 0 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2022-08-01 00:10:00, WM05, 1.6529, 1.1372, 2.067, 0.1568, 1.7056, 1.4623, 2.0815, 0.1368, 1.629, 1.4629, 1.7728, 0.1543, 1.2951, 0.8297, 1.4503, 0.157, 1.022, 0.8483, 1.1584, 0.1538, 114.52, 105.42, 126.42, 5.49, 76.62, 73.12, 83.12, 3.03, 10.1, 10.06, 10.16, 0.0155, 0.2, 0.133, 0.312, 0.043, 995.6, 995.5, 995.7, 0.0494, 66.39, 65.71, 67.62, 0.401, 
2022-08-01 00:20:00, WM05, 1.6529, 1.4471, 2.067, 0.1568, 1.705, 1.4623, 2.0815, 0.1505, 1.6067, 1.4629, 1.7728, 0.1543, 1.4056, 1.14, 1.7605, 0.1328, 1.0933, 0.8483, 1.4685, 0.134, 123.22, 118.42, 124.92, 2.528, 92.02, 83.02, 93.92, 2.911, 10.09, 10.03, 10.16, 0.015, 0.067, -0.082, 0.133, 0.06, 995.6, 995.5, 995.7, 0.0497, 67.42, 67.11, 67.79, 0.1716, 
2022-08-01 00:30:00, WM05, 1.6381, 1.1372, 2.067, 0.1705, 1.6901, 1.1526, 2.0815, 0.166, 1.5974, 1.153, 1.7728, 0.1556, 1.441, 1.14, 1.7605, 0.1223, 1.1411, 0.8483, 1.4685, 0.129, 117.22, 114.32, 120.72, 2.348, 93.12, 93.12, 93.42, 0.141, 10.05, 9.99, 10.09, 0.0283, -0.011, -0.082, 0.062, 0.023, 995.6, 995.5, 995.7, 0.0397, 67.9, 67.45, 68.33, 0.2111, 
2022-08-01 00:40:00, WM05, 1.8717, 1.4471, 2.067, 0.1537, 1.905, 1.7719, 2.0815, 0.1536, 1.6501, 1.4629, 1.7728, 0.1519, 1.4918, 1.4503, 1.7605, 0.1055, 1.3085, 1.1584, 1.4685, 0.1551, 122.62, 120.22, 123.82, 1.327, 96.02, 93.32, 96.42, 0.444, 10.05, 10.02, 10.09, 0.0301, -0.027, -0.117, 0.062, 0.036, 995.6, 995.5, 995.7, 0.0474, 68.52, 68.13, 68.81, 0.1818, 
2022-08-01 00:50:00, WM05, 2.0143, 1.7571, 2.3769, 0.1543, 2.0462, 1.7719, 2.3911, 0.1455, 1.7431, 1.4629, 2.0827, 0.168, 1.5092, 1.14, 1.7605, 0.1297, 1.3941, 1.1584, 1.7786, 0.1371, 126.02, 123.72, 132.82, 2.661, 100.82, 96.42, 112.42, 5.215, 10.05, 10.02, 10.09, 0.0303, -0.099, -0.153, 0.062, 0.048, 995.5, 995.4, 995.6, 0.0532, 68.75, 68.67, 68.88, 0.0367, 
2022-08-01 01:00:00, WM05, 2.1147, 1.7571, 2.3769, 0.1568, 2.1508, 1.7719, 2.3911, 0.156, 1.9185, 1.7728, 2.3927, 0.1568, 1.6656, 1.4503, 1.7605, 0.1434, 1.5603, 1.4685, 1.7786, 0.1414, 136.92, 132.82, 137.82, 1.017, 112.42, 111.42, 112.92, 0.336, 10.05, 9.96, 10.13, 0.0312, -0.142, -0.153, -0.082, 0.022, 995.5, 995.4, 995.6, 0.0433, 68.62, 68.54, 68.74, 0.0571, 
2022-08-01 01:10:00, WM05, 1.7806, 1.4471, 2.067, 0.1922, 1.8276, 1.4623, 2.0815, 0.1913, 1.7524, 1.4629, 2.0827, 0.1141, 1.5173, 1.14, 1.7605, 0.1613, 1.5039, 1.1584, 1.7786, 0.1582, 128.12, 123.42, 136.12, 3.211, 101.82, 98.22, 111.42, 3.15, 10.04, 10.02, 10.09, 0.0249, -0.138, -0.153, -0.082, 0.027, 995.4, 995.4, 995.6, 0.045, 68.86, 68.47, 69.22, 0.1947, 
2022-08-01 01:20:00, WM05, 1.6784, 1.4471, 2.067, 0.1605, 1.736, 1.4623, 2.0815, 0.1629, 1.7945, 1.4629, 2.0827, 0.1153, 1.4701, 1.14, 1.7605, 0.1316, 1.4065, 1.1584, 1.7786, 0.129, 120.12, 119.82, 123.32, 0.641, 95.92, 94.32, 98.22, 1.282, 9.97, 9.96, 10.03, 0.0259, -0.153, -0.153, -0.153, 0.0, 995.5, 995.4, 995.6, 0.0403, 69.35, 69.15, 69.56, 0.0992, 
2022-08-01 01:30:00, WM05, 1.7341, 1.4471, 2.067, 0.1079, 1.7675, 1.4623, 2.0815, 0.104, 1.7635, 1.4629, 2.0827, 0.0775, 1.4391, 1.14, 1.7605, 0.0887, 1.3526, 1.1584, 1.4685, 0.1501, 119.92, 119.92, 119.92, 0.084, 97.82, 97.82, 97.82, 0.11, 9.96, 9.89, 10.02, 0.0179, -0.127, -0.153, -0.01, 0.036, 995.4, 995.4, 995.6, 0.0406, 69.28, 69.01, 69.52, 0.147, 
2022-08-01 01:40:00, WM05, 1.9139, 1.7571, 2.3769, 0.163, 1.9409, 1.7719, 2.3911, 0.1604, 1.7468, 1.4629, 2.0827, 0.1085, 1.5229, 1.14, 1.7605, 0.1452, 1.365, 1.1584, 1.4685, 0.1464, 124.62, 119.92, 127.72, 2.905, 104.32, 97.82, 107.62, 3.81, 9.97, 9.89, 10.12, 0.0328, -0.038, -0.082, 0.062, 0.042, 995.4, 995.3, 995.5, 0.0408, 68.27, 67.38, 69.28, 0.6374, 
2022-08-01 01:50:00, WM05, 1.8643, 1.4471, 2.067, 0.1581, 1.8988, 1.4623, 2.3911, 0.1622, 1.7121, 1.4629, 2.0827, 0.1283, 1.6128, 1.4503, 1.7605, 0.1551, 1.2682, 1.1584, 1.4685, 0.1482, 124.72, 121.92, 127.12, 1.332, 106.52, 106.52, 106.52, 0.0, 10.01, 9.96, 10.09, 0.0339, 0.063, -0.046, 0.133, 0.039, 995.4, 995.2, 995.5, 0.0413, 67.64, 66.43, 68.47, 0.6097, 
2022-08-01 02:00:00, WM05, 1.9691, 1.4471, 2.3769, 0.1779, 2.0022, 1.7719, 2.3911, 0.1728, 1.7821, 1.4629, 2.3927, 0.1345, 1.6693, 1.4503, 2.0708, 0.1434, 1.4233, 1.1584, 1.7786, 0.1234, 122.52, 113.72, 129.42, 3.994, 106.52, 106.52, 106.62, 0.034, 9.96, 9.89, 10.02, 0.0223, -0.008, -0.082, 0.062, 0.035, 995.4, 995.2, 995.5, 0.0454, 67.85, 67.24, 68.53, 0.2879, 
2022-08-01 02:10:00, WM05, 1.8364, 1.4471, 2.3769, 0.163, 1.879, 1.4623, 2.3911, 0.1579, 1.7325, 1.4629, 2.0827, 0.1159, 1.6538, 1.4503, 1.7605, 0.1471, 1.4946, 1.1584, 1.7786, 0.1551, 116.52, 112.22, 119.42, 2.504, 104.32, 99.92, 106.52, 2.3, 9.92, 9.89, 10.02, 0.0324, -0.122, -0.153, -0.046, 0.034, 995.4, 995.3, 995.6, 0.0507, 68.42, 67.99, 68.67, 0.1861, 
2022-08-01 02:20:00, WM05, 1.8674, 1.4471, 2.067, 0.1667, 1.9186, 1.4623, 2.3911, 0.1703, 1.7697, 1.4629, 2.0827, 0.1147, 1.6147, 1.4503, 1.7605, 0.1551, 1.4326, 1.1584, 1.7786, 0.1588, 112.02, 108.62, 121.82, 4.05, 100.62, 99.62, 105.22, 1.862, 9.89, 9.82, 10.02, 0.0215, -0.031, -0.153, 0.097, 0.081, 995.3, 995.2, 995.4, 0.0351, 68.69, 68.43, 68.95, 0.1245, 
2022-08-01 02:30:00, WM05, 2.0434, 1.4471, 2.6868, 0.2033, 2.0815, 1.7719, 2.7007, 0.1957, 1.8615, 1.4629, 2.3927, 0.1674, 1.6718, 1.4503, 2.0708, 0.1446, 1.3619, 1.1584, 1.4685, 0.147, 122.32, 116.72, 127.72, 2.261, 105.22, 104.62, 105.62, 0.347, 9.88, 9.82, 9.96, 0.0258, 0.054, -0.082, 0.133, 0.054, 995.3, 995.2, 995.4, 0.0407, 68.86, 68.6, 69.08, 0.1199, 
2022-08-01 02:40:00, WM05, 2.2604, 1.7571, 2.6868, 0.2027, 2.2982, 1.7719, 2.7007, 0.2012, 2.1342, 1.7728, 2.3927, 0.145, 1.8586, 1.4503, 2.0708, 0.1589, 1.5864, 1.4685, 1.7786, 0.1507, 116.42, 111.22, 125.22, 3.52, 104.12, 100.52, 104.92, 1.418, 9.84, 9.82, 9.96, 0.0326, -0.039, -0.117, 0.062, 0.034, 995.3, 995.2, 995.4, 0.0438, 69.54, 69.01, 69.9, 0.2145, 
2022-08-01 02:50:00, WM05, 2.2579, 2.067, 2.6868, 0.155, 2.2908, 2.0815, 2.7007, 0.1554, 2.1212, 1.7728, 2.3927, 0.1271, 1.9113, 1.7605, 2.0708, 0.1551, 1.6527, 1.1584, 1.7786, 0.1544, 108.52, 105.42, 116.42, 2.403, 99.02, 98.12, 100.52, 0.952, 9.83, 9.79, 9.99, 0.0206, -0.047, -0.117, 0.062, 0.037, 995.3, 995.1, 995.4, 0.0518, 69.59, 69.35, 69.83, 0.1124, 
2022-08-01 03:00:00, WM05, 2.1488, 1.7571, 2.3769, 0.1432, 2.1868, 1.7719, 2.3911, 0.1486, 2.053, 1.7728, 2.3927, 0.119, 1.6842, 1.4503, 2.0708, 0.175, 1.4853, 1.1584, 1.7786, 0.0862, 103.32, 101.72, 105.62, 1.463, 93.42, 89.72, 98.12, 3.644, 9.79, 9.75, 9.82, 0.0315, -0.003, -0.082, 0.062, 0.026, 995.2, 995.1, 995.4, 0.0542, 69.72, 69.45, 69.97, 0.1326, 
2022-08-01 03:10:00, WM05, 2.1829, 2.067, 2.3769, 0.15, 2.2208, 2.0815, 2.3911, 0.1542, 2.0567, 1.7728, 2.3927, 0.1172, 1.678, 1.4503, 2.0708, 0.1396, 1.4766, 1.1584, 1.7786, 0.1185, 103.02, 102.02, 103.72, 0.428, 92.32, 91.42, 92.72, 0.326, 9.76, 9.68, 9.85, 0.0304, 0.017, -0.082, 0.062, 0.033, 995.1, 995.0, 995.3, 0.0524, 70.32, 69.83, 70.71, 0.2816, 
2022-08-01 03:20:00, WM05, 2.1011, 1.7571, 2.3769, 0.1258, 2.1589, 2.0815, 2.3911, 0.1344, 2.0623, 1.7728, 2.3927, 0.0849, 1.7376, 1.4503, 2.0708, 0.0987, 1.5882, 1.4685, 1.7786, 0.1507, 99.62, 98.02, 103.62, 1.84, 91.12, 90.32, 94.32, 0.895, 9.69, 9.68, 9.82, 0.0248, -0.057, -0.153, 0.062, 0.04, 995.1, 995.0, 995.2, 0.0436, 70.28, 70.03, 70.65, 0.1639, 
2022-08-01 03:30:00, WM05, 2.217, 1.7571, 2.3769, 0.1568, 2.2567, 2.0815, 2.3911, 0.1536, 2.1187, 1.7728, 2.3927, 0.1351, 1.8865, 1.4503, 2.0708, 0.1564, 1.7154, 1.4685, 2.0887, 0.1346, 103.52, 100.32, 104.52, 1.301, 95.82, 94.42, 96.12, 0.383, 9.67, 9.61, 9.68, 0.0212, -0.151, -0.153, -0.082, 0.009, 995.1, 994.9, 995.1, 0.0357, 70.43, 70.0, 70.81, 0.2204, 
2022-08-01 03:40:00, WM05, 2.2294, 2.067, 2.3769, 0.155, 2.2592, 2.0815, 2.3911, 0.1529, 2.1354, 2.0827, 2.3927, 0.1165, 1.8288, 1.7605, 2.0708, 0.1285, 1.6434, 1.4685, 1.7786, 0.1538, 105.62, 104.42, 107.92, 0.919, 96.12, 95.72, 97.02, 0.374, 9.67, 9.58, 9.79, 0.0285, -0.15, -0.153, -0.082, 0.01, 995.1, 995.0, 995.2, 0.0462, 70.66, 70.37, 70.99, 0.1476, 
2022-08-01 03:50:00, WM05, 2.2201, 2.067, 2.3769, 0.155, 2.2518, 2.0815, 2.3911, 0.1542, 2.2086, 2.0827, 2.3927, 0.1525, 1.8462, 1.7605, 2.0708, 0.139, 1.7092, 1.4685, 1.7786, 0.129, 107.22, 104.02, 107.92, 0.945, 97.52, 96.22, 97.82, 0.328, 9.64, 9.58, 9.75, 0.0332, -0.153, -0.153, -0.153, 0.0, 995.1, 994.9, 995.2, 0.0481, 71.0, 70.65, 71.39, 0.1976, 
2022-08-01 04:00:00, WM05, 2.3596, 2.067, 2.6868, 0.1314, 2.3868, 2.0815, 2.7007, 0.1263, 2.2625, 2.0827, 2.3927, 0.1531, 1.9033, 1.7605, 2.0708, 0.1545, 1.6689, 1.4685, 1.7786, 0.1482, 98.12, 92.22, 104.02, 3.595, 89.52, 85.22, 96.22, 2.708, 9.62, 9.55, 9.68, 0.0223, -0.068, -0.153, 0.062, 0.066, 995.0, 994.9, 995.1, 0.0562, 71.15, 70.85, 71.6, 0.1775, 
2022-08-01 04:10:00, WM05, 2.3087, 2.067, 2.6868, 0.145, 2.3397, 2.0815, 2.7007, 0.1406, 2.1447, 1.7728, 2.3927, 0.1599, 1.8288, 1.4503, 2.0708, 0.1514, 1.4704, 1.1584, 1.7786, 0.129, 92.02, 90.82, 94.52, 1.307, 84.22, 84.12, 85.22, 0.261, 9.59, 9.55, 9.75, 0.0391, 0.045, -0.046, 0.097, 0.024, 994.9, 994.8, 995.1, 0.0478, 71.17, 70.92, 71.43, 0.1316, 
2022-08-01 04:20:00, WM05, 2.447, 2.067, 2.6868, 0.1345, 2.4889, 2.0815, 2.7007, 0.1505, 2.278, 2.0827, 2.3927, 0.1494, 1.9542, 1.7605, 2.0708, 0.1502, 1.5721, 1.4685, 1.7786, 0.1464, 94.52, 93.22, 97.52, 1.292, 84.92, 84.12, 85.42, 0.423, 9.55, 9.48, 9.65, 0.0204, 0.079, -0.01, 0.133, 0.027, 994.9, 994.8, 995.0, 0.053, 71.77, 71.39, 72.38, 0.2055, 
