Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,Strange drops from above 10 to below 5, but not downward spike - use with caution
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from above 90 to below 5 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2022-10-01 00:10:00, WM05, 5.2716, 4.8563, 6.096, 0.2343, 5.2891, 4.868, 5.7969, 0.2254, 5.032, 4.5621, 5.4919, 0.1984, 4.272, 3.6223, 4.8634, 0.2085, 3.1636, 2.3988, 3.9494, 0.2574, 263.12, 257.42, 267.72, 1.795, 263.52, 259.82, 268.22, 1.379, 12.87, 12.79, 13.0, 0.0521, 0.401, 0.348, 0.491, 0.057, 987.4, 987.2, 987.5, 0.0601, 84.6, 84.4, 85.1, 0.1656, 
2022-10-01 00:20:00, WM05, 5.315, 4.5464, 6.096, 0.3087, 5.3263, 4.5584, 6.1065, 0.3121, 5.1374, 4.2522, 5.8018, 0.295, 4.5786, 3.9325, 5.1737, 0.2588, 3.3422, 2.3988, 4.2595, 0.3076, 259.92, 243.32, 266.92, 4.009, 263.32, 254.72, 268.92, 2.684, 12.84, 12.79, 12.93, 0.0367, 0.465, 0.348, 0.527, 0.038, 987.4, 987.3, 987.6, 0.0548, 84.0, 83.5, 84.5, 0.2253, 
2022-10-01 00:30:00, WM05, 5.098, 4.2364, 6.7158, 0.4079, 5.0848, 4.2488, 6.7257, 0.4019, 4.8008, 3.9423, 5.8018, 0.3682, 4.2832, 3.312, 5.1737, 0.3246, 3.4737, 2.3988, 4.5696, 0.3417, 252.72, 236.22, 262.72, 4.771, 256.92, 247.02, 268.12, 3.668, 12.82, 12.72, 12.93, 0.0426, 0.311, 0.205, 0.42, 0.046, 987.4, 987.3, 987.6, 0.0619, 83.5, 82.6, 84.4, 0.4686, 
2022-10-01 00:40:00, WM05, 4.9307, 3.9265, 5.786, 0.2913, 4.9126, 4.2488, 5.7969, 0.2811, 4.3533, 3.9423, 5.182, 0.212, 3.917, 3.6223, 4.5531, 0.206, 3.1729, 2.709, 3.9494, 0.2357, 254.62, 245.02, 265.02, 3.6, 261.02, 255.32, 267.62, 1.297, 12.71, 12.65, 12.86, 0.0332, 0.27, 0.205, 0.348, 0.029, 987.6, 987.4, 987.7, 0.0549, 84.6, 84.3, 84.8, 0.1428, 
2022-10-01 00:50:00, WM05, 4.7001, 3.6166, 5.786, 0.344, 4.6823, 3.9392, 5.7969, 0.3468, 4.2603, 3.6324, 5.182, 0.2938, 3.698, 3.312, 4.2428, 0.2172, 3.0302, 2.3988, 3.6393, 0.2623, 250.72, 239.32, 259.72, 4.016, 258.92, 251.62, 264.42, 1.881, 12.71, 12.59, 12.79, 0.031, 0.235, 0.169, 0.276, 0.033, 987.5, 987.4, 987.6, 0.0596, 84.3, 84.0, 84.8, 0.1781, 
2022-10-01 01:00:00, WM05, 5.2158, 4.2364, 6.4059, 0.4178, 5.1758, 4.2488, 6.4161, 0.4062, 4.7028, 3.6324, 5.8018, 0.4593, 4.0796, 3.312, 5.1737, 0.2979, 3.4346, 2.709, 4.2595, 0.3368, 247.52, 232.32, 260.92, 4.823, 256.52, 241.02, 265.82, 4.112, 12.7, 12.59, 12.86, 0.0443, 0.202, -0.01, 0.276, 0.076, 987.6, 987.5, 987.7, 0.0345, 83.7, 82.9, 84.6, 0.4944, 
2022-10-01 01:10:00, WM05, 5.1786, 4.2364, 6.096, 0.4556, 5.1454, 4.2488, 6.1065, 0.4304, 4.675, 3.6324, 5.8018, 0.4196, 4.0114, 3.0017, 5.1737, 0.3668, 3.2597, 2.3988, 4.5696, 0.4081, 251.22, 240.72, 262.72, 4.146, 255.82, 243.82, 268.72, 3.804, 12.75, 12.72, 12.79, 0.0296, 0.234, 0.169, 0.276, 0.031, 987.6, 987.5, 987.7, 0.0396, 83.3, 82.7, 84.0, 0.3564, 
2022-10-01 01:20:00, WM05, 4.9945, 4.2364, 5.786, 0.3322, 4.9467, 3.9392, 5.7969, 0.3393, 4.2782, 3.6324, 5.8018, 0.3304, 3.4485, 2.6914, 4.2428, 0.2507, 2.7232, 2.0887, 3.3292, 0.2686, 246.12, 235.42, 254.72, 3.408, 257.12, 240.22, 265.62, 3.927, 12.77, 12.72, 12.86, 0.0316, 0.382, 0.276, 0.491, 0.063, 987.6, 987.5, 987.7, 0.0403, 83.2, 82.4, 84.0, 0.4911, 
2022-10-01 01:30:00, WM05, 5.0063, 4.2364, 5.786, 0.2901, 4.969, 4.2488, 5.7969, 0.3034, 4.4332, 3.6324, 5.182, 0.2988, 3.6254, 3.0017, 4.5531, 0.2408, 2.7536, 2.0887, 3.6393, 0.227, 244.22, 233.62, 253.52, 3.112, 252.12, 245.22, 261.22, 2.456, 12.73, 12.65, 12.86, 0.0336, 0.338, 0.276, 0.384, 0.027, 987.6, 987.5, 987.7, 0.0443, 83.6, 83.0, 84.5, 0.3515, 
2022-10-01 01:40:00, WM05, 4.635, 3.9265, 5.1662, 0.2616, 4.6018, 3.6296, 5.4873, 0.2526, 4.2101, 3.6324, 5.182, 0.2994, 3.5726, 3.0017, 4.5531, 0.2948, 2.717, 2.0887, 3.3292, 0.2592, 242.62, 232.12, 255.72, 4.126, 251.32, 238.12, 260.92, 2.636, 12.61, 12.45, 12.79, 0.0465, 0.277, 0.205, 0.348, 0.012, 987.6, 987.5, 987.7, 0.0494, 83.8, 82.8, 84.6, 0.5258, 
