Legend:
field,description,unit,height,flag message
WS_62,wind speed,m/s,62 m,
WS_60,wind speed,m/s,60 m,
WS_40,wind speed,m/s,40 m,
WS_20,wind speed,m/s,20 m,
WS_10,wind speed,m/s,10 m,
WD_60,wind direction,°TN,60 m,
WD_20,wind direction,°TN,20 m,
Tair,air temperature,°C,60 m,
Tgrad,air temperature difference,°C,60 m to 10 m,
Pbaro,barometric pressure,hPa,6 m,
RH,Relative Humidity,%,60 m,Sudden dips from above 90 to below 5 â€“ use with caution

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40a_mean, WS_40a_min, WS_40a_max, WS_40a_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2023-03-01 00:10:00, WM05, 2.6868, 2.067, 3.3067, 0.2163, 2.7236, 2.0815, 3.3199, 0.2105, 2.8036, 2.0827, 3.3224, 0.2411, 2.8757, 2.3811, 3.312, 0.2122, 2.4578, 1.7786, 3.0191, 0.2444, 58.52, 36.89, 79.72, 9.99, 41.63, 32.72, 57.42, 6.347, 17.03, 16.86, 17.2, 0.0682, -0.084, -0.296, 0.24, 0.117, 984.8, 984.6, 984.9, 0.0542, 91.6, 89.8, 93.8, 1.199, 
2023-03-01 00:20:00, WM05, 3.024, 2.6868, 3.3067, 0.194, 3.0283, 2.7007, 3.6296, 0.1864, 2.7547, 2.3927, 3.0125, 0.1878, 2.4972, 2.0708, 3.0017, 0.1663, 2.1849, 1.7786, 2.709, 0.1997, 80.62, 63.82, 90.82, 5.899, 69.12, 53.33, 85.52, 9.83, 17.17, 17.13, 17.27, 0.0357, 0.231, -0.01, 0.276, 0.082, 984.8, 984.7, 985.0, 0.0529, 88.9, 86.1, 90.7, 0.973, 
2023-03-01 00:30:00, WM05, 3.068, 2.3769, 3.9265, 0.3663, 3.0475, 2.3911, 3.9392, 0.3635, 2.9722, 2.7026, 3.3224, 0.2058, 2.5468, 2.0708, 3.0017, 0.1849, 2.3418, 2.0887, 2.709, 0.2096, 99.32, 90.82, 107.32, 4.791, 94.72, 85.42, 104.32, 5.144, 17.67, 17.2, 18.22, 0.3426, 0.551, 0.026, 0.921, 0.282, 984.9, 984.8, 985.0, 0.0404, 76.11, 70.6, 86.1, 3.897, 
2023-03-01 00:40:00, WM05, 3.1777, 2.3769, 3.9265, 0.2901, 3.1887, 2.3911, 3.9392, 0.2743, 3.0051, 2.7026, 3.6324, 0.2672, 2.6169, 2.3811, 3.0017, 0.1589, 2.2822, 1.7786, 2.709, 0.2016, 81.42, 60.32, 107.02, 16.55, 76.82, 49.22, 103.92, 19.09, 17.95, 17.27, 18.39, 0.3692, 0.533, 0.062, 1.065, 0.299, 984.8, 984.7, 985.0, 0.0482, 80.6, 70.46, 88.4, 6.81, 
2023-03-01 00:50:00, WM05, 3.2459, 2.9968, 3.6166, 0.1971, 3.2425, 3.0103, 3.6296, 0.1926, 3.0076, 2.7026, 3.3224, 0.2095, 2.5723, 2.3811, 3.0017, 0.2017, 2.2481, 1.7786, 2.709, 0.2741, 97.22, 69.72, 108.72, 11.66, 94.92, 64.02, 106.22, 12.24, 17.19, 17.1, 17.41, 0.0412, 0.01, -0.01, 0.062, 0.029, 984.9, 984.8, 985.1, 0.0632, 87.9, 87.4, 88.5, 0.233, 
2023-03-01 01:00:00, WM05, 3.528, 3.3067, 3.9265, 0.1835, 3.5131, 3.0103, 3.9392, 0.1864, 3.2605, 2.7026, 3.6324, 0.2442, 2.9508, 2.3811, 3.312, 0.1924, 2.6841, 2.3988, 3.0191, 0.1811, 91.42, 85.32, 102.52, 5.761, 86.22, 78.32, 98.22, 6.922, 17.15, 17.07, 17.27, 0.0306, -0.01, -0.01, -0.01, 0.0, 984.9, 984.7, 985.0, 0.0528, 88.3, 87.7, 89.0, 0.3887, 
2023-03-01 01:10:00, WM05, 3.7548, 3.6166, 4.2364, 0.1562, 3.7472, 3.3199, 3.9392, 0.1567, 3.3658, 3.0125, 3.9423, 0.2058, 3.0029, 2.6914, 3.312, 0.1837, 2.7183, 2.0887, 3.0191, 0.2152, 96.02, 89.22, 102.52, 3.437, 90.32, 84.72, 98.22, 3.817, 17.14, 17.07, 17.27, 0.0169, -0.01, -0.01, -0.01, 0.0, 984.8, 984.6, 984.9, 0.0588, 88.6, 87.9, 89.0, 0.32, 
2023-03-01 01:20:00, WM05, 3.8968, 3.6166, 4.2364, 0.1543, 3.876, 3.6296, 4.2488, 0.1523, 3.6367, 3.3224, 3.9423, 0.1822, 3.1736, 2.6914, 3.6223, 0.1831, 2.704, 2.0887, 3.0191, 0.2065, 92.92, 88.62, 99.32, 4.285, 89.82, 82.82, 97.72, 5.565, 17.05, 17.0, 17.2, 0.0521, 0.02, -0.01, 0.062, 0.032, 984.7, 984.6, 984.8, 0.0484, 89.3, 88.8, 89.7, 0.2087, 
2023-03-01 01:30:00, WM05, 3.9773, 3.6166, 4.2364, 0.1612, 3.9565, 3.6296, 4.2488, 0.1616, 3.7607, 3.6324, 3.9423, 0.1525, 3.3908, 3.0017, 3.6223, 0.1396, 2.7815, 2.3988, 3.3292, 0.1823, 98.12, 96.42, 100.82, 1.298, 98.42, 94.02, 101.72, 2.485, 16.98, 16.86, 17.07, 0.0348, 0.185, -0.01, 0.276, 0.077, 984.8, 984.6, 984.9, 0.067, 90.2, 89.4, 90.8, 0.3917, 
2023-03-01 01:40:00, WM05, 4.3244, 3.9265, 4.8563, 0.2957, 4.3033, 3.9392, 5.1776, 0.2978, 4.1171, 3.6324, 4.5621, 0.2783, 3.7942, 3.312, 4.2428, 0.2029, 3.2609, 2.709, 3.6393, 0.2413, 104.62, 97.42, 111.52, 4.073, 102.82, 94.02, 110.52, 5.149, 16.94, 16.86, 17.07, 0.021, 0.213, 0.097, 0.276, 0.049, 984.7, 984.6, 984.8, 0.06, 89.9, 89.4, 90.3, 0.2058, 
