date_time,WS20M,WD20M,WS60M,WD60M,Tair_mean,Pbaro_mean,t_index,time_ofDay_cos,time_ofDay_sin
2022-03-01 00:00:00,2.1453,210.82,2.619,195.62,19.01,978.3,0.0,1.0,0.0
2022-03-01 00:10:00,2.6585,184.92,2.8543,186.32,19.01,978.2,0.0,1.0,0.0
2022-03-01 00:20:00,2.2402,194.42,3.0196,193.82,18.95,978.1,0.0,1.0,0.0
2022-03-01 00:30:00,2.0274,204.32,2.6338,197.92,18.7,978.2,0.0,1.0,0.0
2022-03-01 00:40:00,1.7469,221.72,1.9162,202.82,18.58,978.2,0.0,1.0,0.0
2022-03-01 00:50:00,1.8896,202.82,2.0518,202.32,18.54,978.1,0.0,1.0,0.0
2022-03-01 01:00:00,1.5713,218.72,1.5657,216.12,18.59,978.1,0.0,1.0,0.0
2022-03-01 01:10:00,1.3621,248.02,1.5799,228.12,18.51,978.0,0.0,1.0,0.0
2022-03-01 01:20:00,1.0146,249.32,1.3805,248.42,18.82,978.0,0.0,1.0,0.0
2022-03-01 01:30:00,1.8071,249.02,2.1125,238.62,18.67,977.9,0.0,1.0,0.0
2022-03-01 01:40:00,1.902,232.62,2.5893,232.72,18.76,977.6,0.0,1.0,0.0
2022-03-01 01:50:00,2.3364,242.82,3.1973,247.02,18.9,977.6,0.0,1.0,0.0
2022-03-01 02:00:00,2.4183,261.92,3.1589,260.92,18.56,977.6,0.0,1.0,0.0
2022-03-01 02:10:00,2.468,263.82,3.102,247.92,18.32,977.4,0.0,1.0,0.0
2022-03-01 02:20:00,3.1351,257.72,4.1912,258.42,18.15,977.4,0.0,1.0,0.0
2022-03-01 02:30:00,4.4383,257.52,5.351,257.52,18.34,977.4,0.0,1.0,0.0
2022-03-01 02:40:00,5.8253,255.62,6.2923,256.42,18.49,977.3,0.0,1.0,0.0
2022-03-01 02:50:00,6.0673,252.72,6.6762,256.82,18.38,977.3,0.0,1.0,0.0
2022-03-01 03:00:00,5.757,252.42,6.4471,256.32,17.85,977.4,0.0,1.0,0.0
2022-03-01 03:10:00,5.484,252.52,5.8588,254.72,17.67,977.4,0.0,1.0,0.0
2022-03-01 03:20:00,5.515,253.12,5.6173,251.42,17.46,977.4,0.0,1.0,0.0
2022-03-01 03:30:00,5.2357,254.12,5.3882,253.22,17.45,977.5,0.0,1.0,0.0
2022-03-01 03:40:00,4.5885,257.62,5.2024,257.12,17.23,977.6,0.0,1.0,0.0
2022-03-01 03:50:00,4.4588,255.52,6.3046,258.22,17.06,977.7,0.0,1.0,0.0
2022-03-01 04:00:00,4.3775,247.42,6.7257,255.62,17.06,977.7,0.0,1.0,0.0
2022-03-01 04:10:00,5.2171,256.52,6.5585,263.52,17.0,977.7,0.0,1.0,0.0
2022-03-01 04:20:00,5.2109,260.12,6.2489,263.62,16.77,977.8,0.0,1.0,0.0
2022-03-01 04:30:00,5.3536,257.12,6.6576,260.52,16.38,977.8,0.0,1.0,0.0
2022-03-01 04:40:00,5.6639,262.02,6.509,259.42,16.19,977.7,0.0,1.0,0.0
2022-03-01 04:50:00,5.2854,262.12,6.1622,257.82,16.48,977.8,0.0,1.0,0.0
2022-03-01 05:00:00,4.6648,263.52,5.6792,257.42,16.76,977.9,0.0,1.0,0.0
2022-03-01 05:10:00,4.2037,267.42,5.3386,254.72,16.8,978.0,0.0,1.0,0.0
2022-03-01 05:20:00,3.5149,267.82,5.2581,253.32,16.9,978.0,0.0,1.0,0.0
