date_time,WS20M,WD20M,WS60M,WD60M,Tair_mean,Pbaro_mean,t_index,time_ofDay_cos,time_ofDay_sin
2020-12-21 00:00:00,6.0735,99.52,9.2769,99.42,17.44,981.5,0.0,1.0,0.0
2020-12-21 00:10:00,6.7499,100.62,9.9395,100.22,17.41,981.3,0.0,1.0,0.0
2020-12-21 00:20:00,6.5576,96.02,9.6051,97.32,17.36,981.2,0.0,1.0,0.0
2020-12-21 00:30:00,6.6196,96.62,9.7785,97.12,17.33,981.2,0.0,1.0,0.0
2020-12-21 00:40:00,6.6134,97.62,9.6547,96.62,17.25,981.1,0.0,1.0,0.0
2020-12-21 00:50:00,6.7934,97.02,10.212,96.02,17.22,981.0,0.0,1.0,0.0
2020-12-21 01:00:00,6.9547,98.02,10.4349,97.32,17.26,980.9,0.0,1.0,0.0
2020-12-21 01:10:00,6.601,97.82,10.4535,98.12,17.22,980.8,0.0,1.0,0.0
2020-12-21 01:20:00,6.4272,99.92,10.02,99.32,17.19,980.7,0.0,1.0,0.0
2020-12-21 01:30:00,6.3714,98.22,9.8281,98.02,17.1,980.6,0.0,1.0,0.0
2020-12-21 01:40:00,5.9184,94.92,9.0664,95.42,17.04,980.5,0.0,1.0,0.0
2020-12-21 01:50:00,5.8191,97.52,8.8125,97.02,16.98,980.4,0.0,1.0,0.0
2020-12-21 02:00:00,5.7818,94.72,8.7939,96.22,17.01,980.3,0.0,1.0,0.0
2020-12-21 02:10:00,5.6019,92.52,8.6391,94.62,17.01,980.3,0.0,1.0,0.0
2020-12-21 02:20:00,5.4157,91.52,8.4472,92.82,17.04,980.3,0.0,1.0,0.0
2020-12-21 02:30:00,5.273,94.42,8.1623,94.62,17.01,980.2,0.0,1.0,0.0
2020-12-21 02:40:00,5.3164,97.02,8.0509,98.62,17.03,980.1,0.0,1.0,0.0
2020-12-21 02:50:00,5.2916,93.22,8.2614,97.62,17.11,979.9,0.0,1.0,0.0
2020-12-21 03:00:00,5.3164,93.52,8.3605,97.02,17.26,979.8,0.0,1.0,0.0
2020-12-21 03:10:00,6.148,92.82,8.602,96.12,17.26,979.7,0.0,1.0,0.0
2020-12-21 03:20:00,6.2659,97.92,8.6639,98.72,17.25,979.6,0.0,1.0,0.0
2020-12-21 03:30:00,6.7499,95.42,8.8621,97.82,17.3,979.5,0.0,1.0,0.0
2020-12-21 03:40:00,6.6134,98.52,8.7692,99.42,17.41,979.4,0.0,1.0,0.0
2020-12-21 03:50:00,6.2535,101.92,8.7073,102.02,17.49,979.4,0.0,1.0,0.0
2020-12-21 04:00:00,5.6391,104.42,8.5772,105.52,17.62,979.5,0.0,1.0,0.0
2020-12-21 04:10:00,5.7756,106.32,8.2676,108.32,17.61,979.6,0.0,1.0,0.0
2020-12-21 04:20:00,6.5451,107.12,8.6453,109.12,17.55,979.6,0.0,1.0,0.0
2020-12-21 04:30:00,6.6444,106.52,8.7134,108.32,17.48,979.7,0.0,1.0,0.0
2020-12-21 04:40:00,6.3962,106.52,8.3481,107.02,17.54,979.8,0.0,1.0,0.0
2020-12-21 04:50:00,7.3643,105.72,9.3822,106.82,17.34,979.9,0.0,1.0,0.0
2020-12-21 05:00:00,6.9237,101.92,9.1841,101.92,17.41,979.9,0.0,1.0,0.0
