date_time,WS20M,WD20M,WS60M,WD60M,Tair_mean,Pbaro_mean,t_index,time_ofDay_cos,time_ofDay_sin
2022-06-21 00:00:00,7.2029,94.12,10.0696,93.42,10.87,990.7,0.0,1.0,0.0
2022-06-21 00:10:00,7.1781,92.22,10.5154,92.82,10.88,990.7,0.0,1.0,0.0
2022-06-21 00:20:00,7.2278,91.22,10.3544,92.22,11.06,990.7,0.0,1.0,0.0
2022-06-21 00:30:00,7.1595,86.52,10.3049,89.12,11.04,990.6,0.0,1.0,0.0
2022-06-21 00:40:00,6.8678,87.32,10.0014,88.42,10.92,990.6,0.0,1.0,0.0
2022-06-21 00:50:00,7.5691,84.32,10.986,86.82,11.04,990.4,0.0,1.0,0.0
2022-06-21 01:00:00,7.5443,78.82,11.0851,82.62,11.12,990.3,0.0,1.0,0.0
2022-06-21 01:10:00,7.507,77.82,10.9551,79.82,11.05,990.2,0.0,1.0,0.0
2022-06-21 01:20:00,7.7056,80.92,10.5278,82.02,10.86,990.1,0.0,1.0,0.0
2022-06-21 01:30:00,7.5132,81.92,9.9767,82.72,10.53,990.1,0.0,1.0,0.0
2022-06-21 01:40:00,6.7748,85.22,9.6051,83.92,10.51,990.2,0.0,1.0,0.0
2022-06-21 01:50:00,6.9795,82.82,10.1934,83.42,10.87,990.1,0.0,1.0,0.0
2022-06-21 02:00:00,6.8306,87.12,9.2707,86.92,10.94,990.2,0.0,1.0,0.0
2022-06-21 02:10:00,6.3217,91.22,8.9611,90.12,10.92,990.3,0.0,1.0,0.0
2022-06-21 02:20:00,6.4024,94.72,9.1159,93.12,10.99,990.2,0.0,1.0,0.0
2022-06-21 02:30:00,6.601,96.02,9.2893,94.82,11.04,990.3,0.0,1.0,0.0
2022-06-21 02:40:00,6.3528,95.92,9.1593,97.02,11.1,990.2,0.0,1.0,0.0
2022-06-21 02:50:00,6.0859,94.22,8.7382,96.72,11.05,990.3,0.0,1.0,0.0
2022-06-21 03:00:00,6.0301,98.12,8.763,99.92,11.03,990.2,0.0,1.0,0.0
2022-06-21 03:10:00,5.7322,96.22,8.4286,97.82,10.85,990.3,0.0,1.0,0.0
2022-06-21 03:20:00,6.1356,100.12,8.3605,98.62,10.8,990.3,0.0,1.0,0.0
2022-06-21 03:30:00,5.7074,101.62,8.5586,97.92,10.84,990.3,0.0,1.0,0.0
2022-06-21 03:40:00,6.0239,104.52,8.3357,100.22,10.85,990.2,0.0,1.0,0.0
2022-06-21 03:50:00,6.1542,97.52,8.5277,98.92,10.77,990.0,0.0,1.0,0.0
2022-06-21 04:00:00,6.0301,102.12,8.7196,101.52,10.89,990.0,0.0,1.0,0.0
2022-06-21 04:10:00,6.5203,102.82,9.6671,100.82,11.12,990.0,0.0,1.0,0.0
2022-06-21 04:20:00,6.9609,100.62,10.2058,98.92,11.22,989.8,0.0,1.0,0.0
2022-06-21 04:30:00,6.5762,104.02,9.6671,103.32,11.23,989.7,0.0,1.0,0.0
2022-06-21 04:40:00,6.4893,105.22,9.6237,103.52,11.44,989.7,0.0,1.0,0.0
2022-06-21 04:50:00,5.2357,99.22,7.8651,100.02,11.25,989.7,0.0,1.0,0.0
2022-06-21 05:00:00,4.4582,93.42,7.0168,98.22,11.16,989.7,0.0,1.0,0.0
2022-06-21 05:10:00,4.2075,102.82,7.0539,101.72,11.21,989.8,0.0,1.0,0.0
2022-06-21 05:20:00,4.4799,102.22,7.2273,104.52,11.3,989.8,0.0,1.0,0.0
2022-06-21 05:30:00,5.1631,110.52,7.8279,107.42,11.35,989.9,0.0,1.0,0.0
2022-06-21 05:40:00,5.0794,111.92,8.1933,108.12,11.41,990.0,0.0,1.0,0.0
2022-06-21 05:50:00,5.0341,113.42,7.8218,108.62,11.43,990.0,0.0,1.0,0.0
2022-06-21 06:00:00,5.7694,109.32,8.7754,105.32,11.4,990.0,0.0,1.0,0.0
2022-06-21 06:10:00,6.0052,106.82,8.8311,104.32,11.49,989.9,0.0,1.0,0.0
2022-06-21 06:20:00,5.7508,105.22,8.5029,104.92,11.65,990.0,0.0,1.0,0.0
2022-06-21 06:30:00,5.5646,109.22,8.602,108.02,11.68,990.1,0.0,1.0,0.0
2022-06-21 06:40:00,5.4591,114.82,8.4472,111.62,11.68,990.2,0.0,1.0,0.0
2022-06-21 06:50:00,5.7694,110.02,8.1066,108.42,11.82,990.2,0.0,1.0,0.0
2022-06-21 07:00:00,5.3661,108.22,7.8403,110.42,11.84,990.3,0.0,1.0,0.0
2022-06-21 07:10:00,5.4157,105.72,7.6608,106.42,11.75,990.5,0.0,1.0,0.0
2022-06-21 07:20:00,5.6888,100.42,8.0323,101.82,11.91,990.6,0.0,1.0,0.0
2022-06-21 07:30:00,5.5957,104.12,8.3976,103.92,11.97,990.7,0.0,1.0,0.0
2022-06-21 07:40:00,5.7384,104.32,8.3419,103.72,11.93,990.8,1.0,0.9990482215818578,0.043619387365336
2022-06-21 07:50:00,6.148,107.32,8.3357,106.12,11.98,990.8,2.0,0.9961946980917455,0.0871557427476581
2022-06-21 08:00:00,5.9742,107.02,8.1376,105.72,12.05,990.9,3.0,0.9914448613738104,0.1305261922200515
2022-06-21 08:10:00,5.6888,110.62,7.7908,108.92,12.0,990.9,4.0,0.984807753012208,0.1736481776669303
2022-06-21 08:20:00,5.4467,113.62,7.4316,111.82,11.96,991.0,5.0,0.9762960071199334,0.2164396139381028
2022-06-21 08:30:00,5.2357,109.92,7.2706,108.72,12.02,991.0,6.0,0.9659258262890684,0.2588190451025207
2022-06-21 08:40:00,5.3412,107.52,7.2706,107.62,12.09,990.9,7.0,0.9537169507482268,0.3007057995042731
2022-06-21 08:50:00,5.3102,107.62,7.4626,107.72,12.11,990.7,8.0,0.9396926207859084,0.3420201433256687
2022-06-21 09:00:00,5.0899,108.12,7.444,107.52,12.16,990.9,9.0,0.9238795325112868,0.3826834323650898
2022-06-21 09:10:00,4.9763,107.72,7.6236,108.12,12.23,990.9,10.0,0.90630778703665,0.4226182617406994
2022-06-21 09:20:00,4.9956,110.52,7.1778,111.32,12.28,991.0,11.0,0.8870108331782217,0.4617486132350338
2022-06-21 09:30:00,5.0794,115.42,7.5864,115.92,12.37,990.9,12.0,0.8660254037844387,0.4999999999999999
2022-06-21 09:40:00,5.9928,120.82,8.1747,120.62,12.42,990.7,13.0,0.8433914458128857,0.5372996083468239
2022-06-21 09:50:00,6.0549,116.02,8.1066,114.22,12.39,990.8,14.0,0.8191520442889918,0.573576436351046
2022-06-21 10:00:00,6.1045,110.22,7.5493,111.62,12.47,990.8,15.0,0.7933533402912353,0.6087614290087205
2022-06-21 10:10:00,6.0052,107.22,7.6793,108.72,12.5,990.9,16.0,0.766044443118978,0.6427876096865393
2022-06-21 10:20:00,5.8625,103.12,7.3078,104.02,12.51,991.0,17.0,0.737277336810124,0.6755902076156602
2022-06-21 10:30:00,5.6143,100.12,6.8929,102.72,12.59,990.9,18.0,0.7071067811865476,0.7071067811865475
2022-06-21 10:40:00,6.0487,103.62,7.314,106.12,12.65,990.9,19.0,0.6755902076156604,0.737277336810124
2022-06-21 10:50:00,5.4529,96.22,6.7691,100.92,12.6,990.9,20.0,0.6427876096865394,0.766044443118978
2022-06-21 11:00:00,6.1232,94.42,7.5741,98.02,12.62,990.7,21.0,0.6087614290087207,0.7933533402912352
2022-06-21 11:10:00,5.8501,95.32,7.1901,98.72,12.65,990.6,22.0,0.5735764363510462,0.8191520442889917
2022-06-21 11:20:00,6.0797,89.52,7.1901,95.02,12.56,990.6,23.0,0.5372996083468239,0.8433914458128857
2022-06-21 11:30:00,5.7508,94.82,7.5183,96.92,12.5,990.3,24.0,0.5000000000000001,0.8660254037844386
2022-06-21 11:40:00,7.1347,94.02,9.054,96.52,12.46,990.1,25.0,0.4617486132350338,0.8870108331782217
2022-06-21 11:50:00,7.3891,94.32,9.215,98.22,12.5,990.1,26.0,0.4226182617406994,0.90630778703665
2022-06-21 12:00:00,8.3944,96.52,10.0262,96.72,12.52,990.0,27.0,0.3826834323650898,0.9238795325112868
2022-06-21 12:10:00,8.5868,92.92,10.3544,95.12,12.37,989.9,28.0,0.3420201433256688,0.9396926207859084
2022-06-21 12:20:00,8.0593,94.22,10.051,95.12,12.42,989.7,29.0,0.300705799504273,0.9537169507482268
2022-06-21 12:30:00,8.5992,89.22,10.5154,90.22,12.54,989.6,30.0,0.2588190451025209,0.9659258262890682
2022-06-21 12:40:00,7.718,89.82,9.9829,93.22,12.44,989.4,31.0,0.2164396139381029,0.9762960071199334
2022-06-21 12:50:00,8.0717,91.22,9.9581,93.42,12.44,989.2,32.0,0.1736481776669304,0.984807753012208
2022-06-21 13:00:00,8.0407,95.42,10.1067,97.72,12.39,989.2,33.0,0.1305261922200515,0.9914448613738104
2022-06-21 13:10:00,8.2455,97.42,9.9952,97.22,12.44,989.0,34.0,0.0871557427476581,0.9961946980917455
2022-06-21 13:20:00,8.2703,91.32,10.2182,91.72,12.42,988.9,35.0,0.043619387365336,0.9990482215818578
2022-06-21 13:30:00,7.5256,87.92,9.5989,89.32,12.47,988.7,36.0,6.123233995736766e-17,1.0
2022-06-21 13:40:00,7.3084,88.22,9.2707,88.82,12.44,988.7,37.0,-0.0436193873653358,0.9990482215818578
2022-06-21 13:50:00,6.5451,76.32,8.0756,79.72,12.5,988.6,38.0,-0.087155742747658,0.9961946980917455
2022-06-21 14:00:00,6.2162,78.52,7.8279,79.12,12.51,988.5,39.0,-0.1305261922200513,0.9914448613738104
2022-06-21 14:10:00,5.937,80.62,7.5555,81.82,12.5,988.4,40.0,-0.1736481776669303,0.984807753012208
2022-06-21 14:20:00,6.5576,87.52,8.0199,88.82,12.56,988.4,41.0,-0.2164396139381025,0.9762960071199336
2022-06-21 14:30:00,6.3031,91.82,8.0509,91.82,12.62,988.3,42.0,-0.2588190451025208,0.9659258262890684
2022-06-21 14:40:00,6.1294,94.02,8.4286,94.72,12.61,988.2,43.0,-0.3007057995042729,0.9537169507482268
2022-06-21 14:50:00,6.3838,94.22,8.3543,95.02,12.59,988.2,44.0,-0.3420201433256685,0.9396926207859084
2022-06-21 15:00:00,6.1914,93.12,8.3048,93.82,12.61,988.2,45.0,-0.3826834323650897,0.9238795325112868
2022-06-21 15:10:00,6.5638,88.42,8.5834,91.12,12.65,988.1,46.0,-0.4226182617406993,0.90630778703665
2022-06-21 15:20:00,6.8678,86.52,8.8621,89.62,12.71,988.1,47.0,-0.4617486132350342,0.8870108331782216
2022-06-21 15:30:00,6.5824,92.42,8.8621,93.82,12.73,988.2,48.0,-0.4999999999999998,0.8660254037844387
2022-06-21 15:40:00,6.5824,97.92,8.9921,97.62,12.77,988.3,49.0,-0.5372996083468236,0.8433914458128858
2022-06-21 15:50:00,6.1666,95.42,8.6268,97.32,12.79,988.4,50.0,-0.5735764363510462,0.8191520442889917
2022-06-21 16:00:00,6.1169,99.02,8.0756,99.02,12.78,988.4,51.0,-0.6087614290087207,0.7933533402912352
2022-06-21 16:10:00,5.6019,100.62,7.9146,100.72,12.73,988.6,52.0,-0.6427876096865394,0.766044443118978
2022-06-21 16:20:00,5.0961,98.32,7.2521,99.82,12.68,988.6,53.0,-0.6755902076156602,0.7372773368101241
2022-06-21 16:30:00,4.8404,98.12,6.8062,100.32,12.63,988.7,54.0,-0.7071067811865475,0.7071067811865476
2022-06-21 16:40:00,5.2109,97.42,7.314,98.82,12.57,988.8,55.0,-0.737277336810124,0.6755902076156604
2022-06-21 16:50:00,5.8811,99.32,7.8465,99.22,12.53,988.7,56.0,-0.7660444431189779,0.6427876096865395
2022-06-21 17:00:00,6.3528,109.32,8.2614,106.22,12.47,988.7,57.0,-0.793353340291235,0.6087614290087209
2022-06-21 17:10:00,6.0363,106.72,8.0199,104.62,12.44,988.9,58.0,-0.8191520442889919,0.5735764363510459
2022-06-21 17:20:00,5.937,102.82,7.7351,102.02,12.39,989.0,59.0,-0.8433914458128855,0.5372996083468241
2022-06-21 17:30:00,5.8005,100.32,7.5555,98.72,12.35,989.2,60.0,-0.8660254037844385,0.5000000000000003
2022-06-21 17:40:00,5.6825,94.12,7.0539,95.52,12.32,989.2,0.0,1.0,0.0
2022-06-21 17:50:00,5.5584,98.72,7.0415,94.82,12.27,989.3,0.0,1.0,0.0
