date_time,WS_10_mean,WS_40a_mean,WS_20_mean,WD_20_mean,WS_60_mean,WD_60_mean,Tair_mean,Pbaro_mean
2021-01-01 00:10:00,4.3724,6.7564,5.4281,226.52,7.8961,225.62,15.18,987.0
2021-01-01 00:20:00,5.1774,7.494,6.21,225.92,8.1871,223.92,15.02,987.1
2021-01-01 00:30:00,3.6802,5.839,4.7716,218.52,6.4223,213.92,14.87,987.1
2021-01-01 00:40:00,3.2144,5.4609,4.2056,210.12,6.317,211.62,14.85,987.2
2021-01-01 00:50:00,3.1909,5.6593,4.3378,212.22,6.5771,211.32,14.83,987.2
2021-01-01 01:00:00,3.1853,5.4609,4.2211,213.92,6.1994,208.92,14.91,987.3
2021-01-01 01:10:00,2.9775,5.2626,3.953,211.42,6.1127,206.32,14.95,987.3
2021-01-01 01:20:00,2.4497,4.0185,3.1953,204.32,4.7547,197.12,14.72,987.3
2021-01-01 01:30:00,2.1458,3.7204,2.8546,199.82,4.4686,192.12,14.67,987.3
2021-01-01 01:40:00,3.0904,5.1653,3.76,201.12,5.6916,199.92,14.37,987.3
2021-01-01 01:50:00,3.3676,5.5105,4.344,191.62,6.0198,189.62,14.5,987.2
2021-01-01 02:00:00,3.3806,5.9196,4.5301,188.42,6.3975,188.72,14.56,987.2
2021-01-01 02:10:00,3.8967,6.4031,5.2295,187.92,6.8743,188.02,14.49,987.1
2021-01-01 02:20:00,3.478,5.808,4.9118,185.52,6.3542,186.12,14.54,987.1
2021-01-01 02:30:00,3.0482,5.1777,4.3204,183.42,5.6854,185.42,14.43,987.1
2021-01-01 02:40:00,3.1691,5.4733,4.5674,184.12,6.1251,183.22,14.39,987.1
2021-01-01 02:50:00,3.3788,5.7089,4.7591,182.92,6.3232,181.62,14.43,987.2
2021-01-01 03:00:00,3.3075,5.8638,4.6698,178.12,6.4533,181.42,14.37,987.2
2021-01-01 03:10:00,3.8749,7.0291,5.6019,177.22,7.5617,178.82,14.47,987.3
2021-01-01 03:20:00,3.999,6.9052,5.6205,176.42,7.3759,177.52,14.32,987.3
2021-01-01 03:30:00,3.6021,6.4899,4.9763,176.62,7.1282,177.62,14.12,987.3
2021-01-01 03:40:00,4.0145,6.5147,5.335,179.52,6.9858,178.82,14.09,987.4
2021-01-01 03:50:00,3.514,5.8762,4.6431,176.72,6.3232,177.52,14.03,987.6
2021-01-01 04:00:00,3.5462,5.9382,4.8653,176.92,6.6576,177.12,13.96,987.7
2021-01-01 04:10:00,3.7013,6.1428,5.1005,179.02,6.9363,178.62,13.97,987.8
2021-01-01 04:20:00,3.8098,6.7502,5.2854,179.32,7.5555,176.92,14.0,987.9
2021-01-01 04:30:00,4.0238,7.3081,5.6888,176.62,8.0818,175.62,14.18,988.0
2021-01-01 04:40:00,4.0374,7.3825,5.9494,179.02,7.9951,177.52,14.02,988.1
2021-01-01 04:50:00,4.1088,7.9155,5.9742,180.52,8.5772,177.72,14.06,988.2
2021-01-01 05:00:00,3.5493,7.5746,5.2792,181.02,8.3171,178.12,14.04,988.3
2021-01-01 05:10:00,3.0482,6.9734,4.6586,174.62,7.6979,175.12,14.05,988.5
2021-01-01 05:20:00,2.8373,6.2543,4.4929,175.02,6.8186,174.62,13.97,988.7
2021-01-01 05:30:00,2.3802,5.9072,3.7942,173.92,6.7443,174.52,14.23,988.8
2021-01-01 05:40:00,2.9738,5.8762,4.213,170.12,6.2799,170.42,14.33,988.9
2021-01-01 05:50:00,3.1214,5.5539,4.2875,165.62,6.478,161.12,13.95,989.1
2021-01-01 06:00:00,3.1046,5.3803,4.0238,153.02,6.4842,156.92,13.77,989.2
2021-01-01 06:10:00,2.9973,5.6841,4.182,150.82,6.6824,156.02,14.03,989.2
2021-01-01 06:20:00,3.104,5.7832,4.2509,148.22,6.8,156.32,13.96,989.3
2021-01-01 06:30:00,2.949,5.3493,3.9201,150.32,6.3046,156.82,13.95,989.5
2021-01-01 06:40:00,2.8038,4.7977,3.5248,147.92,5.6049,155.72,13.9,989.5
2021-01-01 06:50:00,2.5713,4.2256,3.2065,147.72,5.1095,155.12,13.83,989.6
2021-01-01 07:00:00,2.9601,4.365,3.7172,149.72,4.699,152.62,13.88,989.7
2021-01-01 07:10:00,3.5599,4.9601,4.2633,152.32,5.19,153.52,14.03,989.8
2021-01-01 07:20:00,3.4625,5.058,4.2974,147.62,5.4377,153.32,14.23,989.8
2021-01-01 07:30:00,3.349,4.1189,3.7929,146.22,4.4426,148.92,14.48,989.9
2021-01-01 07:40:00,3.816,4.9756,4.4569,157.42,5.2334,159.42,14.73,989.9
2021-01-01 07:50:00,4.2731,5.0456,4.5903,168.72,5.2396,171.82,14.81,989.9
2021-01-01 08:00:00,4.0796,4.6502,4.3638,149.82,4.9287,151.92,15.03,990.0
2021-01-01 08:10:00,4.056,4.709,4.37,145.52,4.9349,147.02,15.04,989.9
2021-01-01 08:20:00,3.8222,5.0754,4.5562,155.72,5.1653,156.62,15.13,989.9
2021-01-01 08:30:00,3.7118,4.5157,4.043,153.12,4.6562,160.12,15.14,990.0
2021-01-01 08:40:00,3.8272,4.6768,4.1094,160.92,4.9219,160.32,15.34,990.0
2021-01-01 08:50:00,3.6901,4.4208,4.0722,165.22,4.5386,165.52,15.39,990.0
2021-01-01 09:00:00,4.0951,4.613,4.4433,158.72,4.5429,155.62,15.49,990.0
2021-01-01 09:10:00,3.5413,4.339,3.9915,151.32,4.5801,148.22,15.83,990.0
2021-01-01 09:20:00,4.2396,5.1944,4.7238,164.52,5.5678,165.82,15.75,990.0
2021-01-01 09:30:00,4.0747,4.9279,4.5239,140.62,5.2086,141.72,15.85,990.0
2021-01-01 09:40:00,3.264,3.9082,3.4969,125.12,4.0661,121.72,15.97,990.0
2021-01-01 09:50:00,3.4706,4.1189,3.7526,115.92,4.2736,124.62,16.16,990.0
2021-01-01 10:00:00,3.7242,4.5169,4.1454,150.12,4.7392,150.72,16.47,990.2
2021-01-01 10:10:00,4.0008,4.4878,4.241,148.22,4.6358,147.52,16.31,990.2
2021-01-01 10:20:00,3.7943,4.0309,4.0318,164.82,3.8692,162.02,16.08,990.3
2021-01-01 10:30:00,3.7273,4.5683,4.1603,149.12,4.6377,149.12,16.44,990.3
2021-01-01 10:40:00,3.3385,3.9485,3.7973,163.72,4.0401,165.12,16.4,990.3
2021-01-01 10:50:00,3.7273,4.4425,4.2254,150.12,4.6872,148.52,16.62,990.3
2021-01-01 11:00:00,3.6101,3.9423,3.8376,122.52,3.9039,128.82,16.7,990.3
2021-01-01 11:10:00,2.8776,3.2747,3.0464,154.72,3.5658,153.72,16.72,990.3
2021-01-01 11:20:00,4.2917,5.2006,4.8491,158.42,5.3015,159.92,16.81,990.4
2021-01-01 11:30:00,4.1187,4.8442,4.5593,143.82,5.0767,148.22,16.61,990.5
2021-01-01 11:40:00,4.5975,5.5725,4.9863,155.32,5.7535,154.82,16.66,990.5
2021-01-01 11:50:00,4.6949,5.5105,5.1364,147.62,5.7411,150.32,17.3,990.4
2021-01-01 12:00:00,4.9684,5.8266,5.4219,152.92,6.0817,150.52,16.97,990.4
2021-01-01 12:10:00,4.7507,5.8638,5.335,148.62,6.0508,148.82,17.08,990.5
2021-01-01 12:20:00,4.3835,5.244,4.8094,156.12,5.4439,155.02,17.01,990.5
2021-01-01 12:30:00,4.6936,5.5477,5.1054,142.52,5.5863,143.42,17.07,990.5
2021-01-01 12:40:00,5.4441,6.5457,6.0114,145.02,6.8558,147.02,17.07,990.4
2021-01-01 12:50:00,5.1761,6.2977,5.6763,154.82,6.5028,156.72,17.07,990.3
2021-01-01 13:00:00,6.0767,7.2957,6.6817,143.92,7.6174,143.22,17.08,990.3
2021-01-01 13:10:00,5.5805,6.8866,6.2597,139.72,7.2211,141.72,17.13,990.3
2021-01-01 13:20:00,6.0395,7.6118,6.7748,136.02,7.8341,138.22,17.1,990.2
2021-01-01 13:30:00,5.8658,6.9362,6.6196,138.92,7.0477,136.42,17.2,990.2
2021-01-01 13:40:00,5.2518,6.5457,5.788,140.32,6.7814,140.42,16.81,990.2
2021-01-01 13:50:00,5.4503,6.5209,5.9494,148.72,6.8867,147.62,17.04,990.3
2021-01-01 14:00:00,6.455,7.8164,7.2216,138.52,7.9889,141.42,17.05,990.2
2021-01-01 14:10:00,6.7403,8.461,7.7428,141.42,8.8744,140.82,16.75,990.3
2021-01-01 14:20:00,6.9202,8.2255,7.656,139.82,8.6577,140.32,16.98,990.3
2021-01-01 14:30:00,6.2876,7.9403,7.2091,134.42,8.1809,137.12,16.93,990.3
2021-01-01 14:40:00,6.5294,8.0581,7.4698,131.12,8.3976,137.52,16.89,990.3
2021-01-01 14:50:00,6.5729,8.2007,7.1781,144.42,8.4719,143.92,16.75,990.3
2021-01-01 15:00:00,7.0008,8.6346,7.8918,149.32,9.0354,151.82,16.82,990.3
2021-01-01 15:10:00,7.1435,9.273,8.2827,147.22,9.7166,149.12,16.6,990.2
2021-01-01 15:20:00,7.2117,9.118,8.1338,147.22,9.6671,147.62,16.71,990.1
2021-01-01 15:30:00,7.3171,8.9383,8.1152,143.82,9.5061,144.52,16.83,990.1
2021-01-01 15:40:00,7.0318,8.9817,8.0407,143.52,9.407,144.02,16.91,990.1
2021-01-01 15:50:00,6.9636,9.5333,8.2455,144.42,10.1253,145.02,16.85,990.1
2021-01-01 16:00:00,7.0504,9.4652,8.1648,136.22,9.7723,138.82,16.69,990.1
2021-01-01 16:10:00,7.5466,10.085,8.6427,136.72,10.6021,138.72,16.95,990.0
2021-01-01 16:20:00,7.6892,9.7193,8.7171,140.02,10.1686,140.82,16.69,990.0
2021-01-01 16:30:00,7.9683,10.5437,9.2446,140.42,11.0851,140.42,16.79,989.9
2021-01-01 16:40:00,7.4722,10.2214,8.7792,138.22,10.7321,140.92,16.56,989.9
2021-01-01 16:50:00,7.3295,9.5147,8.4317,142.02,10.0324,141.72,16.53,989.8
2021-01-01 17:00:00,8.3529,10.8102,9.679,134.92,11.1904,137.62,16.51,989.7
2021-01-01 17:10:00,7.1621,9.242,8.2951,127.22,9.89,128.62,16.35,989.8
2021-01-01 17:20:00,7.9993,10.6987,9.3253,104.22,11.0603,108.22,16.14,989.8
2021-01-01 17:30:00,7.0256,9.6139,8.2641,109.22,10.0448,108.42,16.0,989.9
2021-01-01 17:40:00,6.852,9.7503,8.3076,109.02,10.2244,110.52,16.12,990.0
2021-01-01 17:50:00,7.4846,10.1656,8.9033,108.42,10.6454,111.22,15.84,990.0
2021-01-01 18:00:00,7.5776,10.3267,8.9716,111.92,10.5959,113.12,15.69,990.0
2021-01-01 18:10:00,7.3977,10.271,8.8288,109.32,10.9055,112.52,15.62,990.0
2021-01-01 18:20:00,7.1186,9.5829,8.4255,115.02,10.2429,116.82,15.49,990.1
2021-01-01 18:30:00,7.466,10.835,8.9467,117.02,11.5309,118.72,15.57,990.2
2021-01-01 18:40:00,7.1435,10.4445,8.7668,116.42,11.1966,118.22,15.42,990.3
2021-01-01 18:50:00,7.2179,10.3143,8.6675,111.62,10.9365,113.82,15.27,990.4
2021-01-01 19:00:00,6.8706,9.8805,8.1276,112.72,10.695,114.42,15.24,990.5
2021-01-01 19:10:00,7.621,10.7792,9.0647,113.52,11.4257,114.02,15.21,990.7
2021-01-01 19:20:00,7.2489,10.6305,8.7854,112.52,11.4133,113.42,15.19,990.8
2021-01-01 19:30:00,7.3109,10.4321,8.8102,113.22,11.2089,113.22,15.12,990.8
2021-01-01 19:40:00,6.3124,9.1924,7.7056,107.22,10.0014,108.92,15.1,990.9
2021-01-01 19:50:00,6.6721,9.8619,8.0531,110.52,10.8003,112.32,14.94,990.9
2021-01-01 20:00:00,6.2193,9.4094,7.6249,109.52,10.3606,110.62,14.83,991.0
2021-01-01 20:10:00,5.872,8.9383,7.1719,109.82,9.8466,110.72,14.69,991.1
2021-01-01 20:20:00,6.331,9.459,7.5815,110.52,10.4844,111.82,14.66,991.1
2021-01-01 20:30:00,5.7046,9.335,7.1905,112.42,10.3172,112.92,14.64,991.2
2021-01-01 20:40:00,5.7232,9.0127,7.1099,112.12,10.3978,112.32,14.56,991.2
2021-01-01 20:50:00,5.8224,9.3536,7.2402,110.82,10.5711,111.62,14.52,991.2
2021-01-01 21:00:00,5.4999,8.9879,6.9733,109.12,10.0943,109.72,14.46,991.2
