Jan,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,05:31 ↑ (119°),19:56 ↑ (241°),14:24:48,−0:34,03:46,21:41,04:26,21:01,05:02,20:25,12:44 (78.5°),147.094
2,05:32 ↑ (119°),19:56 ↑ (241°),14:24:11,−0:37,03:47,21:41,04:27,21:01,05:03,20:25,12:44 (78.4°),147.093
3,05:33 ↑ (119°),19:56 ↑ (241°),14:23:30,−0:40,03:48,21:40,04:27,21:01,05:03,20:25,12:44 (78.3°),147.094
4,05:33 ↑ (119°),19:56 ↑ (242°),14:22:47,−0:43,03:49,21:40,04:28,21:01,05:04,20:25,12:45 (78.2°),147.095
5,05:34 ↑ (118°),19:56 ↑ (242°),14:22:01,−0:46,03:50,21:40,04:29,21:01,05:05,20:25,12:45 (78.1°),147.097
6,05:35 ↑ (118°),19:56 ↑ (242°),14:21:12,−0:49,03:51,21:40,04:30,21:01,05:06,20:25,12:46 (78.0°),147.1
7,05:36 ↑ (118°),19:56 ↑ (242°),14:20:19,−0:52,03:52,21:40,04:31,21:01,05:07,20:25,12:46 (77.8°),147.103
8,05:37 ↑ (118°),19:56 ↑ (242°),14:19:24,−0:55,03:53,21:39,04:32,21:01,05:08,20:25,12:47 (77.7°),147.108
9,05:38 ↑ (118°),19:56 ↑ (242°),14:18:26,−0:57,03:55,21:39,04:33,21:00,05:09,20:25,12:47 (77.6°),147.113
10,05:39 ↑ (118°),19:56 ↑ (243°),14:17:26,−1:00,03:56,21:39,04:34,21:00,05:10,20:25,12:47 (77.4°),147.119
11,05:40 ↑ (117°),19:56 ↑ (243°),14:16:23,−1:03,03:57,21:38,04:35,21:00,05:11,20:25,12:48 (77.3°),147.125
12,05:40 ↑ (117°),19:56 ↑ (243°),14:15:17,−1:06,03:58,21:38,04:36,21:00,05:12,20:24,12:48 (77.1°),147.132
13,05:41 ↑ (117°),19:56 ↑ (243°),14:14:08,−1:08,03:59,21:37,04:38,20:59,05:13,20:24,12:49 (76.9°),147.139
14,05:42 ↑ (117°),19:55 ↑ (243°),14:12:57,−1:11,04:01,21:37,04:39,20:59,05:14,20:24,12:49 (76.7°),147.147
15,05:43 ↑ (117°),19:55 ↑ (244°),14:11:43,−1:13,04:02,21:36,04:40,20:58,05:15,20:24,12:49 (76.6°),147.155
16,05:44 ↑ (116°),19:55 ↑ (244°),14:10:27,−1:16,04:03,21:35,04:41,20:58,05:16,20:23,12:50 (76.4°),147.164
17,05:45 ↑ (116°),19:54 ↑ (244°),14:09:09,−1:18,04:05,21:35,04:42,20:57,05:17,20:23,12:50 (76.2°),147.174
18,05:46 ↑ (116°),19:54 ↑ (244°),14:07:48,−1:20,04:06,21:34,04:43,20:57,05:18,20:22,12:50 (76.0°),147.184
19,05:47 ↑ (116°),19:54 ↑ (245°),14:06:25,−1:23,04:07,21:33,04:44,20:56,05:19,20:22,12:51 (75.8°),147.195
20,05:48 ↑ (115°),19:53 ↑ (245°),14:05:00,−1:25,04:09,21:33,04:46,20:56,05:20,20:21,12:51 (75.5°),147.206
21,05:49 ↑ (115°),19:53 ↑ (245°),14:03:32,−1:27,04:10,21:32,04:47,20:55,05:21,20:21,12:51 (75.3°),147.219
22,05:50 ↑ (115°),19:52 ↑ (245°),14:02:03,−1:29,04:11,21:31,04:48,20:54,05:22,20:20,12:52 (75.1°),147.232
23,05:51 ↑ (114°),19:52 ↑ (246°),14:00:31,−1:31,04:13,21:30,04:49,20:54,05:23,20:20,12:52 (74.9°),147.245
24,05:52 ↑ (114°),19:51 ↑ (246°),13:58:58,−1:33,04:14,21:29,04:50,20:53,05:24,20:19,12:52 (74.6°),147.26
25,05:53 ↑ (114°),19:51 ↑ (246°),13:57:23,−1:35,04:15,21:28,04:52,20:52,05:25,20:19,12:52 (74.4°),147.275
26,05:54 ↑ (113°),19:50 ↑ (247°),13:55:46,−1:37,04:17,21:27,04:53,20:51,05:27,20:18,12:52 (74.1°),147.292
27,05:55 ↑ (113°),19:50 ↑ (247°),13:54:07,−1:38,04:18,21:26,04:54,20:51,05:28,20:17,12:53 (73.9°),147.309
28,05:56 ↑ (113°),19:49 ↑ (247°),13:52:27,−1:40,04:20,21:25,04:55,20:50,05:29,20:16,12:53 (73.6°),147.327
29,05:57 ↑ (112°),19:48 ↑ (248°),13:50:45,−1:42,04:21,21:24,04:57,20:49,05:30,20:16,12:53 (73.3°),147.346
30,05:58 ↑ (112°),19:47 ↑ (248°),13:49:01,−1:43,04:22,21:23,04:58,20:48,05:31,20:15,12:53 (73.1°),147.365
31,05:59 ↑ (112°),19:47 ↑ (248°),13:47:16,−1:45,04:24,21:22,04:59,20:47,05:32,20:14,12:53 (72.8°),147.386
