Feb,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:00 ↑ (111°),19:46 ↑ (249°),13:45:29,−1:46,04:25,21:21,05:00,20:46,05:33,20:13,12:53 (72.5°),147.408
2,06:02 ↑ (111°),19:45 ↑ (249°),13:43:41,−1:48,04:27,21:20,05:01,20:45,05:34,20:12,12:54 (72.2°),147.43
3,06:03 ↑ (111°),19:44 ↑ (249°),13:41:52,−1:49,04:28,21:19,05:03,20:44,05:35,20:11,12:54 (71.9°),147.453
4,06:04 ↑ (110°),19:44 ↑ (250°),13:40:01,−1:50,04:29,21:17,05:04,20:43,05:36,20:11,12:54 (71.6°),147.477
5,06:05 ↑ (110°),19:43 ↑ (250°),13:38:09,−1:51,04:31,21:16,05:05,20:42,05:38,20:10,12:54 (71.3°),147.502
6,06:06 ↑ (110°),19:42 ↑ (251°),13:36:16,−1:53,04:32,21:15,05:06,20:41,05:39,20:09,12:54 (71.0°),147.527
7,06:07 ↑ (109°),19:41 ↑ (251°),13:34:21,−1:54,04:33,21:14,05:07,20:40,05:40,20:08,12:54 (70.7°),147.552
8,06:08 ↑ (109°),19:40 ↑ (251°),13:32:26,−1:55,04:35,21:13,05:09,20:39,05:41,20:07,12:54 (70.4°),147.579
9,06:09 ↑ (108°),19:39 ↑ (252°),13:30:29,−1:56,04:36,21:11,05:10,20:38,05:42,20:06,12:54 (70.1°),147.605
10,06:10 ↑ (108°),19:38 ↑ (252°),13:28:32,−1:57,04:37,21:10,05:11,20:37,05:43,20:05,12:54 (69.7°),147.632
11,06:11 ↑ (108°),19:37 ↑ (253°),13:26:33,−1:58,04:39,21:09,05:12,20:35,05:44,20:04,12:54 (69.4°),147.66
12,06:12 ↑ (107°),19:36 ↑ (253°),13:24:34,−1:59,04:40,21:07,05:13,20:34,05:45,20:03,12:54 (69.1°),147.687
13,06:13 ↑ (107°),19:35 ↑ (253°),13:22:34,−2:00,04:41,21:06,05:14,20:33,05:46,20:01,12:54 (68.7°),147.715
14,06:13 ↑ (106°),19:34 ↑ (254°),13:20:33,−2:01,04:43,21:05,05:16,20:32,05:47,20:00,12:54 (68.4°),147.744
15,06:14 ↑ (106°),19:33 ↑ (254°),13:18:31,−2:01,04:44,21:03,05:17,20:31,05:48,19:59,12:54 (68.0°),147.773
16,06:15 ↑ (106°),19:32 ↑ (255°),13:16:28,−2:02,04:45,21:02,05:18,20:29,05:49,19:58,12:54 (67.7°),147.802
17,06:16 ↑ (105°),19:31 ↑ (255°),13:14:25,−2:03,04:46,21:01,05:19,20:28,05:50,19:57,12:54 (67.4°),147.832
18,06:17 ↑ (105°),19:30 ↑ (256°),13:12:21,−2:03,04:48,20:59,05:20,20:27,05:51,19:56,12:54 (67.0°),147.862
19,06:18 ↑ (104°),19:29 ↑ (256°),13:10:16,−2:04,04:49,20:58,05:21,20:26,05:52,19:55,12:54 (66.6°),147.893
20,06:19 ↑ (104°),19:27 ↑ (256°),13:08:11,−2:05,04:50,20:56,05:22,20:24,05:53,19:53,12:54 (66.3°),147.924
21,06:20 ↑ (103°),19:26 ↑ (257°),13:06:06,−2:05,04:51,20:55,05:23,20:23,05:54,19:52,12:53 (65.9°),147.956
22,06:21 ↑ (103°),19:25 ↑ (257°),13:03:59,−2:06,04:52,20:53,05:24,20:22,05:55,19:51,12:53 (65.6°),147.988
23,06:22 ↑ (102°),19:24 ↑ (258°),13:01:53,−2:06,04:54,20:52,05:25,20:20,05:56,19:50,12:53 (65.2°),148.021
24,06:23 ↑ (102°),19:23 ↑ (258°),12:59:46,−2:07,04:55,20:51,05:26,20:19,05:57,19:48,12:53 (64.8°),148.054
25,06:24 ↑ (102°),19:21 ↑ (259°),12:57:38,−2:07,04:56,20:49,05:27,20:18,05:58,19:47,12:53 (64.5°),148.088
26,06:25 ↑ (101°),19:20 ↑ (259°),12:55:30,−2:07,04:57,20:48,05:28,20:16,05:59,19:46,12:53 (64.1°),148.123
27,06:26 ↑ (101°),19:19 ↑ (260°),12:53:22,−2:08,04:58,20:46,05:30,20:15,06:00,19:45,12:53 (63.7°),148.158
28,06:26 ↑ (100°),19:18 ↑ (260°),12:51:13,−2:08,04:59,20:45,05:31,20:14,06:01,19:43,12:52 (63.3°),148.194
