May,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,07:16 ↑ (72°),17:58 ↑ (288°),10:42:19,−1:47,05:50,19:23,06:20,18:54,06:50,18:24,12:37 (40.3°),150.738
2,07:16 ↑ (72°),17:57 ↑ (288°),10:40:33,−1:46,05:51,19:22,06:20,18:53,06:50,18:23,12:37 (40.0°),150.776
3,07:17 ↑ (71°),17:56 ↑ (289°),10:38:48,−1:45,05:52,19:22,06:21,18:52,06:51,18:22,12:37 (39.7°),150.815
4,07:18 ↑ (71°),17:55 ↑ (289°),10:37:03,−1:44,05:52,19:21,06:22,18:51,06:52,18:21,12:37 (39.4°),150.853
5,07:19 ↑ (71°),17:54 ↑ (289°),10:35:21,−1:42,05:53,19:20,06:22,18:50,06:52,18:20,12:37 (39.2°),150.891
6,07:19 ↑ (70°),17:53 ↑ (290°),10:33:39,−1:41,05:54,19:19,06:23,18:50,06:53,18:20,12:36 (38.9°),150.928
7,07:20 ↑ (70°),17:52 ↑ (290°),10:31:59,−1:40,05:54,19:18,06:24,18:49,06:54,18:19,12:36 (38.6°),150.965
8,07:21 ↑ (70°),17:51 ↑ (290°),10:30:20,−1:38,05:55,19:18,06:24,18:48,06:55,18:18,12:36 (38.3°),151.001
9,07:22 ↑ (69°),17:51 ↑ (291°),10:28:43,−1:37,05:55,19:17,06:25,18:47,06:55,18:17,12:36 (38.1°),151.036
10,07:23 ↑ (69°),17:50 ↑ (291°),10:27:06,−1:36,05:56,19:16,06:26,18:46,06:56,18:16,12:36 (37.8°),151.071
11,07:23 ↑ (69°),17:49 ↑ (291°),10:25:32,−1:34,05:57,19:15,06:26,18:46,06:57,18:16,12:36 (37.5°),151.106
12,07:24 ↑ (68°),17:48 ↑ (292°),10:23:59,−1:33,05:57,19:15,06:27,18:45,06:57,18:15,12:36 (37.3°),151.14
13,07:25 ↑ (68°),17:47 ↑ (292°),10:22:27,−1:31,05:58,19:14,06:28,18:44,06:58,18:14,12:36 (37.1°),151.173
14,07:26 ↑ (68°),17:47 ↑ (292°),10:20:58,−1:29,05:59,19:14,06:28,18:44,06:59,18:13,12:36 (36.8°),151.205
15,07:26 ↑ (67°),17:46 ↑ (293°),10:19:29,−1:28,05:59,19:13,06:29,18:43,07:00,18:13,12:36 (36.6°),151.237
16,07:27 ↑ (67°),17:45 ↑ (293°),10:18:03,−1:26,06:00,19:12,06:30,18:43,07:00,18:12,12:36 (36.3°),151.268
17,07:28 ↑ (67°),17:44 ↑ (293°),10:16:38,−1:24,06:00,19:12,06:30,18:42,07:01,18:11,12:36 (36.1°),151.299
18,07:29 ↑ (67°),17:44 ↑ (294°),10:15:15,−1:22,06:01,19:11,06:31,18:41,07:02,18:11,12:36 (35.9°),151.329
19,07:29 ↑ (66°),17:43 ↑ (294°),10:13:54,−1:21,06:02,19:11,06:32,18:41,07:02,18:10,12:36 (35.7°),151.359
20,07:30 ↑ (66°),17:43 ↑ (294°),10:12:35,−1:19,06:02,19:10,06:32,18:40,07:03,18:10,12:36 (35.5°),151.388
21,07:31 ↑ (66°),17:42 ↑ (294°),10:11:18,−1:17,06:03,19:10,06:33,18:40,07:04,18:09,12:37 (35.3°),151.416
22,07:31 ↑ (66°),17:41 ↑ (295°),10:10:03,−1:15,06:03,19:10,06:34,18:39,07:04,18:09,12:37 (35.1°),151.444
23,07:32 ↑ (65°),17:41 ↑ (295°),10:08:49,−1:13,06:04,19:09,06:34,18:39,07:05,18:08,12:37 (34.9°),151.472
24,07:33 ↑ (65°),17:40 ↑ (295°),10:07:38,−1:11,06:05,19:09,06:35,18:39,07:06,18:08,12:37 (34.7°),151.499
25,07:34 ↑ (65°),17:40 ↑ (295°),10:06:29,−1:09,06:05,19:08,06:35,18:38,07:06,18:07,12:37 (34.5°),151.526
26,07:34 ↑ (65°),17:40 ↑ (295°),10:05:22,−1:06,06:06,19:08,06:36,18:38,07:07,18:07,12:37 (34.3°),151.552
27,07:35 ↑ (64°),17:39 ↑ (296°),10:04:17,−1:04,06:06,19:08,06:36,18:37,07:07,18:07,12:37 (34.2°),151.578
28,07:35 ↑ (64°),17:39 ↑ (296°),10:03:15,−1:02,06:07,19:07,06:37,18:37,07:08,18:06,12:37 (34.0°),151.604
29,07:36 ↑ (64°),17:38 ↑ (296°),10:02:14,−1:00,06:07,19:07,06:38,18:37,07:09,18:06,12:37 (33.9°),151.63
30,07:37 ↑ (64°),17:38 ↑ (296°),10:01:16,−0:58,06:08,19:07,06:38,18:37,07:09,18:06,12:37 (33.7°),151.655
31,07:37 ↑ (64°),17:38 ↑ (296°),10:00:20,−0:55,06:08,19:07,06:39,18:36,07:10,18:05,12:38 (33.6°),151.679
