Jun,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,07:38 ↑ (63°),17:37 ↑ (297°),9:59:27,−0:53,06:09,19:07,06:39,18:36,07:10,18:05,12:38 (33.4°),151.703
2,07:39 ↑ (63°),17:37 ↑ (297°),9:58:36,−0:50,06:09,19:06,06:40,18:36,07:11,18:05,12:38 (33.3°),151.727
3,07:39 ↑ (63°),17:37 ↑ (297°),9:57:47,−0:48,06:10,19:06,06:40,18:36,07:11,18:05,12:38 (33.2°),151.75
4,07:40 ↑ (63°),17:37 ↑ (297°),9:57:01,−0:46,06:10,19:06,06:41,18:36,07:12,18:04,12:38 (33.1°),151.772
5,07:40 ↑ (63°),17:37 ↑ (297°),9:56:18,−0:43,06:11,19:06,06:41,18:36,07:12,18:04,12:38 (33.0°),151.794
6,07:41 ↑ (63°),17:36 ↑ (297°),9:55:37,−0:41,06:11,19:06,06:42,18:35,07:13,18:04,12:39 (32.9°),151.814
7,07:41 ↑ (63°),17:36 ↑ (297°),9:54:58,−0:38,06:12,19:06,06:42,18:35,07:13,18:04,12:39 (32.8°),151.834
8,07:42 ↑ (63°),17:36 ↑ (298°),9:54:22,−0:35,06:12,19:06,06:43,18:35,07:14,18:04,12:39 (32.7°),151.853
9,07:42 ↑ (62°),17:36 ↑ (298°),9:53:49,−0:33,06:12,19:06,06:43,18:35,07:14,18:04,12:39 (32.6°),151.872
10,07:43 ↑ (62°),17:36 ↑ (298°),9:53:18,−0:30,06:13,19:06,06:43,18:35,07:15,18:04,12:39 (32.5°),151.889
11,07:43 ↑ (62°),17:36 ↑ (298°),9:52:50,−0:28,06:13,19:06,06:44,18:35,07:15,18:04,12:40 (32.4°),151.906
12,07:44 ↑ (62°),17:36 ↑ (298°),9:52:25,−0:25,06:14,19:06,06:44,18:35,07:16,18:04,12:40 (32.4°),151.922
13,07:44 ↑ (62°),17:36 ↑ (298°),9:52:02,−0:22,06:14,19:06,06:45,18:35,07:16,18:04,12:40 (32.3°),151.937
14,07:44 ↑ (62°),17:36 ↑ (298°),9:51:42,−0:19,06:14,19:06,06:45,18:35,07:16,18:04,12:40 (32.3°),151.951
15,07:45 ↑ (62°),17:36 ↑ (298°),9:51:25,−0:17,06:15,19:06,06:45,18:36,07:17,18:04,12:40 (32.2°),151.964
16,07:45 ↑ (62°),17:36 ↑ (298°),9:51:11,−0:14,06:15,19:06,06:46,18:36,07:17,18:04,12:41 (32.2°),151.977
17,07:45 ↑ (62°),17:36 ↑ (298°),9:50:59,−0:11,06:15,19:07,06:46,18:36,07:17,18:04,12:41 (32.2°),151.989
18,07:46 ↑ (62°),17:37 ↑ (298°),9:50:50,−0:08,06:16,19:07,06:46,18:36,07:18,18:04,12:41 (32.1°),152.0
19,07:46 ↑ (62°),17:37 ↑ (298°),9:50:44,−0:06,06:16,19:07,06:46,18:36,07:18,18:05,12:41 (32.1°),152.01
20,07:46 ↑ (62°),17:37 ↑ (298°),9:50:41,−0:03,06:16,19:07,06:47,18:36,07:18,18:05,12:42 (32.1°),152.02
21,07:46 ↑ (62°),17:37 ↑ (298°),9:50:40,< 1s,06:16,19:07,06:47,18:37,07:18,18:05,12:42 (32.1°),152.029
22,07:47 ↑ (62°),17:37 ↑ (298°),9:50:42,+0:02,06:16,19:08,06:47,18:37,07:19,18:05,12:42 (32.1°),152.037
23,07:47 ↑ (62°),17:38 ↑ (298°),9:50:47,+0:04,06:17,19:08,06:47,18:37,07:19,18:06,12:42 (32.1°),152.046
24,07:47 ↑ (62°),17:38 ↑ (298°),9:50:55,+0:07,06:17,19:08,06:47,18:37,07:19,18:06,12:42 (32.1°),152.053
25,07:47 ↑ (62°),17:38 ↑ (298°),9:51:06,+0:10,06:17,19:08,06:48,18:38,07:19,18:06,12:43 (32.2°),152.06
26,07:47 ↑ (62°),17:39 ↑ (298°),9:51:19,+0:13,06:17,19:09,06:48,18:38,07:19,18:06,12:43 (32.2°),152.067
27,07:47 ↑ (62°),17:39 ↑ (298°),9:51:35,+0:15,06:17,19:09,06:48,18:38,07:19,18:07,12:43 (32.2°),152.073
28,07:47 ↑ (62°),17:39 ↑ (298°),9:51:53,+0:18,06:17,19:09,06:48,18:39,07:19,18:07,12:43 (32.3°),152.079
29,07:47 ↑ (62°),17:40 ↑ (298°),9:52:15,+0:21,06:17,19:10,06:48,18:39,07:19,18:08,12:43 (32.3°),152.084
30,07:47 ↑ (62°),17:40 ↑ (298°),9:52:39,+0:24,06:17,19:10,06:48,18:39,07:19,18:08,12:44 (32.4°),152.089
