Sep,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:59 ↑ (81°),18:22 ↑ (279°),11:23:03,+2:01,05:35,19:45,06:04,19:16,06:33,18:47,12:40 (47.4°),150.971
2,06:57 ↑ (81°),18:22 ↑ (279°),11:25:05,+2:02,05:34,19:46,06:03,19:17,06:32,18:48,12:40 (47.8°),150.936
3,06:56 ↑ (82°),18:23 ↑ (278°),11:27:08,+2:02,05:32,19:47,06:02,19:17,06:31,18:48,12:39 (48.2°),150.9
4,06:55 ↑ (82°),18:24 ↑ (278°),11:29:11,+2:03,05:31,19:47,06:00,19:18,06:29,18:49,12:39 (48.5°),150.864
5,06:53 ↑ (82°),18:24 ↑ (277°),11:31:15,+2:03,05:30,19:48,05:59,19:19,06:28,18:50,12:39 (48.9°),150.828
6,06:52 ↑ (83°),18:25 ↑ (277°),11:33:19,+2:04,05:28,19:49,05:58,19:19,06:27,18:50,12:38 (49.3°),150.79
7,06:50 ↑ (83°),18:26 ↑ (276°),11:35:23,+2:04,05:27,19:49,05:56,19:20,06:25,18:51,12:38 (49.6°),150.753
8,06:49 ↑ (84°),18:27 ↑ (276°),11:37:28,+2:04,05:26,19:50,05:55,19:21,06:24,18:52,12:38 (50.0°),150.715
9,06:48 ↑ (84°),18:27 ↑ (276°),11:39:33,+2:05,05:24,19:51,05:53,19:21,06:23,18:52,12:37 (50.4°),150.676
10,06:46 ↑ (85°),18:28 ↑ (275°),11:41:39,+2:05,05:23,19:51,05:52,19:22,06:21,18:53,12:37 (50.8°),150.637
11,06:45 ↑ (85°),18:29 ↑ (275°),11:43:45,+2:05,05:21,19:52,05:51,19:23,06:20,18:54,12:36 (51.2°),150.597
12,06:43 ↑ (86°),18:29 ↑ (274°),11:45:51,+2:06,05:20,19:53,05:49,19:24,06:18,18:54,12:36 (51.5°),150.557
13,06:42 ↑ (86°),18:30 ↑ (274°),11:47:57,+2:06,05:19,19:54,05:48,19:24,06:17,18:55,12:36 (51.9°),150.516
14,06:41 ↑ (87°),18:31 ↑ (273°),11:50:04,+2:06,05:17,19:54,05:46,19:25,06:16,18:56,12:35 (52.3°),150.475
15,06:39 ↑ (87°),18:31 ↑ (273°),11:52:11,+2:06,05:16,19:55,05:45,19:26,06:14,18:57,12:35 (52.7°),150.434
16,06:38 ↑ (87°),18:32 ↑ (272°),11:54:18,+2:07,05:14,19:56,05:44,19:26,06:13,18:57,12:35 (53.1°),150.393
17,06:36 ↑ (88°),18:33 ↑ (272°),11:56:25,+2:07,05:13,19:57,05:42,19:27,06:11,18:58,12:34 (53.5°),150.352
18,06:35 ↑ (88°),18:34 ↑ (271°),11:58:33,+2:07,05:11,19:57,05:41,19:28,06:10,18:59,12:34 (53.8°),150.31
19,06:34 ↑ (89°),18:34 ↑ (271°),12:00:41,+2:07,05:10,19:58,05:39,19:29,06:08,18:59,12:34 (54.2°),150.269
20,06:32 ↑ (89°),18:35 ↑ (270°),12:02:49,+2:07,05:08,19:59,05:38,19:29,06:07,19:00,12:33 (54.6°),150.227
21,06:31 ↑ (90°),18:36 ↑ (270°),12:04:57,+2:08,05:07,20:00,05:36,19:30,06:06,19:01,12:33 (55.0°),150.186
22,06:29 ↑ (90°),18:36 ↑ (269°),12:07:05,+2:08,05:05,20:00,05:35,19:31,06:04,19:01,12:33 (55.4°),150.144
23,06:28 ↑ (91°),18:37 ↑ (269°),12:09:13,+2:08,05:04,20:01,05:34,19:32,06:03,19:02,12:32 (55.8°),150.103
24,06:26 ↑ (91°),18:38 ↑ (269°),12:11:21,+2:08,05:02,20:02,05:32,19:32,06:01,19:03,12:32 (56.2°),150.061
25,06:25 ↑ (92°),18:39 ↑ (268°),12:13:30,+2:08,05:01,20:03,05:31,19:33,06:00,19:04,12:31 (56.6°),150.02
26,06:24 ↑ (92°),18:39 ↑ (268°),12:15:39,+2:08,04:59,20:04,05:29,19:34,05:58,19:04,12:31 (56.9°),149.978
27,06:22 ↑ (93°),18:40 ↑ (267°),12:17:47,+2:08,04:58,20:05,05:28,19:35,05:57,19:05,12:31 (57.3°),149.937
28,06:21 ↑ (93°),18:41 ↑ (267°),12:19:56,+2:08,04:56,20:05,05:26,19:35,05:56,19:06,12:30 (57.7°),149.895
29,06:19 ↑ (94°),18:41 ↑ (266°),12:22:05,+2:08,04:55,20:06,05:25,19:36,05:54,19:07,12:30 (58.1°),149.854
30,06:18 ↑ (94°),18:42 ↑ (266°),12:24:13,+2:08,04:53,20:07,05:23,19:37,05:53,19:07,12:30 (58.5°),149.812
