Oct,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:17 ↑ (95°),18:43 ↑ (265°),12:26:22,+2:08,04:52,20:08,05:22,19:38,05:51,19:08,12:29 (58.9°),149.77
2,06:15 ↑ (95°),18:44 ↑ (265°),12:28:31,+2:08,04:50,20:09,05:20,19:39,05:50,19:09,12:29 (59.3°),149.728
3,06:14 ↑ (95°),18:44 ↑ (264°),12:30:39,+2:08,04:49,20:10,05:19,19:40,05:49,19:10,12:29 (59.7°),149.686
4,06:12 ↑ (96°),18:45 ↑ (264°),12:32:48,+2:08,04:47,20:11,05:17,19:40,05:47,19:11,12:29 (60.0°),149.643
5,06:11 ↑ (96°),18:46 ↑ (263°),12:34:57,+2:08,04:46,20:12,05:16,19:41,05:46,19:11,12:28 (60.4°),149.601
6,06:10 ↑ (97°),18:47 ↑ (263°),12:37:05,+2:08,04:44,20:13,05:15,19:42,05:44,19:12,12:28 (60.8°),149.558
7,06:08 ↑ (97°),18:48 ↑ (262°),12:39:13,+2:08,04:43,20:14,05:13,19:43,05:43,19:13,12:28 (61.2°),149.515
8,06:07 ↑ (98°),18:48 ↑ (262°),12:41:21,+2:08,04:41,20:15,05:12,19:44,05:42,19:14,12:27 (61.6°),149.472
9,06:06 ↑ (98°),18:49 ↑ (261°),12:43:29,+2:07,04:39,20:16,05:10,19:45,05:40,19:15,12:27 (62.0°),149.428
10,06:04 ↑ (99°),18:50 ↑ (261°),12:45:37,+2:07,04:38,20:17,05:09,19:46,05:39,19:15,12:27 (62.3°),149.385
11,06:03 ↑ (99°),18:51 ↑ (261°),12:47:45,+2:07,04:36,20:18,05:07,19:47,05:37,19:16,12:27 (62.7°),149.341
12,06:02 ↑ (100°),18:52 ↑ (260°),12:49:52,+2:07,04:35,20:19,05:06,19:47,05:36,19:17,12:26 (63.1°),149.297
13,06:00 ↑ (100°),18:52 ↑ (260°),12:51:59,+2:06,04:33,20:20,05:05,19:48,05:35,19:18,12:26 (63.5°),149.254
14,05:59 ↑ (101°),18:53 ↑ (259°),12:54:06,+2:06,04:32,20:21,05:03,19:49,05:33,19:19,12:26 (63.8°),149.21
15,05:58 ↑ (101°),18:54 ↑ (259°),12:56:12,+2:06,04:30,20:22,05:02,19:50,05:32,19:20,12:26 (64.2°),149.167
16,05:57 ↑ (101°),18:55 ↑ (258°),12:58:18,+2:06,04:29,20:23,05:00,19:51,05:31,19:21,12:25 (64.6°),149.124
17,05:55 ↑ (102°),18:56 ↑ (258°),13:00:24,+2:05,04:27,20:24,04:59,19:52,05:30,19:22,12:25 (64.9°),149.081
18,05:54 ↑ (102°),18:57 ↑ (257°),13:02:29,+2:05,04:26,20:25,04:58,19:53,05:28,19:22,12:25 (65.3°),149.038
19,05:53 ↑ (103°),18:57 ↑ (257°),13:04:33,+2:04,04:24,20:26,04:56,19:54,05:27,19:23,12:25 (65.7°),148.996
20,05:52 ↑ (103°),18:58 ↑ (257°),13:06:38,+2:04,04:23,20:27,04:55,19:55,05:26,19:24,12:25 (66.0°),148.954
21,05:50 ↑ (104°),18:59 ↑ (256°),13:08:42,+2:03,04:21,20:28,04:54,19:56,05:24,19:25,12:24 (66.4°),148.912
22,05:49 ↑ (104°),19:00 ↑ (256°),13:10:45,+2:03,04:20,20:30,04:52,19:57,05:23,19:26,12:24 (66.7°),148.871
23,05:48 ↑ (105°),19:01 ↑ (255°),13:12:47,+2:02,04:19,20:31,04:51,19:58,05:22,19:27,12:24 (67.1°),148.83
24,05:47 ↑ (105°),19:02 ↑ (255°),13:14:50,+2:02,04:17,20:32,04:50,19:59,05:21,19:28,12:24 (67.4°),148.79
25,05:46 ↑ (105°),19:03 ↑ (254°),13:16:51,+2:01,04:16,20:33,04:48,20:00,05:20,19:29,12:24 (67.8°),148.75
26,05:45 ↑ (106°),19:04 ↑ (254°),13:18:52,+2:00,04:14,20:34,04:47,20:01,05:18,19:30,12:24 (68.1°),148.71
27,05:44 ↑ (106°),19:04 ↑ (254°),13:20:52,+2:00,04:13,20:35,04:46,20:02,05:17,19:31,12:24 (68.5°),148.671
28,05:43 ↑ (107°),19:05 ↑ (253°),13:22:51,+1:59,04:12,20:37,04:45,20:04,05:16,19:32,12:24 (68.8°),148.632
29,05:41 ↑ (107°),19:06 ↑ (253°),13:24:50,+1:58,04:10,20:38,04:43,20:05,05:15,19:33,12:24 (69.1°),148.593
30,05:40 ↑ (107°),19:07 ↑ (252°),13:26:48,+1:57,04:09,20:39,04:42,20:06,05:14,19:34,12:24 (69.4°),148.555
31,05:39 ↑ (108°),19:08 ↑ (252°),13:28:45,+1:56,04:07,20:40,04:41,20:07,05:13,19:35,12:23 (69.8°),148.516
