Dec,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,05:20 ↑ (117°),19:38 ↑ (242°),14:17:16,+1:03,03:38,21:21,04:16,20:42,04:52,20:07,12:29 (77.4°),147.517
2,05:20 ↑ (118°),19:39 ↑ (242°),14:18:17,+1:00,03:38,21:22,04:16,20:43,04:51,20:08,12:29 (77.5°),147.494
3,05:20 ↑ (118°),19:40 ↑ (242°),14:19:15,+0:58,03:37,21:23,04:16,20:44,04:51,20:08,12:30 (77.7°),147.471
4,05:20 ↑ (118°),19:40 ↑ (242°),14:20:10,+0:55,03:37,21:24,04:16,20:45,04:51,20:09,12:30 (77.8°),147.449
5,05:20 ↑ (118°),19:41 ↑ (242°),14:21:03,+0:52,03:37,21:25,04:15,20:46,04:51,20:10,12:31 (77.9°),147.427
6,05:20 ↑ (118°),19:42 ↑ (242°),14:21:52,+0:49,03:36,21:26,04:15,20:47,04:51,20:11,12:31 (78.1°),147.406
7,05:20 ↑ (118°),19:43 ↑ (241°),14:22:39,+0:46,03:36,21:27,04:15,20:48,04:51,20:12,12:31 (78.2°),147.385
8,05:20 ↑ (119°),19:44 ↑ (241°),14:23:23,+0:43,03:36,21:28,04:15,20:49,04:51,20:13,12:32 (78.3°),147.364
9,05:20 ↑ (119°),19:44 ↑ (241°),14:24:03,+0:40,03:36,21:29,04:15,20:50,04:51,20:14,12:32 (78.4°),147.344
10,05:20 ↑ (119°),19:45 ↑ (241°),14:24:41,+0:37,03:36,21:30,04:15,20:51,04:51,20:14,12:33 (78.5°),147.325
11,05:21 ↑ (119°),19:46 ↑ (241°),14:25:16,+0:34,03:36,21:31,04:15,20:51,04:51,20:15,12:33 (78.6°),147.306
12,05:21 ↑ (119°),19:47 ↑ (241°),14:25:47,+0:31,03:36,21:32,04:15,20:52,04:52,20:16,12:34 (78.6°),147.288
13,05:21 ↑ (119°),19:47 ↑ (241°),14:26:15,+0:28,03:36,21:33,04:16,20:53,04:52,20:17,12:34 (78.7°),147.271
14,05:21 ↑ (119°),19:48 ↑ (241°),14:26:41,+0:25,03:36,21:33,04:16,20:54,04:52,20:17,12:35 (78.8°),147.255
15,05:22 ↑ (119°),19:49 ↑ (241°),14:27:03,+0:21,03:36,21:34,04:16,20:54,04:52,20:18,12:35 (78.8°),147.239
16,05:22 ↑ (119°),19:49 ↑ (241°),14:27:21,+0:18,03:36,21:35,04:16,20:55,04:53,20:19,12:36 (78.9°),147.224
17,05:22 ↑ (119°),19:50 ↑ (241°),14:27:37,+0:15,03:37,21:36,04:17,20:56,04:53,20:19,12:36 (78.9°),147.211
18,05:23 ↑ (119°),19:50 ↑ (241°),14:27:49,+0:12,03:37,21:36,04:17,20:56,04:53,20:20,12:37 (78.9°),147.198
19,05:23 ↑ (119°),19:51 ↑ (241°),14:27:58,+0:08,03:37,21:37,04:17,20:57,04:54,20:20,12:37 (78.9°),147.186
20,05:24 ↑ (119°),19:52 ↑ (240°),14:28:04,+0:05,03:38,21:37,04:18,20:57,04:54,20:21,12:38 (79.0°),147.175
21,05:24 ↑ (120°),19:52 ↑ (240°),14:28:06,+0:02,03:38,21:38,04:18,20:58,04:55,20:22,12:38 (79.0°),147.165
22,05:24 ↑ (120°),19:53 ↑ (240°),14:28:05,< 1s,03:39,21:38,04:19,20:58,04:55,20:22,12:39 (79.0°),147.155
23,05:25 ↑ (119°),19:53 ↑ (241°),14:28:01,−0:04,03:39,21:39,04:19,20:59,04:56,20:22,12:39 (79.0°),147.147
24,05:26 ↑ (119°),19:53 ↑ (241°),14:27:54,−0:07,03:40,21:39,04:20,20:59,04:56,20:23,12:40 (78.9°),147.139
25,05:26 ↑ (119°),19:54 ↑ (241°),14:27:43,−0:10,03:40,21:40,04:20,21:00,04:57,20:23,12:40 (78.9°),147.133
26,05:27 ↑ (119°),19:54 ↑ (241°),14:27:29,−0:13,03:41,21:40,04:21,21:00,04:57,20:24,12:40 (78.9°),147.127
27,05:27 ↑ (119°),19:55 ↑ (241°),14:27:12,−0:17,03:42,21:40,04:22,21:00,04:58,20:24,12:41 (78.8°),147.122
28,05:28 ↑ (119°),19:55 ↑ (241°),14:26:51,−0:20,03:43,21:40,04:22,21:00,04:59,20:24,12:41 (78.8°),147.118
29,05:29 ↑ (119°),19:55 ↑ (241°),14:26:27,−0:23,03:43,21:40,04:23,21:01,04:59,20:24,12:42 (78.7°),147.114
30,05:29 ↑ (119°),19:55 ↑ (241°),14:26:00,−0:26,03:44,21:41,04:24,21:01,05:00,20:25,12:42 (78.7°),147.111
31,05:30 ↑ (119°),19:56 ↑ (241°),14:25:30,−0:30,03:45,21:41,04:25,21:01,05:01,20:25,12:43 (78.6°),147.109
