Aug,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,07:34 ↑ (69°),17:59 ↑ (291°),10:25:44,+1:32,06:07,19:26,06:37,18:56,07:07,18:26,12:46 (37.6°),151.843
2,07:33 ↑ (69°),18:00 ↑ (291°),10:27:18,+1:33,06:06,19:27,06:36,18:57,07:06,18:27,12:46 (37.8°),151.823
3,07:32 ↑ (69°),18:01 ↑ (291°),10:28:53,+1:35,06:06,19:27,06:35,18:57,07:05,18:27,12:46 (38.1°),151.803
4,07:31 ↑ (70°),18:01 ↑ (290°),10:30:30,+1:36,06:05,19:28,06:34,18:58,07:05,18:28,12:46 (38.4°),151.782
5,07:30 ↑ (70°),18:02 ↑ (290°),10:32:08,+1:37,06:04,19:28,06:34,18:59,07:04,18:29,12:46 (38.6°),151.76
6,07:29 ↑ (70°),18:03 ↑ (290°),10:33:47,+1:39,06:03,19:29,06:33,18:59,07:03,18:29,12:46 (38.9°),151.737
7,07:28 ↑ (71°),18:04 ↑ (289°),10:35:28,+1:40,06:02,19:29,06:32,19:00,07:02,18:30,12:46 (39.2°),151.714
8,07:27 ↑ (71°),18:04 ↑ (289°),10:37:09,+1:41,06:02,19:30,06:31,19:01,07:01,18:31,12:46 (39.5°),151.69
9,07:26 ↑ (71°),18:05 ↑ (289°),10:38:52,+1:42,06:01,19:31,06:30,19:01,07:00,18:31,12:45 (39.8°),151.666
10,07:25 ↑ (72°),18:06 ↑ (288°),10:40:36,+1:44,06:00,19:31,06:29,19:02,06:59,18:32,12:45 (40.0°),151.642
11,07:24 ↑ (72°),18:07 ↑ (288°),10:42:21,+1:45,05:59,19:32,06:28,19:02,06:58,18:33,12:45 (40.3°),151.617
12,07:23 ↑ (72°),18:07 ↑ (287°),10:44:08,+1:46,05:58,19:33,06:27,19:03,06:57,18:33,12:45 (40.6°),151.592
13,07:22 ↑ (73°),18:08 ↑ (287°),10:45:55,+1:47,05:57,19:33,06:26,19:04,06:56,18:34,12:45 (40.9°),151.566
14,07:21 ↑ (73°),18:09 ↑ (287°),10:47:43,+1:48,05:56,19:34,06:25,19:04,06:55,18:35,12:45 (41.3°),151.54
15,07:20 ↑ (73°),18:09 ↑ (286°),10:49:33,+1:49,05:55,19:34,06:24,19:05,06:54,18:35,12:44 (41.6°),151.514
16,07:19 ↑ (74°),18:10 ↑ (286°),10:51:23,+1:50,05:54,19:35,06:23,19:06,06:53,18:36,12:44 (41.9°),151.487
17,07:18 ↑ (74°),18:11 ↑ (286°),10:53:14,+1:51,05:53,19:36,06:22,19:06,06:52,18:37,12:44 (42.2°),151.46
18,07:16 ↑ (75°),18:12 ↑ (285°),10:55:07,+1:52,05:52,19:36,06:21,19:07,06:51,18:37,12:44 (42.5°),151.432
19,07:15 ↑ (75°),18:12 ↑ (285°),10:57:00,+1:53,05:51,19:37,06:20,19:08,06:50,18:38,12:44 (42.8°),151.404
20,07:14 ↑ (75°),18:13 ↑ (284°),10:58:53,+1:53,05:50,19:37,06:19,19:08,06:48,18:39,12:43 (43.2°),151.376
21,07:13 ↑ (76°),18:14 ↑ (284°),11:00:48,+1:54,05:49,19:38,06:18,19:09,06:47,18:39,12:43 (43.5°),151.346
22,07:12 ↑ (76°),18:14 ↑ (284°),11:02:43,+1:55,05:47,19:39,06:17,19:09,06:46,18:40,12:43 (43.8°),151.317
23,07:10 ↑ (77°),18:15 ↑ (283°),11:04:40,+1:56,05:46,19:39,06:16,19:10,06:45,18:41,12:43 (44.2°),151.286
24,07:09 ↑ (77°),18:16 ↑ (283°),11:06:36,+1:56,05:45,19:40,06:14,19:11,06:44,18:41,12:42 (44.5°),151.255
25,07:08 ↑ (77°),18:17 ↑ (282°),11:08:34,+1:57,05:44,19:41,06:13,19:11,06:42,18:42,12:42 (44.9°),151.223
26,07:07 ↑ (78°),18:17 ↑ (282°),11:10:32,+1:58,05:43,19:41,06:12,19:12,06:41,18:43,12:42 (45.2°),151.191
27,07:05 ↑ (78°),18:18 ↑ (281°),11:12:31,+1:58,05:42,19:42,06:11,19:13,06:40,18:43,12:41 (45.6°),151.158
28,07:04 ↑ (79°),18:19 ↑ (281°),11:14:31,+1:59,05:40,19:43,06:10,19:13,06:39,18:44,12:41 (45.9°),151.124
29,07:03 ↑ (79°),18:19 ↑ (281°),11:16:31,+2:00,05:39,19:43,06:08,19:14,06:37,18:45,12:41 (46.3°),151.09
30,07:02 ↑ (80°),18:20 ↑ (280°),11:18:31,+2:00,05:38,19:44,06:07,19:15,06:36,18:45,12:41 (46.6°),151.055
31,07:00 ↑ (80°),18:21 ↑ (280°),11:20:33,+2:01,05:37,19:44,06:06,19:15,06:35,18:46,12:40 (47.0°),151.02
