Nov,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,05:39 ↑ (108°),19:09 ↑ (252°),13:30:14,+1:56,04:06,20:41,04:40,20:08,05:12,19:36,12:23 (70.0°),148.488
2,05:38 ↑ (109°),19:10 ↑ (251°),13:32:09,+1:55,04:05,20:43,04:39,20:09,05:11,19:37,12:23 (70.3°),148.449
3,05:37 ↑ (109°),19:11 ↑ (251°),13:34:03,+1:54,04:04,20:44,04:38,20:10,05:10,19:38,12:23 (70.6°),148.41
4,05:36 ↑ (109°),19:12 ↑ (250°),13:35:56,+1:53,04:03,20:45,04:37,20:11,05:09,19:39,12:23 (71.0°),148.371
5,05:35 ↑ (110°),19:13 ↑ (250°),13:37:48,+1:52,04:01,20:47,04:35,20:12,05:08,19:40,12:23 (71.3°),148.333
6,05:34 ↑ (110°),19:14 ↑ (250°),13:39:39,+1:50,04:00,20:48,04:34,20:13,05:07,19:41,12:24 (71.6°),148.295
7,05:33 ↑ (110°),19:15 ↑ (249°),13:41:29,+1:49,03:59,20:49,04:33,20:15,05:06,19:42,12:24 (71.9°),148.258
8,05:32 ↑ (111°),19:16 ↑ (249°),13:43:18,+1:48,03:58,20:50,04:32,20:16,05:05,19:43,12:24 (72.2°),148.221
9,05:31 ↑ (111°),19:17 ↑ (249°),13:45:05,+1:47,03:57,20:52,04:31,20:17,05:04,19:44,12:24 (72.4°),148.186
10,05:31 ↑ (112°),19:17 ↑ (248°),13:46:51,+1:45,03:55,20:53,04:30,20:18,05:03,19:45,12:24 (72.7°),148.15
11,05:30 ↑ (112°),19:18 ↑ (248°),13:48:35,+1:44,03:54,20:54,04:29,20:19,05:02,19:46,12:24 (73.0°),148.116
12,05:29 ↑ (112°),19:19 ↑ (248°),13:50:18,+1:43,03:53,20:56,04:28,20:20,05:02,19:47,12:24 (73.3°),148.081
13,05:28 ↑ (113°),19:20 ↑ (247°),13:52:00,+1:41,03:52,20:57,04:28,20:21,05:01,19:48,12:24 (73.5°),148.048
14,05:28 ↑ (113°),19:21 ↑ (247°),13:53:40,+1:39,03:51,20:58,04:27,20:23,05:00,19:49,12:24 (73.8°),148.015
15,05:27 ↑ (113°),19:22 ↑ (247°),13:55:18,+1:38,03:50,21:00,04:26,20:24,04:59,19:50,12:24 (74.1°),147.983
16,05:26 ↑ (114°),19:23 ↑ (246°),13:56:55,+1:36,03:49,21:01,04:25,20:25,04:59,19:51,12:25 (74.3°),147.951
17,05:26 ↑ (114°),19:24 ↑ (246°),13:58:30,+1:34,03:48,21:02,04:24,20:26,04:58,19:52,12:25 (74.6°),147.919
18,05:25 ↑ (114°),19:25 ↑ (246°),14:00:03,+1:33,03:47,21:04,04:23,20:27,04:57,19:53,12:25 (74.8°),147.888
19,05:25 ↑ (114°),19:26 ↑ (245°),14:01:34,+1:31,03:46,21:05,04:23,20:28,04:57,19:54,12:25 (75.0°),147.858
20,05:24 ↑ (115°),19:27 ↑ (245°),14:03:03,+1:29,03:45,21:06,04:22,20:30,04:56,19:55,12:25 (75.3°),147.828
21,05:24 ↑ (115°),19:28 ↑ (245°),14:04:31,+1:27,03:44,21:08,04:21,20:31,04:56,19:56,12:26 (75.5°),147.798
22,05:23 ↑ (115°),19:29 ↑ (245°),14:05:56,+1:25,03:44,21:09,04:21,20:32,04:55,19:57,12:26 (75.7°),147.769
23,05:23 ↑ (116°),19:30 ↑ (244°),14:07:19,+1:23,03:43,21:10,04:20,20:33,04:55,19:58,12:26 (75.9°),147.74
24,05:22 ↑ (116°),19:31 ↑ (244°),14:08:40,+1:21,03:42,21:12,04:19,20:34,04:54,19:59,12:27 (76.1°),147.711
25,05:22 ↑ (116°),19:32 ↑ (244°),14:09:59,+1:18,03:41,21:13,04:19,20:35,04:54,20:01,12:27 (76.3°),147.683
26,05:22 ↑ (116°),19:33 ↑ (244°),14:11:16,+1:16,03:41,21:14,04:18,20:36,04:53,20:02,12:27 (76.5°),147.655
27,05:21 ↑ (117°),19:34 ↑ (243°),14:12:30,+1:14,03:40,21:15,04:18,20:38,04:53,20:03,12:27 (76.7°),147.627
28,05:21 ↑ (117°),19:35 ↑ (243°),14:13:41,+1:11,03:40,21:17,04:18,20:39,04:53,20:04,12:28 (76.9°),147.6
29,05:21 ↑ (117°),19:36 ↑ (243°),14:14:50,+1:09,03:39,21:18,04:17,20:40,04:52,20:04,12:28 (77.0°),147.574
30,05:21 ↑ (117°),19:37 ↑ (243°),14:15:57,+1:06,03:39,21:19,04:17,20:41,04:52,20:05,12:29 (77.2°),147.547
