Jul,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,07:47 ↑ (62°),17:40 ↑ (298°),9:53:06,+0:26,06:17,19:10,06:48,18:40,07:19,18:08,12:44 (32.5°),152.092
2,07:47 ↑ (62°),17:41 ↑ (298°),9:53:35,+0:29,06:17,19:11,06:48,18:40,07:19,18:09,12:44 (32.5°),152.096
3,07:47 ↑ (62°),17:41 ↑ (298°),9:54:07,+0:32,06:17,19:11,06:48,18:41,07:19,18:09,12:44 (32.6°),152.098
4,07:47 ↑ (63°),17:42 ↑ (297°),9:54:42,+0:34,06:17,19:11,06:48,18:41,07:19,18:10,12:44 (32.7°),152.1
5,07:47 ↑ (63°),17:42 ↑ (297°),9:55:19,+0:37,06:17,19:12,06:48,18:41,07:19,18:10,12:45 (32.8°),152.1
6,07:47 ↑ (63°),17:43 ↑ (297°),9:55:59,+0:39,06:17,19:12,06:48,18:42,07:19,18:11,12:45 (32.9°),152.1
7,07:47 ↑ (63°),17:43 ↑ (297°),9:56:41,+0:42,06:17,19:13,06:48,18:42,07:19,18:11,12:45 (33.0°),152.1
8,07:46 ↑ (63°),17:44 ↑ (297°),9:57:26,+0:44,06:17,19:13,06:47,18:43,07:19,18:12,12:45 (33.1°),152.098
9,07:46 ↑ (63°),17:44 ↑ (297°),9:58:13,+0:47,06:17,19:14,06:47,18:43,07:18,18:12,12:45 (33.2°),152.095
10,07:46 ↑ (63°),17:45 ↑ (297°),9:59:03,+0:49,06:17,19:14,06:47,18:44,07:18,18:13,12:45 (33.4°),152.092
11,07:46 ↑ (64°),17:46 ↑ (296°),9:59:55,+0:51,06:16,19:15,06:47,18:44,07:18,18:13,12:45 (33.5°),152.087
12,07:45 ↑ (64°),17:46 ↑ (296°),10:00:49,+0:54,06:16,19:15,06:47,18:45,07:18,18:14,12:46 (33.6°),152.082
13,07:45 ↑ (64°),17:47 ↑ (296°),10:01:46,+0:56,06:16,19:16,06:46,18:45,07:17,18:14,12:46 (33.8°),152.076
14,07:45 ↑ (64°),17:47 ↑ (296°),10:02:44,+0:58,06:16,19:16,06:46,18:46,07:17,18:15,12:46 (33.9°),152.068
15,07:44 ↑ (64°),17:48 ↑ (296°),10:03:46,+1:01,06:15,19:17,06:46,18:46,07:17,18:15,12:46 (34.1°),152.06
16,07:44 ↑ (64°),17:49 ↑ (295°),10:04:49,+1:03,06:15,19:17,06:45,18:47,07:16,18:16,12:46 (34.3°),152.052
17,07:43 ↑ (65°),17:49 ↑ (295°),10:05:55,+1:05,06:15,19:18,06:45,18:47,07:16,18:17,12:46 (34.4°),152.042
18,07:43 ↑ (65°),17:50 ↑ (295°),10:07:02,+1:07,06:14,19:18,06:45,18:48,07:15,18:17,12:46 (34.6°),152.032
19,07:42 ↑ (65°),17:50 ↑ (295°),10:08:12,+1:09,06:14,19:19,06:44,18:49,07:15,18:18,12:46 (34.8°),152.021
20,07:42 ↑ (65°),17:51 ↑ (295°),10:09:23,+1:11,06:14,19:19,06:44,18:49,07:15,18:18,12:46 (35.0°),152.01
21,07:41 ↑ (66°),17:52 ↑ (294°),10:10:37,+1:13,06:13,19:20,06:43,18:50,07:14,18:19,12:46 (35.2°),151.998
22,07:41 ↑ (66°),17:52 ↑ (294°),10:11:53,+1:15,06:13,19:20,06:43,18:50,07:13,18:20,12:46 (35.4°),151.985
23,07:40 ↑ (66°),17:53 ↑ (294°),10:13:10,+1:17,06:12,19:21,06:42,18:51,07:13,18:20,12:46 (35.6°),151.972
24,07:39 ↑ (66°),17:54 ↑ (294°),10:14:30,+1:19,06:12,19:21,06:42,18:51,07:12,18:21,12:46 (35.8°),151.959
25,07:39 ↑ (67°),17:55 ↑ (293°),10:15:51,+1:21,06:11,19:22,06:41,18:52,07:12,18:21,12:46 (36.0°),151.945
26,07:38 ↑ (67°),17:55 ↑ (293°),10:17:14,+1:22,06:11,19:23,06:41,18:53,07:11,18:22,12:46 (36.2°),151.931
27,07:37 ↑ (67°),17:56 ↑ (293°),10:18:38,+1:24,06:10,19:23,06:40,18:53,07:10,18:23,12:46 (36.4°),151.916
28,07:37 ↑ (67°),17:57 ↑ (292°),10:20:05,+1:26,06:09,19:24,06:39,18:54,07:10,18:23,12:46 (36.7°),151.901
29,07:36 ↑ (68°),17:57 ↑ (292°),10:21:33,+1:27,06:09,19:24,06:39,18:54,07:09,18:24,12:46 (36.9°),151.885
30,07:35 ↑ (68°),17:58 ↑ (292°),10:23:02,+1:29,06:08,19:25,06:38,18:55,07:08,18:25,12:46 (37.1°),151.868
31,07:34 ↑ (68°),17:59 ↑ (292°),10:24:33,+1:31,06:07,19:25,06:37,18:56,07:08,18:25,12:46 (37.4°),151.851
