Apr,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:52 ↑ (85°),18:35 ↑ (275°),11:42:29,−2:07,05:29,19:58,05:58,19:29,06:27,19:00,12:44 (50.9°),149.483
2,06:53 ↑ (85°),18:33 ↑ (276°),11:40:22,−2:07,05:30,19:57,05:59,19:28,06:28,18:59,12:43 (50.5°),149.526
3,06:54 ↑ (84°),18:32 ↑ (276°),11:38:14,−2:07,05:30,19:55,06:00,19:26,06:29,18:57,12:43 (50.1°),149.569
4,06:55 ↑ (84°),18:31 ↑ (277°),11:36:08,−2:06,05:31,19:54,06:00,19:25,06:29,18:56,12:43 (49.8°),149.612
5,06:55 ↑ (83°),18:29 ↑ (277°),11:34:01,−2:06,05:32,19:53,06:01,19:24,06:30,18:55,12:43 (49.4°),149.654
6,06:56 ↑ (83°),18:28 ↑ (277°),11:31:55,−2:06,05:33,19:51,06:02,19:22,06:31,18:53,12:42 (49.0°),149.696
7,06:57 ↑ (82°),18:27 ↑ (278°),11:29:49,−2:05,05:33,19:50,06:03,19:21,06:32,18:52,12:42 (48.6°),149.738
8,06:58 ↑ (82°),18:25 ↑ (278°),11:27:44,−2:05,05:34,19:49,06:03,19:20,06:32,18:51,12:42 (48.3°),149.78
9,06:58 ↑ (81°),18:24 ↑ (279°),11:25:39,−2:04,05:35,19:48,06:04,19:18,06:33,18:49,12:41 (47.9°),149.822
10,06:59 ↑ (81°),18:23 ↑ (279°),11:23:35,−2:04,05:36,19:46,06:05,19:17,06:34,18:48,12:41 (47.5°),149.864
11,07:00 ↑ (80°),18:22 ↑ (280°),11:21:31,−2:03,05:36,19:45,06:05,19:16,06:35,18:47,12:41 (47.1°),149.905
12,07:01 ↑ (80°),18:20 ↑ (280°),11:19:28,−2:03,05:37,19:44,06:06,19:15,06:35,18:46,12:41 (46.8°),149.947
13,07:02 ↑ (80°),18:19 ↑ (281°),11:17:26,−2:02,05:38,19:43,06:07,19:14,06:36,18:44,12:40 (46.4°),149.989
14,07:02 ↑ (79°),18:18 ↑ (281°),11:15:24,−2:01,05:38,19:41,06:08,19:12,06:37,18:43,12:40 (46.1°),150.031
15,07:03 ↑ (79°),18:16 ↑ (281°),11:13:22,−2:01,05:39,19:40,06:08,19:11,06:38,18:42,12:40 (45.7°),150.072
16,07:04 ↑ (78°),18:15 ↑ (282°),11:11:22,−2:00,05:40,19:39,06:09,19:10,06:38,18:41,12:40 (45.3°),150.114
17,07:05 ↑ (78°),18:14 ↑ (282°),11:09:22,−2:00,05:41,19:38,06:10,19:09,06:39,18:39,12:39 (45.0°),150.156
18,07:05 ↑ (77°),18:13 ↑ (283°),11:07:22,−1:59,05:41,19:37,06:10,19:08,06:40,18:38,12:39 (44.6°),150.198
19,07:06 ↑ (77°),18:12 ↑ (283°),11:05:23,−1:58,05:42,19:36,06:11,19:06,06:41,18:37,12:39 (44.3°),150.24
20,07:07 ↑ (77°),18:10 ↑ (284°),11:03:26,−1:57,05:43,19:34,06:12,19:05,06:41,18:36,12:39 (44.0°),150.282
21,07:08 ↑ (76°),18:09 ↑ (284°),11:01:28,−1:57,05:43,19:33,06:13,19:04,06:42,18:35,12:39 (43.6°),150.324
22,07:08 ↑ (76°),18:08 ↑ (284°),10:59:32,−1:56,05:44,19:32,06:13,19:03,06:43,18:34,12:38 (43.3°),150.366
23,07:09 ↑ (75°),18:07 ↑ (285°),10:57:36,−1:55,05:45,19:31,06:14,19:02,06:43,18:33,12:38 (42.9°),150.407
24,07:10 ↑ (75°),18:06 ↑ (285°),10:55:42,−1:54,05:45,19:30,06:15,19:01,06:44,18:31,12:38 (42.6°),150.449
25,07:11 ↑ (75°),18:05 ↑ (286°),10:53:48,−1:53,05:46,19:29,06:15,19:00,06:45,18:30,12:38 (42.3°),150.49
26,07:12 ↑ (74°),18:03 ↑ (286°),10:51:55,−1:52,05:47,19:28,06:16,18:59,06:46,18:29,12:38 (42.0°),150.53
27,07:12 ↑ (74°),18:02 ↑ (286°),10:50:03,−1:52,05:47,19:27,06:17,18:58,06:46,18:28,12:38 (41.6°),150.571
28,07:13 ↑ (73°),18:01 ↑ (287°),10:48:12,−1:51,05:48,19:26,06:17,18:57,06:47,18:27,12:37 (41.3°),150.61
29,07:14 ↑ (73°),18:00 ↑ (287°),10:46:21,−1:50,05:49,19:25,06:18,18:56,06:48,18:26,12:37 (41.0°),150.65
30,07:15 ↑ (73°),17:59 ↑ (288°),10:44:32,−1:49,05:49,19:24,06:19,18:55,06:49,18:25,12:37 (40.7°),150.688
