Dec,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,05:21 ↑ (117°),19:38 ↑ (242°),14:17:01,+1:04,03:38,21:20,04:16,20:42,04:52,20:06,12:29 (77.4°),147.522
2,05:20 ↑ (118°),19:38 ↑ (242°),14:18:02,+1:01,03:38,21:21,04:16,20:43,04:52,20:07,12:29 (77.5°),147.497
3,05:20 ↑ (118°),19:39 ↑ (242°),14:19:01,+0:58,03:37,21:23,04:16,20:44,04:51,20:08,12:30 (77.7°),147.473
4,05:20 ↑ (118°),19:40 ↑ (242°),14:19:57,+0:55,03:37,21:24,04:16,20:45,04:51,20:09,12:30 (77.8°),147.45
5,05:20 ↑ (118°),19:41 ↑ (242°),14:20:50,+0:53,03:37,21:25,04:16,20:46,04:51,20:10,12:30 (77.9°),147.427
6,05:20 ↑ (118°),19:42 ↑ (242°),14:21:40,+0:50,03:36,21:26,04:15,20:47,04:51,20:11,12:31 (78.0°),147.406
7,05:20 ↑ (118°),19:43 ↑ (241°),14:22:28,+0:47,03:36,21:27,04:15,20:48,04:51,20:12,12:31 (78.2°),147.385
8,05:20 ↑ (119°),19:43 ↑ (241°),14:23:12,+0:44,03:36,21:28,04:15,20:49,04:51,20:13,12:32 (78.3°),147.365
9,05:20 ↑ (119°),19:44 ↑ (241°),14:23:54,+0:41,03:36,21:29,04:15,20:49,04:51,20:13,12:32 (78.4°),147.346
10,05:20 ↑ (119°),19:45 ↑ (241°),14:24:32,+0:38,03:36,21:30,04:15,20:50,04:51,20:14,12:33 (78.5°),147.327
11,05:21 ↑ (119°),19:46 ↑ (241°),14:25:07,+0:35,03:36,21:31,04:15,20:51,04:51,20:15,12:33 (78.5°),147.31
12,05:21 ↑ (119°),19:46 ↑ (241°),14:25:40,+0:32,03:36,21:32,04:15,20:52,04:51,20:16,12:34 (78.6°),147.293
13,05:21 ↑ (119°),19:47 ↑ (241°),14:26:09,+0:29,03:36,21:32,04:16,20:53,04:52,20:17,12:34 (78.7°),147.278
14,05:21 ↑ (119°),19:48 ↑ (241°),14:26:35,+0:25,03:36,21:33,04:16,20:53,04:52,20:17,12:34 (78.7°),147.263
15,05:22 ↑ (119°),19:48 ↑ (241°),14:26:58,+0:22,03:36,21:34,04:16,20:54,04:52,20:18,12:35 (78.8°),147.249
16,05:22 ↑ (119°),19:49 ↑ (241°),14:27:17,+0:19,03:36,21:35,04:16,20:55,04:52,20:19,12:35 (78.8°),147.235
17,05:22 ↑ (119°),19:50 ↑ (241°),14:27:34,+0:16,03:37,21:35,04:16,20:55,04:53,20:19,12:36 (78.9°),147.222
18,05:23 ↑ (119°),19:50 ↑ (241°),14:27:47,+0:13,03:37,21:36,04:17,20:56,04:53,20:20,12:36 (78.9°),147.21
19,05:23 ↑ (119°),19:51 ↑ (241°),14:27:56,+0:09,03:37,21:37,04:17,20:57,04:54,20:20,12:37 (78.9°),147.199
20,05:23 ↑ (119°),19:51 ↑ (240°),14:28:03,+0:06,03:38,21:37,04:18,20:57,04:54,20:21,12:37 (79.0°),147.188
21,05:24 ↑ (120°),19:52 ↑ (240°),14:28:06,+0:03,03:38,21:38,04:18,20:58,04:54,20:21,12:38 (79.0°),147.178
22,05:24 ↑ (120°),19:52 ↑ (240°),14:28:06,< 1s,03:39,21:38,04:19,20:58,04:55,20:22,12:38 (79.0°),147.169
23,05:25 ↑ (120°),19:53 ↑ (241°),14:28:03,−0:03,03:39,21:39,04:19,20:59,04:55,20:22,12:39 (79.0°),147.159
24,05:25 ↑ (119°),19:53 ↑ (241°),14:27:56,−0:06,03:40,21:39,04:20,20:59,04:56,20:23,12:39 (78.9°),147.151
25,05:26 ↑ (119°),19:54 ↑ (241°),14:27:46,−0:09,03:40,21:39,04:20,21:00,04:57,20:23,12:40 (78.9°),147.143
26,05:27 ↑ (119°),19:54 ↑ (241°),14:27:33,−0:13,03:41,21:40,04:21,21:00,04:57,20:24,12:40 (78.9°),147.135
27,05:27 ↑ (119°),19:54 ↑ (241°),14:27:16,−0:16,03:42,21:40,04:22,21:00,04:58,20:24,12:41 (78.8°),147.128
28,05:28 ↑ (119°),19:55 ↑ (241°),14:26:57,−0:19,03:42,21:40,04:22,21:00,04:58,20:24,12:41 (78.8°),147.122
29,05:29 ↑ (119°),19:55 ↑ (241°),14:26:34,−0:23,03:43,21:40,04:23,21:01,04:59,20:24,12:42 (78.7°),147.116
30,05:29 ↑ (119°),19:55 ↑ (241°),14:26:07,−0:26,03:44,21:41,04:24,21:01,05:00,20:25,12:42 (78.7°),147.111
31,05:30 ↑ (119°),19:56 ↑ (241°),14:25:38,−0:29,03:45,21:41,04:24,21:01,05:01,20:25,12:43 (78.6°),147.107
