Feb,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:00 ↑ (112°),19:46 ↑ (249°),13:45:56,−1:46,04:25,21:21,05:00,20:46,05:33,20:13,12:53 (72.6°),147.411
2,06:01 ↑ (111°),19:45 ↑ (249°),13:44:08,−1:47,04:26,21:20,05:01,20:45,05:34,20:13,12:54 (72.3°),147.432
3,06:02 ↑ (111°),19:45 ↑ (249°),13:42:19,−1:49,04:28,21:19,05:02,20:44,05:35,20:12,12:54 (72.0°),147.453
4,06:03 ↑ (110°),19:44 ↑ (250°),13:40:28,−1:50,04:29,21:18,05:03,20:43,05:36,20:11,12:54 (71.7°),147.475
5,06:04 ↑ (110°),19:43 ↑ (250°),13:38:37,−1:51,04:30,21:17,05:05,20:42,05:37,20:10,12:54 (71.4°),147.498
6,06:05 ↑ (110°),19:42 ↑ (251°),13:36:44,−1:52,04:32,21:15,05:06,20:41,05:38,20:09,12:54 (71.1°),147.521
7,06:06 ↑ (109°),19:41 ↑ (251°),13:34:50,−1:54,04:33,21:14,05:07,20:40,05:39,20:08,12:54 (70.8°),147.544
8,06:07 ↑ (109°),19:40 ↑ (251°),13:32:54,−1:55,04:34,21:13,05:08,20:39,05:40,20:07,12:54 (70.5°),147.568
9,06:08 ↑ (109°),19:39 ↑ (252°),13:30:58,−1:56,04:36,21:12,05:09,20:38,05:42,20:06,12:54 (70.1°),147.593
10,06:09 ↑ (108°),19:38 ↑ (252°),13:29:01,−1:57,04:37,21:10,05:11,20:37,05:43,20:05,12:54 (69.8°),147.618
11,06:10 ↑ (108°),19:37 ↑ (253°),13:27:03,−1:58,04:38,21:09,05:12,20:36,05:44,20:04,12:54 (69.5°),147.644
12,06:11 ↑ (107°),19:36 ↑ (253°),13:25:03,−1:59,04:40,21:08,05:13,20:35,05:45,20:03,12:54 (69.2°),147.671
13,06:12 ↑ (107°),19:35 ↑ (253°),13:23:03,−2:00,04:41,21:06,05:14,20:33,05:46,20:02,12:54 (68.8°),147.698
14,06:13 ↑ (106°),19:34 ↑ (254°),13:21:03,−2:00,04:42,21:05,05:15,20:32,05:47,20:01,12:54 (68.5°),147.727
15,06:14 ↑ (106°),19:33 ↑ (254°),13:19:01,−2:01,04:43,21:04,05:16,20:31,05:48,20:00,12:54 (68.1°),147.755
16,06:15 ↑ (106°),19:32 ↑ (255°),13:16:59,−2:02,04:45,21:02,05:17,20:30,05:49,19:58,12:54 (67.8°),147.785
17,06:16 ↑ (105°),19:31 ↑ (255°),13:14:56,−2:03,04:46,21:01,05:19,20:28,05:50,19:57,12:54 (67.4°),147.815
18,06:17 ↑ (105°),19:30 ↑ (255°),13:12:52,−2:03,04:47,20:59,05:20,20:27,05:51,19:56,12:54 (67.1°),147.846
19,06:18 ↑ (104°),19:29 ↑ (256°),13:10:48,−2:04,04:48,20:58,05:21,20:26,05:52,19:55,12:54 (66.7°),147.878
20,06:19 ↑ (104°),19:28 ↑ (256°),13:08:43,−2:04,04:50,20:57,05:22,20:25,05:53,19:54,12:54 (66.4°),147.911
21,06:20 ↑ (103°),19:27 ↑ (257°),13:06:37,−2:05,04:51,20:55,05:23,20:23,05:54,19:52,12:53 (66.0°),147.944
22,06:21 ↑ (103°),19:25 ↑ (257°),13:04:31,−2:06,04:52,20:54,05:24,20:22,05:55,19:51,12:53 (65.7°),147.977
23,06:22 ↑ (103°),19:24 ↑ (258°),13:02:25,−2:06,04:53,20:52,05:25,20:21,05:56,19:50,12:53 (65.3°),148.012
24,06:23 ↑ (102°),19:23 ↑ (258°),13:00:18,−2:07,04:54,20:51,05:26,20:19,05:57,19:49,12:53 (64.9°),148.047
25,06:24 ↑ (102°),19:22 ↑ (259°),12:58:10,−2:07,04:56,20:49,05:27,20:18,05:58,19:47,12:53 (64.5°),148.082
26,06:24 ↑ (101°),19:21 ↑ (259°),12:56:02,−2:07,04:57,20:48,05:28,20:17,05:59,19:46,12:53 (64.2°),148.117
27,06:25 ↑ (101°),19:19 ↑ (260°),12:53:54,−2:08,04:58,20:46,05:29,20:15,06:00,19:45,12:53 (63.8°),148.153
28,06:26 ↑ (100°),19:18 ↑ (260°),12:51:45,−2:08,04:59,20:45,05:30,20:14,06:01,19:44,12:52 (63.4°),148.189
