Jan,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,05:31 ↑ (119°),19:56 ↑ (241°),14:24:57,−0:33,03:46,21:41,04:25,21:01,05:02,20:25,12:43 (78.5°),147.107
2,05:32 ↑ (119°),19:56 ↑ (241°),14:24:20,−0:36,03:47,21:41,04:26,21:01,05:02,20:25,12:44 (78.4°),147.106
3,05:32 ↑ (119°),19:56 ↑ (241°),14:23:41,−0:39,03:48,21:40,04:27,21:01,05:03,20:25,12:44 (78.3°),147.105
4,05:33 ↑ (119°),19:56 ↑ (241°),14:22:58,−0:42,03:49,21:40,04:28,21:01,05:04,20:25,12:45 (78.2°),147.105
5,05:34 ↑ (118°),19:56 ↑ (242°),14:22:13,−0:45,03:50,21:40,04:29,21:01,05:05,20:25,12:45 (78.1°),147.105
6,05:35 ↑ (118°),19:56 ↑ (242°),14:21:24,−0:48,03:51,21:40,04:30,21:01,05:06,20:25,12:46 (78.0°),147.106
7,05:36 ↑ (118°),19:56 ↑ (242°),14:20:33,−0:51,03:52,21:40,04:31,21:01,05:07,20:25,12:46 (77.9°),147.108
8,05:37 ↑ (118°),19:56 ↑ (242°),14:19:38,−0:54,03:53,21:39,04:32,21:01,05:08,20:25,12:47 (77.7°),147.11
9,05:37 ↑ (118°),19:56 ↑ (242°),14:18:41,−0:57,03:54,21:39,04:33,21:01,05:09,20:25,12:47 (77.6°),147.113
10,05:38 ↑ (118°),19:56 ↑ (242°),14:17:41,−0:59,03:55,21:39,04:34,21:00,05:10,20:25,12:47 (77.5°),147.117
11,05:39 ↑ (117°),19:56 ↑ (243°),14:16:38,−1:02,03:57,21:38,04:35,21:00,05:10,20:25,12:48 (77.3°),147.121
12,05:40 ↑ (117°),19:56 ↑ (243°),14:15:33,−1:05,03:58,21:38,04:36,21:00,05:11,20:24,12:48 (77.1°),147.127
13,05:41 ↑ (117°),19:56 ↑ (243°),14:14:25,−1:07,03:59,21:37,04:37,20:59,05:12,20:24,12:49 (77.0°),147.133
14,05:42 ↑ (117°),19:55 ↑ (243°),14:13:15,−1:10,04:00,21:37,04:38,20:59,05:13,20:24,12:49 (76.8°),147.14
15,05:43 ↑ (117°),19:55 ↑ (244°),14:12:02,−1:13,04:02,21:36,04:40,20:58,05:15,20:24,12:49 (76.6°),147.148
16,05:44 ↑ (116°),19:55 ↑ (244°),14:10:46,−1:15,04:03,21:36,04:41,20:58,05:16,20:23,12:50 (76.4°),147.157
17,05:45 ↑ (116°),19:55 ↑ (244°),14:09:28,−1:17,04:04,21:35,04:42,20:58,05:17,20:23,12:50 (76.2°),147.166
18,05:46 ↑ (116°),19:54 ↑ (244°),14:08:08,−1:20,04:06,21:34,04:43,20:57,05:18,20:22,12:50 (76.0°),147.177
19,05:47 ↑ (116°),19:54 ↑ (245°),14:06:46,−1:22,04:07,21:34,04:44,20:56,05:19,20:22,12:51 (75.8°),147.189
20,05:48 ↑ (115°),19:53 ↑ (245°),14:05:21,−1:24,04:08,21:33,04:45,20:56,05:20,20:22,12:51 (75.6°),147.201
21,05:49 ↑ (115°),19:53 ↑ (245°),14:03:54,−1:26,04:10,21:32,04:47,20:55,05:21,20:21,12:51 (75.4°),147.214
22,05:50 ↑ (115°),19:52 ↑ (245°),14:02:26,−1:28,04:11,21:31,04:48,20:55,05:22,20:20,12:51 (75.2°),147.229
23,05:51 ↑ (114°),19:52 ↑ (246°),14:00:55,−1:30,04:12,21:30,04:49,20:54,05:23,20:20,12:52 (74.9°),147.244
24,05:52 ↑ (114°),19:51 ↑ (246°),13:59:22,−1:32,04:14,21:29,04:50,20:53,05:24,20:19,12:52 (74.7°),147.26
25,05:53 ↑ (114°),19:51 ↑ (246°),13:57:47,−1:34,04:15,21:28,04:51,20:52,05:25,20:19,12:52 (74.4°),147.277
26,05:54 ↑ (114°),19:50 ↑ (247°),13:56:11,−1:36,04:16,21:28,04:53,20:52,05:26,20:18,12:52 (74.2°),147.294
27,05:55 ↑ (113°),19:50 ↑ (247°),13:54:32,−1:38,04:18,21:27,04:54,20:51,05:27,20:17,12:53 (73.9°),147.312
28,05:56 ↑ (113°),19:49 ↑ (247°),13:52:52,−1:40,04:19,21:26,04:55,20:50,05:28,20:17,12:53 (73.7°),147.331
29,05:57 ↑ (113°),19:48 ↑ (248°),13:51:11,−1:41,04:21,21:24,04:56,20:49,05:30,20:16,12:53 (73.4°),147.35
30,05:58 ↑ (112°),19:48 ↑ (248°),13:49:27,−1:43,04:22,21:23,04:57,20:48,05:31,20:15,12:53 (73.1°),147.37
31,05:59 ↑ (112°),19:47 ↑ (248°),13:47:42,−1:44,04:23,21:22,04:59,20:47,05:32,20:14,12:53 (72.9°),147.39
