Jun,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,07:38 ↑ (64°),17:38 ↑ (297°),9:59:39,−0:53,06:09,19:07,06:39,18:36,07:10,18:05,12:38 (33.5°),151.697
2,07:38 ↑ (63°),17:37 ↑ (297°),9:58:47,−0:51,06:09,19:06,06:40,18:36,07:11,18:05,12:38 (33.3°),151.72
3,07:39 ↑ (63°),17:37 ↑ (297°),9:57:58,−0:49,06:10,19:06,06:40,18:36,07:11,18:05,12:38 (33.2°),151.741
4,07:40 ↑ (63°),17:37 ↑ (297°),9:57:12,−0:46,06:10,19:06,06:41,18:36,07:12,18:04,12:38 (33.1°),151.762
5,07:40 ↑ (63°),17:37 ↑ (297°),9:56:27,−0:44,06:11,19:06,06:41,18:36,07:12,18:04,12:38 (33.0°),151.782
6,07:41 ↑ (63°),17:36 ↑ (297°),9:55:46,−0:41,06:11,19:06,06:42,18:35,07:13,18:04,12:39 (32.9°),151.802
7,07:41 ↑ (63°),17:36 ↑ (297°),9:55:07,−0:39,06:12,19:06,06:42,18:35,07:13,18:04,12:39 (32.8°),151.82
8,07:42 ↑ (63°),17:36 ↑ (298°),9:54:30,−0:36,06:12,19:06,06:43,18:35,07:14,18:04,12:39 (32.7°),151.839
9,07:42 ↑ (62°),17:36 ↑ (298°),9:53:56,−0:33,06:12,19:06,06:43,18:35,07:14,18:04,12:39 (32.6°),151.856
10,07:43 ↑ (62°),17:36 ↑ (298°),9:53:25,−0:31,06:13,19:06,06:43,18:35,07:15,18:04,12:39 (32.5°),151.873
11,07:43 ↑ (62°),17:36 ↑ (298°),9:52:56,−0:28,06:13,19:06,06:44,18:35,07:15,18:04,12:40 (32.5°),151.889
12,07:43 ↑ (62°),17:36 ↑ (298°),9:52:30,−0:25,06:14,19:06,06:44,18:35,07:16,18:04,12:40 (32.4°),151.905
13,07:44 ↑ (62°),17:36 ↑ (298°),9:52:07,−0:23,06:14,19:06,06:45,18:35,07:16,18:04,12:40 (32.3°),151.921
14,07:44 ↑ (62°),17:36 ↑ (298°),9:51:47,−0:20,06:14,19:06,06:45,18:35,07:16,18:04,12:40 (32.3°),151.935
15,07:45 ↑ (62°),17:36 ↑ (298°),9:51:29,−0:17,06:15,19:06,06:45,18:36,07:17,18:04,12:40 (32.2°),151.95
16,07:45 ↑ (62°),17:36 ↑ (298°),9:51:14,−0:15,06:15,19:06,06:46,18:36,07:17,18:04,12:41 (32.2°),151.964
17,07:45 ↑ (62°),17:36 ↑ (298°),9:51:02,−0:12,06:15,19:06,06:46,18:36,07:17,18:04,12:41 (32.2°),151.978
18,07:46 ↑ (62°),17:36 ↑ (298°),9:50:52,−0:09,06:15,19:07,06:46,18:36,07:18,18:04,12:41 (32.1°),151.991
19,07:46 ↑ (62°),17:37 ↑ (298°),9:50:45,−0:06,06:16,19:07,06:46,18:36,07:18,18:05,12:41 (32.1°),152.003
20,07:46 ↑ (62°),17:37 ↑ (298°),9:50:41,−0:04,06:16,19:07,06:47,18:36,07:18,18:05,12:41 (32.1°),152.015
21,07:46 ↑ (62°),17:37 ↑ (298°),9:50:40,−0:01,06:16,19:07,06:47,18:37,07:18,18:05,12:42 (32.1°),152.027
22,07:47 ↑ (62°),17:37 ↑ (298°),9:50:42,+0:01,06:16,19:07,06:47,18:37,07:19,18:05,12:42 (32.1°),152.037
23,07:47 ↑ (62°),17:38 ↑ (298°),9:50:46,+0:04,06:17,19:08,06:47,18:37,07:19,18:06,12:42 (32.1°),152.047
24,07:47 ↑ (62°),17:38 ↑ (298°),9:50:53,+0:07,06:17,19:08,06:47,18:37,07:19,18:06,12:42 (32.1°),152.056
25,07:47 ↑ (62°),17:38 ↑ (298°),9:51:03,+0:09,06:17,19:08,06:48,18:38,07:19,18:06,12:43 (32.2°),152.064
26,07:47 ↑ (62°),17:38 ↑ (298°),9:51:15,+0:12,06:17,19:09,06:48,18:38,07:19,18:06,12:43 (32.2°),152.072
27,07:47 ↑ (62°),17:39 ↑ (298°),9:51:31,+0:15,06:17,19:09,06:48,18:38,07:19,18:07,12:43 (32.2°),152.078
28,07:47 ↑ (62°),17:39 ↑ (298°),9:51:49,+0:18,06:17,19:09,06:48,18:39,07:19,18:07,12:43 (32.3°),152.084
29,07:47 ↑ (62°),17:40 ↑ (298°),9:52:09,+0:20,06:17,19:10,06:48,18:39,07:19,18:07,12:43 (32.3°),152.088
30,07:47 ↑ (62°),17:40 ↑ (298°),9:52:33,+0:23,06:17,19:10,06:48,18:39,07:19,18:08,12:44 (32.4°),152.092
