Mar,Sunrise,Sunset,Length,Diff.,Start,End,Start.1,End.1,Start.2,End.2,Time,Mil. km
1,06:27 ↑ (100°),19:17 ↑ (260°),12:49:37,−2:08,05:00,20:43,05:31,20:12,06:02,19:42,12:52 (63.0°),148.226
2,06:28 ↑ (99°),19:15 ↑ (261°),12:47:27,−2:09,05:01,20:42,05:32,20:11,06:02,19:41,12:52 (62.7°),148.262
3,06:29 ↑ (99°),19:14 ↑ (261°),12:45:18,−2:09,05:02,20:41,05:33,20:10,06:03,19:40,12:52 (62.3°),148.299
4,06:30 ↑ (98°),19:13 ↑ (262°),12:43:08,−2:09,05:03,20:39,05:34,20:08,06:04,19:38,12:52 (61.9°),148.336
5,06:31 ↑ (98°),19:12 ↑ (262°),12:40:58,−2:09,05:04,20:38,05:35,20:07,06:05,19:37,12:51 (61.5°),148.373
6,06:31 ↑ (97°),19:10 ↑ (263°),12:38:48,−2:10,05:05,20:36,05:36,20:06,06:06,19:36,12:51 (61.1°),148.411
7,06:32 ↑ (97°),19:09 ↑ (263°),12:36:38,−2:10,05:06,20:35,05:37,20:04,06:07,19:34,12:51 (60.7°),148.448
8,06:33 ↑ (97°),19:08 ↑ (264°),12:34:28,−2:10,05:08,20:33,05:38,20:03,06:08,19:33,12:51 (60.3°),148.486
9,06:34 ↑ (96°),19:06 ↑ (264°),12:32:17,−2:10,05:09,20:32,05:39,20:01,06:09,19:32,12:50 (59.9°),148.524
10,06:35 ↑ (96°),19:05 ↑ (265°),12:30:07,−2:10,05:10,20:30,05:40,20:00,06:10,19:30,12:50 (59.6°),148.562
11,06:36 ↑ (95°),19:04 ↑ (265°),12:27:56,−2:10,05:10,20:29,05:41,19:58,06:10,19:29,12:50 (59.2°),148.601
12,06:36 ↑ (95°),19:02 ↑ (266°),12:25:45,−2:10,05:11,20:27,05:42,19:57,06:11,19:27,12:50 (58.8°),148.64
13,06:37 ↑ (94°),19:01 ↑ (266°),12:23:34,−2:10,05:12,20:26,05:43,19:56,06:12,19:26,12:49 (58.4°),148.679
14,06:38 ↑ (94°),19:00 ↑ (267°),12:21:24,−2:10,05:13,20:24,05:43,19:54,06:13,19:25,12:49 (58.0°),148.719
15,06:39 ↑ (93°),18:58 ↑ (267°),12:19:13,−2:10,05:14,20:23,05:44,19:53,06:14,19:23,12:49 (57.6°),148.759
16,06:40 ↑ (93°),18:57 ↑ (268°),12:17:02,−2:10,05:15,20:21,05:45,19:51,06:15,19:22,12:49 (57.2°),148.799
17,06:41 ↑ (92°),18:55 ↑ (268°),12:14:52,−2:10,05:16,20:20,05:46,19:50,06:15,19:21,12:48 (56.8°),148.84
18,06:41 ↑ (92°),18:54 ↑ (268°),12:12:41,−2:10,05:17,20:18,05:47,19:48,06:16,19:19,12:48 (56.4°),148.881
19,06:42 ↑ (91°),18:53 ↑ (269°),12:10:31,−2:10,05:18,20:17,05:48,19:47,06:17,19:18,12:48 (56.0°),148.923
20,06:43 ↑ (91°),18:51 ↑ (269°),12:08:20,−2:10,05:19,20:15,05:49,19:46,06:18,19:16,12:47 (55.6°),148.965
21,06:44 ↑ (90°),18:50 ↑ (270°),12:06:10,−2:10,05:20,20:14,05:49,19:44,06:19,19:15,12:47 (55.2°),149.007
22,06:45 ↑ (90°),18:49 ↑ (270°),12:04:00,−2:10,05:21,20:12,05:50,19:43,06:19,19:14,12:47 (54.8°),149.05
23,06:45 ↑ (89°),18:47 ↑ (271°),12:01:50,−2:09,05:21,20:11,05:51,19:41,06:20,19:12,12:46 (54.4°),149.093
24,06:46 ↑ (89°),18:46 ↑ (271°),11:59:40,−2:09,05:22,20:09,05:52,19:40,06:21,19:11,12:46 (54.0°),149.136
25,06:47 ↑ (88°),18:44 ↑ (272°),11:57:31,−2:09,05:23,20:08,05:53,19:39,06:22,19:09,12:46 (53.6°),149.18
26,06:48 ↑ (88°),18:43 ↑ (272°),11:55:21,−2:09,05:24,20:07,05:53,19:37,06:23,19:08,12:46 (53.3°),149.223
27,06:48 ↑ (87°),18:42 ↑ (273°),11:53:12,−2:09,05:25,20:05,05:54,19:36,06:23,19:07,12:45 (52.9°),149.267
28,06:49 ↑ (87°),18:40 ↑ (273°),11:51:03,−2:09,05:26,20:04,05:55,19:34,06:24,19:05,12:45 (52.5°),149.31
29,06:50 ↑ (86°),18:39 ↑ (274°),11:48:54,−2:08,05:26,20:02,05:56,19:33,06:25,19:04,12:45 (52.1°),149.354
30,06:51 ↑ (86°),18:38 ↑ (274°),11:46:46,−2:08,05:27,20:01,05:56,19:32,06:26,19:03,12:44 (51.7°),149.397
31,06:52 ↑ (86°),18:36 ↑ (275°),11:44:37,−2:08,05:28,20:00,05:57,19:30,06:26,19:01,12:44 (51.3°),149.44
